,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
123,50,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,108.5273679365643,77.41645976198927,111.78063007711575,81.52728317036049
124,50,2,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,120.03129145251239,82.11651789950608,120.78632107004141,83.87660648724908
125,50,2,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,120.49667934137183,98.17603167873523,119.97335983113393,97.34660801887637
126,50,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,170.0725914685662,121.01987165854604,178.89189227362587,126.62635248692148
127,50,2,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1000,199.68234447207533,138.26852464873846,211.88842346280907,147.7975571488402
128,50,2,MTransferTreeBoost,0.05,2,1,0.05,0.5,1000,194.49778818825,150.14479852615344,204.07547920867708,159.76442663682457
129,50,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1000,171.6244999888338,120.93984761359255,181.92957420776855,127.58686636235676
130,50,2,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1000,145.92227568973217,101.23117894224603,147.77904784317008,104.35556388215707
131,50,2,MTransferTreeBoost,0.05,2,1,0.05,0.9,1000,158.29285775885225,125.69247787557897,163.45546469729754,128.2854263822851
132,50,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1000,101.67695514075176,79.46940319720954,102.0926102400081,80.60861724516441
133,50,2,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1000,122.99068079487193,92.35100469429103,126.91934755944413,95.13434280163973
134,50,2,MTransferTreeBoost,0.05,2,2,0.01,0.5,1000,170.7303319063024,138.6142402997058,174.99181724951242,143.10247870215414
135,50,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,99.61425287867738,76.5399801219776,99.06526227174791,76.97083648521777
136,50,2,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1000,121.84673514867585,90.94714841218698,126.68494431083101,93.36728204812752
137,50,2,MTransferTreeBoost,0.05,2,2,0.01,0.9,1000,168.42743580366738,137.49426307425793,171.83790863315036,140.22078212522763
138,50,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1000,100.42158708631433,78.92063314599524,102.64545155550985,82.20629518343704
139,50,2,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1000,120.98621516852528,91.44142707380159,125.62038587480566,94.59537763979446
140,50,2,MTransferTreeBoost,0.05,2,2,0.05,0.5,1000,173.8149767684358,135.45898680947354,182.76055996440496,143.87009310644592
141,50,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1000,99.15756529316657,76.97741093162325,101.24800416740283,80.65676879641576
142,50,2,LADTransferTreeBoost,0.05,2,2,0.05,0.9,1000,117.94224278802963,89.66133839488671,121.1833323440605,92.13308786788906
143,50,2,MTransferTreeBoost,0.05,2,2,0.05,0.9,1000,183.9018835397962,146.1704822201499,191.9673241638768,154.1685062848468
144,50,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1000,169.22018865270167,124.23663950276892,172.26704946297676,128.4321959048338
145,50,2,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1000,170.85399663342932,127.3755416549175,174.78812845895945,130.20383012791132
146,50,2,MTransferTreeBoost,0.1,1,1,0.01,0.5,1000,176.01153304982867,126.0445374392102,178.23364828040357,128.3713582227246
147,50,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1000,174.8532361272591,125.54446485158016,179.0312022805567,128.6392015369791
148,50,2,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1000,177.13265908144768,135.52533265180762,178.7259872656126,134.5476900306219
149,50,2,MTransferTreeBoost,0.1,1,1,0.01,0.9,1000,177.16899563565602,142.30454265142092,183.58688885955874,148.6743601342244
150,50,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1000,167.70899364925793,123.74458451262812,171.2486841826494,128.81104952552164
151,50,2,LADTransferTreeBoost,0.1,1,1,0.05,0.5,1000,173.14554636823644,128.58701462453217,176.58324269739583,130.44128771310764
152,50,2,MTransferTreeBoost,0.1,1,1,0.05,0.5,1000,171.39877297509875,128.84980934660774,175.91314128184874,133.008093045768
153,50,2,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1000,164.89482079051655,123.04552266268045,167.84764513229493,127.54749669696528
154,50,2,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1000,168.48533705288227,122.74285624128166,173.95654137277324,126.48770593792491
155,50,2,MTransferTreeBoost,0.1,1,1,0.05,0.9,1000,174.48717025289548,128.04034455266535,174.26998157519813,130.5292759563952
156,50,2,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1000,100.26666457925852,77.10082132370059,102.42196519080424,81.11421034451912
157,50,2,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1000,117.96757433287236,88.44003474954687,123.40441466302275,93.41522528107657
158,50,2,MTransferTreeBoost,0.1,1,2,0.01,0.5,1000,142.80284539608087,113.7950935971321,150.41664165370656,120.32820216423225
159,50,2,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1000,105.03320771092386,80.04949680756523,108.72938465270765,84.97420466521747
160,50,2,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1000,115.70945310249951,88.52607982494568,122.54035100201126,94.40051840119607
161,50,2,MTransferTreeBoost,0.1,1,2,0.01,0.9,1000,151.45730324594666,120.3767599624395,159.7746637945432,126.622745588363
162,50,2,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1000,101.68825454629858,79.0419516609782,103.87986784616834,83.06522047675823
163,50,2,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1000,115.56693645472906,86.71923752607024,119.5745397180993,90.83391939082101
164,50,2,MTransferTreeBoost,0.1,1,2,0.05,0.5,1000,164.03276837878323,129.53050349435617,173.94111188534956,137.24212975214118
165,50,2,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1000,100.16887614299627,78.0327714113605,102.01930308261377,81.64526065250556
166,50,2,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1000,113.76406335119123,86.83804104932362,119.48145425217936,92.5995625718275
167,50,2,MTransferTreeBoost,0.1,1,2,0.05,0.9,1000,156.6021879691218,124.06690437699847,166.42753322068603,133.23506335267953
168,50,2,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1000,101.98209156106552,76.52931813440867,106.06429927581887,80.84626759341285
169,50,2,LADTransferTreeBoost,0.1,2,1,0.01,0.5,1000,129.13057611235283,88.44531916564046,130.34120696484987,91.60217089125887
