,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,6.85564568920545,4.761520329016236
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.0670541618370795,4.832825183229824
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,6.970315476492123,4.801582146591606
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.071611871709058,4.9158069930959805
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,6.927835994304201,4.850814887913389
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.112324776760855,4.935918368842564
63,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.060616921512789,4.920335772174651
64,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.646904323068044,5.2676279173047424
65,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.479928209214568,5.102613411007588
66,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.988257455296339,5.503481018686631
67,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.9039429801407675,5.466755975264357
68,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.588723336208999,5.191031267898249
69,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.406586416639871,5.061121857124658
70,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.882051698328853,5.4509764722108835
71,3,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.745787411665968,5.312531068968262
72,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.592203947893233,5.207277898981766
73,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.425317330556999,5.048597366087035
74,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.8303492572342375,5.4325364653099495
75,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.766008760169932,5.281615007504751
76,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.539954263453671,5.143159097493182
77,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.3999437813978055,5.043182165077618
78,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.846969420892099,5.396155412206432
79,3,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.734328261068711,5.285940696467253
80,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.577897223671277,5.217663719848973
81,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.403262112313321,5.042962082927532
82,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.853940048116187,5.430460872720549
83,3,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.684707060847763,5.31560222854116
84,3,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.522617654945086,5.147516944987128
85,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.373021676840069,5.028781435618382
86,3,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.789249321845735,5.379774667837807
87,3,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.549096422169227,5.170772398501672
88,3,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.507318635864705,5.138872557566035
89,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.368917806435079,5.021652450235035
90,3,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.709616442239828,5.33537726922458
91,3,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.615069995897854,5.258538095835709
92,3,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.478768454417753,5.106242078902277
93,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.3899914451967925,5.073967872031469
94,3,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.670840284808433,5.2404928258565935
95,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.515931500068582,5.135094354344033
