,disturbance_level,source_tree_size,target_tree_size,v,tau,epochs,total_rmse,total_mae
157,1,2,2,0.05,0.99,200,1.1503796727157236,0.9139542162479553
154,1,2,2,0.05,0.99,150,1.176464220344298,0.9395896940128942
145,1,2,2,0.05,0.99,100,1.2472198135892705,0.9833353844467956
289,2,2,2,0.05,0.95,100,1.1712072551356494,0.9412461325160661
331,2,2,2,0.05,0.99,250,1.2052132965987645,0.9637568790213812
277,2,2,2,0.05,0.9,200,1.2309146549496188,0.9784584747608798
463,3,2,2,0.05,0.99,250,1.201755341838012,0.9561972407700547
412,3,2,2,0.05,0.9,100,1.2354491944770547,0.9825184467205886
391,3,2,2,0.05,0.7,250,1.2978925118267846,1.0454467931080973
