target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse
Dgv,190,TradaBoostR2,10,1.0,2,16.67637790793931
Dgv,190,TradaBoostR2,10,1.0,3,12.77670513544803
Dgv,190,TradaBoostR2,10,1.0,4,31.791396303665454
Dgv,190,TradaBoostR2,10,1.0,5,29.839505934925864
Dgv,190,TradaBoostR2,20,0.1,1,12.44160112747338
Dgv,190,TradaBoostR2,20,0.1,2,10.664917388652409
Dgv,190,TradaBoostR2,20,0.1,3,24.788329659777958
Dgv,190,TradaBoostR2,20,0.1,4,47.35490183771318
Dgv,190,TradaBoostR2,20,0.1,5,28.550135713704854
Dgv,190,TradaBoostR2,20,0.5,1,15.633364419948496
Dgv,190,TradaBoostR2,20,0.5,2,15.173646523505024
Dgv,190,TradaBoostR2,20,0.5,3,20.61510840548582
Dgv,190,TradaBoostR2,20,0.5,4,27.88062422527353
Dgv,190,TradaBoostR2,20,0.5,5,65.73547872845184
Dgv,190,TradaBoostR2,20,1.0,1,18.326940877836527
Dgv,190,TradaBoostR2,20,1.0,2,17.003774493738156
Dgv,190,TradaBoostR2,20,1.0,3,35.87984544332695
Dgv,190,TradaBoostR2,20,1.0,4,60.2670459218181
Dgv,190,TradaBoostR2,20,1.0,5,23.708646288151606
Dgv,190,TradaBoostR2,30,0.1,1,12.885832013747489
Dgv,190,TradaBoostR2,30,0.1,2,12.266257096757267
Dgv,190,TradaBoostR2,30,0.1,3,35.831070224146444
Dgv,190,TradaBoostR2,30,0.1,4,37.71185326153025
Dgv,190,TradaBoostR2,30,0.1,5,28.749454214777586
Dgv,190,TradaBoostR2,30,0.5,1,18.074857587366644
Dgv,190,TradaBoostR2,30,0.5,2,15.247121986303975
Dgv,190,TradaBoostR2,30,0.5,3,26.26064839559653
Dgv,190,TradaBoostR2,30,0.5,4,129.4144341966203
Dgv,190,TradaBoostR2,30,0.5,5,31.679970651756253
Dgv,190,TradaBoostR2,30,1.0,1,17.85554607061648
Dgv,190,TradaBoostR2,30,1.0,2,18.30728480615297
Dgv,190,TradaBoostR2,30,1.0,3,19.289372275933783
Dgv,190,TradaBoostR2,30,1.0,4,38.72467620176837
Dgv,190,TradaBoostR2,30,1.0,5,59.939717325318384
Dgv,190,TradaBoostR2,40,0.1,1,12.299706128901487
Dgv,190,TradaBoostR2,40,0.1,2,11.516464607407247
Dgv,190,TradaBoostR2,40,0.1,3,14.209783452324373
Dgv,190,TradaBoostR2,40,0.1,4,21.31824500736721
Dgv,190,TradaBoostR2,40,0.1,5,19.00087697786837
Dgv,190,TradaBoostR2,40,0.5,1,18.198701733888043
Dgv,190,TradaBoostR2,40,0.5,2,15.823182958352433
Dgv,190,TradaBoostR2,40,0.5,3,45.5894535342291
Dgv,190,TradaBoostR2,40,0.5,4,49.13420722865497
Dgv,190,TradaBoostR2,40,0.5,5,57.753187378261465
Dgv,190,TradaBoostR2,40,1.0,1,17.32959666168432
Dgv,190,TradaBoostR2,40,1.0,2,17.437375836620422
Dgv,190,TradaBoostR2,40,1.0,3,30.2969889926897
Dgv,190,TradaBoostR2,40,1.0,4,117.62250597941204
Dgv,190,TradaBoostR2,40,1.0,5,60.04689936866542
Dgv,190,TradaBoostR2,50,0.1,1,13.454853440871478
Dgv,190,TradaBoostR2,50,0.1,2,12.829786087610524
Dgv,190,TradaBoostR2,50,0.1,3,13.760852235673536
Dgv,190,TradaBoostR2,50,0.1,4,23.052909694199176
Dgv,190,TradaBoostR2,50,0.1,5,15.032560563378913
Dgv,190,TradaBoostR2,50,0.5,1,17.475291892822295
Dgv,190,TradaBoostR2,50,0.5,2,15.816593154351867
Dgv,190,TradaBoostR2,50,0.5,3,35.07116394648362
Dgv,190,TradaBoostR2,50,0.5,4,24.199906364600444
Dgv,190,TradaBoostR2,50,0.5,5,22.804164792913475
Dgv,190,TradaBoostR2,50,1.0,1,17.43459319904273
Dgv,190,TradaBoostR2,50,1.0,2,22.07979416567456
Dgv,190,TradaBoostR2,50,1.0,3,29.35368855549752
Dgv,190,TradaBoostR2,50,1.0,4,37.32289035196695
Dgv,190,TradaBoostR2,50,1.0,5,58.7576433946533
Dgv,285,TradaBoostR2,10,0.1,1,8.994728142071006
Dgv,285,TradaBoostR2,10,0.1,2,12.72124985101281
Dgv,285,TradaBoostR2,10,0.1,3,31.949217424522164
Dgv,285,TradaBoostR2,10,0.1,4,28.06757269992758
Dgv,285,TradaBoostR2,10,0.1,5,24.433075121762407
Dgv,285,TradaBoostR2,10,0.5,1,9.784789770693653
Dgv,285,TradaBoostR2,10,0.5,2,10.132712542665798
Dgv,285,TradaBoostR2,10,0.5,3,17.774769828573653
Dgv,285,TradaBoostR2,10,0.5,4,91.11448054458994
Dgv,285,TradaBoostR2,10,0.5,5,20.36115148222138
Dgv,285,TradaBoostR2,10,1.0,1,13.314179419931055
Dgv,285,TradaBoostR2,10,1.0,2,12.980836411836801
Dgv,285,TradaBoostR2,10,1.0,3,20.672045744841984
Dgv,285,TradaBoostR2,10,1.0,4,26.35708550083652
Dgv,285,TradaBoostR2,10,1.0,5,36.54434049104637
Dgv,285,TradaBoostR2,20,0.1,1,8.747838918411338
Dgv,285,TradaBoostR2,20,0.1,2,11.918043951495623
Dgv,285,TradaBoostR2,20,0.1,3,20.969993942039025
Dgv,285,TradaBoostR2,20,0.1,4,38.47522186382578
Dgv,285,TradaBoostR2,20,0.1,5,31.69669770116581
Dgv,285,TradaBoostR2,20,0.5,1,11.832979930768822
Dgv,285,TradaBoostR2,20,0.5,2,12.897920942517368
Dgv,285,TradaBoostR2,20,0.5,3,14.013808144582066
Dgv,285,TradaBoostR2,20,0.5,4,19.930663518161992
Dgv,285,TradaBoostR2,20,0.5,5,31.05077492588962
Dgv,285,TradaBoostR2,20,1.0,1,10.761148930537011
Dgv,285,TradaBoostR2,20,1.0,2,17.76367659100458
Dgv,285,TradaBoostR2,20,1.0,3,21.750876955400145
Dgv,285,TradaBoostR2,20,1.0,4,27.39190631332976
Dgv,285,TradaBoostR2,20,1.0,5,32.2643907136626
Dgv,285,TradaBoostR2,30,0.1,1,9.542506409252216
Dgv,285,TradaBoostR2,30,0.1,2,10.518442454220297
Dgv,285,TradaBoostR2,30,0.1,3,23.846351324493476
Dgv,285,TradaBoostR2,30,0.1,4,40.270712878262586
Dgv,285,TradaBoostR2,30,0.1,5,31.837944479595734
Dgv,285,TradaBoostR2,30,0.5,1,10.970154576332703
Dgv,285,TradaBoostR2,30,0.5,2,15.846707704944688
Dgv,285,TradaBoostR2,30,0.5,3,39.15205005733202
Dgv,285,TradaBoostR2,30,0.5,4,91.69978845963396
Dgv,285,TradaBoostR2,30,0.5,5,24.35276558994635
Dgv,285,TradaBoostR2,30,1.0,1,11.567454463694862
Dgv,285,TradaBoostR2,30,1.0,2,18.99476631023652
Dgv,285,TradaBoostR2,30,1.0,3,19.413883376644296
Dgv,285,TradaBoostR2,30,1.0,4,43.13501027946674
Dgv,285,TradaBoostR2,30,1.0,5,27.694026042894684
Dgv,285,TradaBoostR2,40,0.1,1,9.53158819093575
Dgv,285,TradaBoostR2,40,0.1,2,10.572270868035519
Dgv,285,TradaBoostR2,40,0.1,3,22.283471179046437
Dgv,285,TradaBoostR2,40,0.1,4,40.645338492018695
Dgv,285,TradaBoostR2,40,0.1,5,28.98286159720834
Dgv,285,TradaBoostR2,40,0.5,1,11.109790551100264
Dgv,285,TradaBoostR2,40,0.5,2,14.349924586821718
Dgv,285,TradaBoostR2,40,0.5,3,33.898168270561285
Dgv,285,TradaBoostR2,40,0.5,4,49.80760344007774
Dgv,285,TradaBoostR2,40,0.5,5,36.550393566878654
Dgv,285,TradaBoostR2,40,1.0,1,10.72044767789545
Dgv,285,TradaBoostR2,40,1.0,2,15.44753132939484
Dgv,285,TradaBoostR2,40,1.0,3,39.052107172564035
Dgv,285,TradaBoostR2,40,1.0,4,27.06538827533476
Dgv,285,TradaBoostR2,40,1.0,5,25.787408736016868
Dgv,285,TradaBoostR2,50,0.1,1,9.558818329631674
Dgv,285,TradaBoostR2,50,0.1,2,9.280456913611477
Dgv,285,TradaBoostR2,50,0.1,3,21.675403897211204
Dgv,285,TradaBoostR2,50,0.1,4,28.065395358573966
Dgv,285,TradaBoostR2,50,0.1,5,30.293269012471615
Dgv,285,TradaBoostR2,50,0.5,1,11.024615588681971
Dgv,285,TradaBoostR2,50,0.5,2,13.919789642755074
Dgv,285,TradaBoostR2,50,0.5,3,34.2432347686054
Dgv,285,TradaBoostR2,50,0.5,4,76.11278724133038
Dgv,285,TradaBoostR2,50,0.5,5,23.67680045477207
Dgv,285,TradaBoostR2,50,1.0,1,10.16132273315831
Dgv,285,TradaBoostR2,50,1.0,2,16.465413609192506
Dgv,285,TradaBoostR2,50,1.0,3,38.15890119168817
Dgv,285,TradaBoostR2,50,1.0,4,71.28289283050727
Dgv,285,TradaBoostR2,50,1.0,5,35.60616298607137
Dgv,380,TradaBoostR2,10,0.1,1,8.848604180704749
Dgv,380,TradaBoostR2,10,0.1,2,12.523857763295979
Dgv,380,TradaBoostR2,10,0.1,3,54.358565839618564
Dgv,380,TradaBoostR2,10,0.1,4,29.414410314505353
Dgv,380,TradaBoostR2,10,0.1,5,23.52046913857378
Dgv,380,TradaBoostR2,10,0.5,1,9.947296486643001
Dgv,380,TradaBoostR2,10,0.5,2,13.747375938124438
Dgv,380,TradaBoostR2,10,0.5,3,21.422254796841372
Dgv,380,TradaBoostR2,10,0.5,4,14.509641653440914
Dgv,380,TradaBoostR2,10,0.5,5,23.86199884089535
Dgv,380,TradaBoostR2,10,1.0,1,10.866981563804316
Dgv,380,TradaBoostR2,10,1.0,2,11.814244412892222
Dgv,380,TradaBoostR2,10,1.0,3,20.41981284032922
Dgv,380,TradaBoostR2,10,1.0,4,65.5780744748551
Dgv,380,TradaBoostR2,10,1.0,5,16.974519178458966
Dgv,380,TradaBoostR2,20,0.1,1,8.320020470258614
Dgv,380,TradaBoostR2,20,0.1,2,17.06161237971362
Dgv,380,TradaBoostR2,20,0.1,3,22.893263442850664
Dgv,380,TradaBoostR2,20,0.1,4,75.34809031251385
Dgv,380,TradaBoostR2,20,0.1,5,23.018421479986976
Dgv,380,TradaBoostR2,20,0.5,1,10.640074062972328
Dgv,380,TradaBoostR2,20,0.5,2,11.993696867852623
Dgv,380,TradaBoostR2,20,0.5,3,13.417327312877791
Dgv,380,TradaBoostR2,20,0.5,4,11.117399959880979
Dgv,380,TradaBoostR2,20,0.5,5,15.835666166166797
Dgv,380,TradaBoostR2,20,1.0,1,11.179978821520397
Dgv,380,TradaBoostR2,20,1.0,2,10.539564895875714
Dgv,380,TradaBoostR2,20,1.0,3,11.031393318241706
Dgv,380,TradaBoostR2,20,1.0,4,30.046336222076228
Dgv,380,TradaBoostR2,20,1.0,5,15.584443749106097
Dgv,380,TradaBoostR2,30,0.1,1,8.948607230887328
Dgv,380,TradaBoostR2,30,0.1,2,19.691301859911004
Dgv,380,TradaBoostR2,30,0.1,3,11.607191855166848
Dgv,380,TradaBoostR2,30,0.1,4,167.86851041142714
Dgv,380,TradaBoostR2,30,0.1,5,20.757600416757114
Dgv,380,TradaBoostR2,30,0.5,1,13.345543353144725
Dgv,380,TradaBoostR2,30,0.5,2,10.987537115448765
Dgv,380,TradaBoostR2,30,0.5,3,12.537336687248004
Dgv,380,TradaBoostR2,30,0.5,4,13.498574663041296
Dgv,380,TradaBoostR2,30,0.5,5,18.326072205412068
Dgv,380,TradaBoostR2,30,1.0,1,10.032374107716903
Dgv,380,TradaBoostR2,30,1.0,2,10.50831579781387
Dgv,380,TradaBoostR2,30,1.0,3,13.34478175709503
Dgv,380,TradaBoostR2,30,1.0,4,29.137608134745754
Dgv,380,TradaBoostR2,30,1.0,5,19.241987949582057
Dgv,380,TradaBoostR2,40,0.1,1,9.506884525355868
Dgv,380,TradaBoostR2,40,0.1,2,14.067273607070826
Dgv,380,TradaBoostR2,40,0.1,3,10.871741302019302
Dgv,380,TradaBoostR2,40,0.1,4,76.014800565515
Dgv,380,TradaBoostR2,40,0.1,5,24.671401994150674
Dgv,380,TradaBoostR2,40,0.5,1,10.418745622670858
Dgv,380,TradaBoostR2,40,0.5,2,11.277233272261524
Dgv,380,TradaBoostR2,40,0.5,3,16.284757992608274
Dgv,380,TradaBoostR2,40,0.5,4,14.979908643170608
Dgv,380,TradaBoostR2,40,0.5,5,20.55383825814678
Dgv,380,TradaBoostR2,40,1.0,1,10.17347433971816
Dgv,380,TradaBoostR2,40,1.0,2,10.250976908791856
Dgv,380,TradaBoostR2,40,1.0,3,13.510803325808372
Dgv,380,TradaBoostR2,40,1.0,4,23.74611157516087
Dgv,380,TradaBoostR2,40,1.0,5,24.189075457639657
Dgv,380,TradaBoostR2,50,0.1,1,9.671712775194981
Dgv,380,TradaBoostR2,50,0.1,2,11.386740073733112
Dgv,380,TradaBoostR2,50,0.1,3,19.421082199235475
Dgv,380,TradaBoostR2,50,0.1,4,65.26411854432008
Dgv,380,TradaBoostR2,50,0.1,5,23.579856426473633
Dgv,380,TradaBoostR2,50,0.5,1,10.232192974263366
Dgv,380,TradaBoostR2,50,0.5,2,9.898901590925394
Dgv,380,TradaBoostR2,50,0.5,3,14.65757791165289
Dgv,380,TradaBoostR2,50,0.5,4,25.792330669786203
Dgv,380,TradaBoostR2,50,0.5,5,17.76218301444807
Dgv,380,TradaBoostR2,50,1.0,1,10.063667265324039
Dgv,380,TradaBoostR2,50,1.0,2,9.6807417741937
Dgv,380,TradaBoostR2,50,1.0,3,22.850688117799745
Dgv,380,TradaBoostR2,50,1.0,4,25.10483195214793
Dgv,380,TradaBoostR2,50,1.0,5,46.16657256304545
Dgv,475,TradaBoostR2,10,0.1,1,8.583502917877386
Dgv,475,TradaBoostR2,10,0.1,2,11.462788171291745
Dgv,475,TradaBoostR2,10,0.1,3,16.166466900582666
Dgv,475,TradaBoostR2,10,0.1,4,26.179842489100498
Dgv,475,TradaBoostR2,10,0.1,5,26.97307488373861
Dgv,475,TradaBoostR2,10,0.5,1,10.371260073725969
Dgv,475,TradaBoostR2,10,0.5,2,9.374491024266998
Dgv,475,TradaBoostR2,10,0.5,3,9.185100369284324
Dgv,475,TradaBoostR2,10,0.5,4,10.681921637291357
Dgv,475,TradaBoostR2,10,0.5,5,33.9211923360033
Dgv,475,TradaBoostR2,10,1.0,1,10.56852341799262
Dgv,475,TradaBoostR2,10,1.0,2,11.186849702282405
Dgv,475,TradaBoostR2,10,1.0,3,10.564132559141873
Dgv,475,TradaBoostR2,10,1.0,4,16.471896432285387
Dgv,475,TradaBoostR2,10,1.0,5,15.578720112337868
Dgv,475,TradaBoostR2,20,0.1,1,8.406495625107942
