,seed,disturbance_level,rmse,mae
0,10.0,1.0,0.9274044785665513,0.7394106435010588
1,10.0,1.0,0.9294981992697634,0.7413619508907391
2,10.0,1.0,0.9322017692168046,0.7438333950545477
3,10.0,2.0,0.7916613454747332,0.6252994080261547
4,10.0,2.0,0.7871438040533854,0.6187374493427347
5,10.0,2.0,0.7958816754323561,0.6285106605412476
6,10.0,3.0,0.8136521434669957,0.646363495836351
7,10.0,3.0,0.8184237399070742,0.6502230229317157
8,10.0,3.0,0.8284296197531807,0.6581785880557822
9,11.0,1.0,0.7810953804454904,0.6211549311015013
10,11.0,1.0,0.7814418395071627,0.6215779642231833
11,11.0,1.0,0.7831882112838507,0.6230611001798474
12,11.0,2.0,0.8093666955914344,0.6387848941038462
13,11.0,2.0,0.7854269716449122,0.6184062960463521
14,11.0,2.0,0.8142360301745806,0.6428114353357219
15,11.0,3.0,0.8811107129969629,0.7001761656861567
16,11.0,3.0,0.8903624576771267,0.7074334736253413
17,11.0,3.0,0.9044300559632137,0.7180502474453496
18,12.0,1.0,0.8308214820148252,0.6564171190087034
19,12.0,1.0,0.8313982718805283,0.656769248250561
20,12.0,1.0,0.832477264729504,0.6572745620033594
21,12.0,2.0,0.763246859785425,0.6028592610970913
22,12.0,2.0,0.8244573521379026,0.6487955702744971
23,12.0,2.0,0.7662796601967582,0.6049822073441412
24,12.0,3.0,0.8124097539819477,0.6417132589790319
25,12.0,3.0,0.8239201572045262,0.6497751611357783
26,12.0,3.0,0.8340227143638712,0.6580891324088721
