,seed,rmse,mae,target_tree_size,v,epochs,method
0,1,74.61515702282004,55.620013420096555,1,0.005,1000,Baseline (XGBoost)
1,1,74.48264310136895,54.5959282824868,2,0.005,1000,Baseline (XGBoost)
2,1,73.35771890588572,54.1148889519078,3,0.005,1000,Baseline (XGBoost)
3,1,71.07306866186661,50.35248491438708,4,0.005,1000,Baseline (XGBoost)
4,1,71.12661938082191,50.98155177517588,5,0.005,1000,Baseline (XGBoost)
5,1,74.88922396401684,55.430104489822426,1,0.01,1000,Baseline (XGBoost)
6,1,74.4765978792751,54.60766717099288,2,0.01,1000,Baseline (XGBoost)
7,1,71.48562037015903,50.43018584364351,3,0.01,1000,Baseline (XGBoost)
8,1,71.1679384799802,50.52144837199421,4,0.01,1000,Baseline (XGBoost)
9,1,70.9133110431582,50.67485838946537,5,0.01,1000,Baseline (XGBoost)
10,1,75.09900770724472,55.438605221987245,1,0.02,1000,Baseline (XGBoost)
11,1,74.58617957078833,54.61638283295758,2,0.02,1000,Baseline (XGBoost)
12,1,73.14265334876063,53.20577372020267,3,0.02,1000,Baseline (XGBoost)
13,1,71.09978709833712,50.47645060969443,4,0.02,1000,Baseline (XGBoost)
14,1,70.63531491856385,50.329107909851245,5,0.02,1000,Baseline (XGBoost)
15,1,75.16170102410692,55.441425797674235,1,0.03,1000,Baseline (XGBoost)
16,1,74.6867539446549,54.791356252512614,2,0.03,1000,Baseline (XGBoost)
17,1,72.8889510981,52.03572578079315,3,0.03,1000,Baseline (XGBoost)
18,1,71.31404074281804,50.433838645994975,4,0.03,1000,Baseline (XGBoost)
19,1,70.64999088320747,50.18981871210224,5,0.03,1000,Baseline (XGBoost)
20,1,75.84359837260344,55.565879552517224,1,0.05,1000,Baseline (XGBoost)
21,1,71.97239359388016,50.62226881399578,2,0.05,1000,Baseline (XGBoost)
22,1,72.28481889422049,50.88131232618162,3,0.05,1000,Baseline (XGBoost)
23,1,70.87792442066625,50.000940045961286,4,0.05,1000,Baseline (XGBoost)
24,1,71.73471683124093,51.32588498251712,5,0.05,1000,Baseline (XGBoost)
25,1,75.8707438171814,55.523198186318496,1,0.08,1000,Baseline (XGBoost)
26,1,75.52242806704095,54.56960600055709,2,0.08,1000,Baseline (XGBoost)
27,1,71.5193057489449,50.39077138507811,3,0.08,1000,Baseline (XGBoost)
28,1,70.85765947285985,50.0906889445978,4,0.08,1000,Baseline (XGBoost)
29,1,71.09434632287406,50.55697398508047,5,0.08,1000,Baseline (XGBoost)
30,1,76.16815767940875,55.76461987252985,1,0.1,1000,Baseline (XGBoost)
31,1,75.33808733562368,54.63216490072804,2,0.1,1000,Baseline (XGBoost)
32,1,71.87377786995816,50.738117575312565,3,0.1,1000,Baseline (XGBoost)
33,1,71.70448894048761,50.60595573030762,4,0.1,1000,Baseline (XGBoost)
34,1,70.5908579164961,49.7502380527536,5,0.1,1000,Baseline (XGBoost)
35,1,75.79770677943321,55.67040847700631,1,0.12,1000,Baseline (XGBoost)
36,1,72.10685497905506,50.56901514283445,2,0.12,1000,Baseline (XGBoost)
37,1,72.22433217600214,51.04951172148645,3,0.12,1000,Baseline (XGBoost)
38,1,71.64514386453557,50.5949396886891,4,0.12,1000,Baseline (XGBoost)
39,1,70.8244424395372,50.19584240145943,5,0.12,1000,Baseline (XGBoost)
40,1,76.92541291583697,56.288211843988805,1,0.15,1000,Baseline (XGBoost)
41,1,72.9277234158495,50.9124087630006,2,0.15,1000,Baseline (XGBoost)
42,1,71.52189766243387,50.262857200625646,3,0.15,1000,Baseline (XGBoost)
43,1,72.249079946137,50.614603455826504,4,0.15,1000,Baseline (XGBoost)
44,1,71.2442953645079,50.81905541810085,5,0.15,1000,Baseline (XGBoost)
45,2,80.01820614450038,58.25753098610979,1,0.005,1000,Baseline (XGBoost)
46,2,79.36917962980213,57.636672399898615,2,0.005,1000,Baseline (XGBoost)
47,2,78.3862480958241,56.71440873967509,3,0.005,1000,Baseline (XGBoost)
48,2,77.43652296415303,55.26679494503692,4,0.005,1000,Baseline (XGBoost)
49,2,76.67792541479483,53.2539729021166,5,0.005,1000,Baseline (XGBoost)
50,2,80.02529908970182,58.077218483898704,1,0.01,1000,Baseline (XGBoost)
51,2,79.43880051320875,57.58787574737479,2,0.01,1000,Baseline (XGBoost)
52,2,78.43032003790923,56.5702128835921,3,0.01,1000,Baseline (XGBoost)
53,2,77.18115883122148,54.89124351609165,4,0.01,1000,Baseline (XGBoost)
54,2,76.80618261513098,53.338696423748495,5,0.01,1000,Baseline (XGBoost)
55,2,80.01904955651621,58.09516907253857,1,0.02,1000,Baseline (XGBoost)
56,2,79.48949811895267,57.62105828378655,2,0.02,1000,Baseline (XGBoost)
57,2,78.38105116820655,56.47201499187815,3,0.02,1000,Baseline (XGBoost)
58,2,77.4120443701193,54.90604290434209,4,0.02,1000,Baseline (XGBoost)
59,2,76.51015744249253,52.925530455021956,5,0.02,1000,Baseline (XGBoost)
60,2,80.16816140793404,58.211625263860284,1,0.03,1000,Baseline (XGBoost)
61,2,79.67924329067704,57.545738493228306,2,0.03,1000,Baseline (XGBoost)
62,2,77.07735045805721,54.34819472228569,3,0.03,1000,Baseline (XGBoost)
63,2,77.27160695197038,54.88072316524971,4,0.03,1000,Baseline (XGBoost)
64,2,76.53011652977337,53.121278408156215,5,0.03,1000,Baseline (XGBoost)
65,2,80.28386835274793,58.10448938283637,1,0.05,1000,Baseline (XGBoost)
66,2,79.82822688275301,57.60381025054419,2,0.05,1000,Baseline (XGBoost)
67,2,78.38497605355987,55.875473725805556,3,0.05,1000,Baseline (XGBoost)
68,2,77.58695513337841,55.21392614810178,4,0.05,1000,Baseline (XGBoost)
69,2,75.93068656839064,52.17142024088015,5,0.05,1000,Baseline (XGBoost)
70,2,80.47993910049207,58.17928412419861,1,0.08,1000,Baseline (XGBoost)
71,2,79.7791296732056,57.251068704835184,2,0.08,1000,Baseline (XGBoost)
72,2,76.0044192317051,53.03808695511032,3,0.08,1000,Baseline (XGBoost)
73,2,77.67764976682764,54.766086658616004,4,0.08,1000,Baseline (XGBoost)
74,2,75.62893610205153,51.994660459606635,5,0.08,1000,Baseline (XGBoost)
75,2,80.67044907524983,58.17833087490503,1,0.1,1000,Baseline (XGBoost)
76,2,80.35292880874108,57.78954659417607,2,0.1,1000,Baseline (XGBoost)
77,2,79.61076884743137,56.87041362537842,3,0.1,1000,Baseline (XGBoost)
78,2,74.93766553959472,51.94833912142295,4,0.1,1000,Baseline (XGBoost)
79,2,76.93446827134419,53.43090022780278,5,0.1,1000,Baseline (XGBoost)
80,2,80.98846129770489,58.34594307769554,1,0.12,1000,Baseline (XGBoost)
81,2,80.27392838231252,57.69026799882146,2,0.12,1000,Baseline (XGBoost)
82,2,79.41672904899151,56.421813822007856,3,0.12,1000,Baseline (XGBoost)
83,2,77.94553010415686,54.621169869267845,4,0.12,1000,Baseline (XGBoost)
84,2,75.53767241497945,51.76248161027159,5,0.12,1000,Baseline (XGBoost)
85,2,81.36783551433537,58.94010640976145,1,0.15,1000,Baseline (XGBoost)
86,2,80.99718098832476,57.98993305304471,2,0.15,1000,Baseline (XGBoost)
87,2,74.33817874779383,51.173753633470916,3,0.15,1000,Baseline (XGBoost)
88,2,73.7836576027823,51.13001357948498,4,0.15,1000,Baseline (XGBoost)
89,2,75.62440666663714,51.91301260996666,5,0.15,1000,Baseline (XGBoost)
90,3,78.67997704895208,57.22287070016679,1,0.005,1000,Baseline (XGBoost)
91,3,77.90557164973943,56.550152211643464,2,0.005,1000,Baseline (XGBoost)
92,3,77.50731297170061,55.91734809031503,3,0.005,1000,Baseline (XGBoost)
93,3,76.38601432556462,54.41838071001937,4,0.005,1000,Baseline (XGBoost)
94,3,76.02009414167217,53.06469497152508,5,0.005,1000,Baseline (XGBoost)
95,3,78.59635107285139,57.08305516173524,1,0.01,1000,Baseline (XGBoost)
96,3,77.90759345085087,56.47479294621275,2,0.01,1000,Baseline (XGBoost)
97,3,77.50002899777063,55.893951067611084,3,0.01,1000,Baseline (XGBoost)
98,3,76.59057238882262,54.65358450292018,4,0.01,1000,Baseline (XGBoost)
99,3,75.83862341423638,52.863857802224544,5,0.01,1000,Baseline (XGBoost)
100,3,78.59605689506601,56.99906940846013,1,0.02,1000,Baseline (XGBoost)
101,3,77.9994207719895,56.48233124894842,2,0.02,1000,Baseline (XGBoost)
102,3,77.23360225545534,54.76875705680172,3,0.02,1000,Baseline (XGBoost)
103,3,75.34588628354307,52.41622783890199,4,0.02,1000,Baseline (XGBoost)
104,3,75.81334552027455,52.735040666473424,5,0.02,1000,Baseline (XGBoost)
105,3,78.62095617481457,56.95725430176812,1,0.03,1000,Baseline (XGBoost)
106,3,78.04776797835119,56.38851249266289,2,0.03,1000,Baseline (XGBoost)
107,3,77.19876914164762,54.63614559542281,3,0.03,1000,Baseline (XGBoost)
108,3,75.20148981634667,52.19975064199316,4,0.03,1000,Baseline (XGBoost)
109,3,75.90084897774665,52.73861903257885,5,0.03,1000,Baseline (XGBoost)
110,3,78.81066775691747,57.02955128043353,1,0.05,1000,Baseline (XGBoost)
111,3,78.1410253836521,56.39695640826351,2,0.05,1000,Baseline (XGBoost)
112,3,77.95502850504505,55.7265847304091,3,0.05,1000,Baseline (XGBoost)
113,3,75.73719201467965,52.56640578130102,4,0.05,1000,Baseline (XGBoost)
114,3,76.04160872679913,52.76599451192636,5,0.05,1000,Baseline (XGBoost)
115,3,78.79456088366375,57.048924996242306,1,0.08,1000,Baseline (XGBoost)
116,3,78.78480029941232,56.32735354254834,2,0.08,1000,Baseline (XGBoost)
117,3,77.80401849332391,55.433270198411094,3,0.08,1000,Baseline (XGBoost)
118,3,75.2915276190531,51.89999699482645,4,0.08,1000,Baseline (XGBoost)
119,3,75.0909903757628,51.52128318489305,5,0.08,1000,Baseline (XGBoost)
120,3,79.0129357258927,57.10263144076687,1,0.1,1000,Baseline (XGBoost)
121,3,78.98874898871158,56.503394377240895,2,0.1,1000,Baseline (XGBoost)
122,3,76.74975178520224,52.56915138928173,3,0.1,1000,Baseline (XGBoost)
123,3,75.45115199296444,52.16749109096351,4,0.1,1000,Baseline (XGBoost)
124,3,76.60267353802558,53.08166553693059,5,0.1,1000,Baseline (XGBoost)
125,3,79.07905646161532,57.36729735007025,1,0.12,1000,Baseline (XGBoost)
126,3,79.1605873248745,56.42569489591821,2,0.12,1000,Baseline (XGBoost)
127,3,78.08639063975,55.45175329631272,3,0.12,1000,Baseline (XGBoost)
128,3,75.18772429391947,51.994232837475764,4,0.12,1000,Baseline (XGBoost)
129,3,75.02378685900314,51.55361649513131,5,0.12,1000,Baseline (XGBoost)
130,3,79.05895314093074,55.89359703303864,1,0.15,1000,Baseline (XGBoost)
