,disturbance_level,source_tree_size,target_tree_size,v,tau,epochs,total_rmse,total_mae
153,1,2,2,0.05,0.99,150,1.1555492126727736,0.9273206530345744
159,1,2,2,0.05,0.99,200,1.2116208177784913,0.9700972308660525
96,1,2,2,0.05,0.9,100,1.216885799000971,0.9729174825387173
321,2,2,2,0.05,0.99,150,1.1801056576404112,0.9436727316693
318,2,2,2,0.05,0.99,150,1.225626671367942,0.9671440393471892
333,2,2,2,0.05,0.99,250,1.2282068757356417,0.9804411876257686
363,3,2,2,0.05,0.5,150,1.22886480068131,0.976399479473974
432,3,2,2,0.05,0.95,100,1.2331546716369157,0.9867505677484152
414,3,2,2,0.05,0.9,100,1.2414076209629765,0.993652747333775
