,disturbance_level,source_tree_size,target_tree_size,v,tau,epochs,total_rmse,total_mae
149,1,2,2,0.05,0.99,100,1.1062789563619075,0.8759808154869642
167,1,2,2,0.05,0.99,250,1.1062789563619075,0.8759808154869642
137,1,2,2,0.05,0.95,200,1.1612178378689102,0.931188887934955
221,2,2,2,0.05,0.7,100,1.2039529761939587,0.96199175978007
239,2,2,2,0.05,0.7,250,1.2039529761939587,0.96199175978007
185,2,2,2,0.05,0.0,200,1.2116966283961794,0.9695468571919454
398,3,2,2,0.05,0.8,100,1.2145713752837421,0.965086771304192
368,3,2,2,0.05,0.5,150,1.2297744200342515,0.9844538264381127
380,3,2,2,0.05,0.7,100,1.2456319378823106,0.9888159845726838
