,seed,rmse,mae,source_tree_size,target_tree_size,v,alpha,decay,decay_factor,epochs,method
0,1,68.41453413815773,47.00858715160864,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
1,1,68.15169061009459,47.06963205084935,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
2,1,68.42742421171816,48.37969363041296,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
3,1,68.45503099742169,46.98523799779483,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
4,1,68.18952371219152,46.900629913074454,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
5,1,68.66134656202394,48.51792087252697,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
6,1,68.45132325887785,46.98003560228332,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
7,1,68.2686981599793,46.994513603799874,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
8,1,68.78936810119302,48.45178651061611,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
9,2,75.72363357471741,53.071154954250524,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
10,2,76.10889647641353,52.80809731972505,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
11,2,76.21659498331914,53.02428181547575,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
12,2,75.56863640951553,52.84083098287382,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
13,2,75.96405049616979,52.577352605183265,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
14,2,76.08306502285383,53.044446762842526,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
15,2,75.7357994224403,53.11770314545009,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
16,2,75.88491840651703,52.57209970332962,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
17,2,76.28425469786778,52.8305525268589,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
18,3,75.35463251830012,51.195490667074004,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
19,3,74.45212003041742,50.10447391631397,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
20,3,74.75384382952873,50.530325307068004,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
21,3,75.1298104345293,50.88009252702493,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
22,3,74.89109921948835,50.184413833856375,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
23,3,74.27717449469735,50.18390405454621,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
24,3,75.15109863660797,50.98172837369898,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
25,3,75.11338647778155,50.45688296122323,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
26,3,74.32461656667256,50.05850365181111,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
27,4,75.24541848005019,49.438963893137036,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
28,4,74.78751420297739,49.142520222377655,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
29,4,74.40268211670586,49.14179847719831,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
30,4,74.94355958095511,49.189026233069896,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
31,4,74.80863095964621,49.02696642404057,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
32,4,74.29935087604005,49.007362371881335,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
33,4,74.83215831829165,49.189708040617866,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
34,4,74.74215688085556,49.08916419654752,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
35,4,74.70154580948677,49.00551185198803,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
36,5,76.7461910334156,51.82895165839106,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
37,5,75.87187346458246,50.479185504956725,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
38,5,76.15840667814452,50.859828715579326,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
39,5,75.80454979521537,50.90383833810472,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
40,5,75.57167705478182,50.308000811946606,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
41,5,75.77899531220224,50.46946927994688,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
42,5,76.07667194118459,50.97064227051773,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
43,5,75.68683208277224,50.34652057215058,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
44,5,75.4274061169547,50.05366603490028,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
