,seed,rmse,mae,target_tree_size,v,epochs,method
0,1,84.98142295063228,56.85889482621476,1,0.005,1000,Baseline (XGBoost)
1,1,79.56974008651959,54.78079737451807,2,0.005,1000,Baseline (XGBoost)
2,1,78.66532889825827,54.03694719196389,3,0.005,1000,Baseline (XGBoost)
3,1,78.24768111855916,54.18018013856496,4,0.005,1000,Baseline (XGBoost)
4,1,76.33260573984211,53.397395915016865,5,0.005,1000,Baseline (XGBoost)
5,1,80.04735769887333,54.81599213438796,1,0.01,1000,Baseline (XGBoost)
6,1,78.73876231635923,54.242790889116876,2,0.01,1000,Baseline (XGBoost)
7,1,78.60757203928448,54.12693348736671,3,0.01,1000,Baseline (XGBoost)
8,1,77.54216798117336,53.52077272367937,4,0.01,1000,Baseline (XGBoost)
9,1,77.64341552973094,54.38030509138558,5,0.01,1000,Baseline (XGBoost)
10,1,79.57402434142372,54.39655685042246,1,0.02,1000,Baseline (XGBoost)
11,1,75.71097536661526,52.53796723997449,2,0.02,1000,Baseline (XGBoost)
12,1,78.20293058308823,53.712785822715276,3,0.02,1000,Baseline (XGBoost)
13,1,77.66651129485551,53.973560501988274,4,0.02,1000,Baseline (XGBoost)
14,1,78.08342532910014,54.73359691421177,5,0.02,1000,Baseline (XGBoost)
15,1,79.59150702366095,54.770394303577646,1,0.03,1000,Baseline (XGBoost)
16,1,79.3265445072728,54.645582059858626,2,0.03,1000,Baseline (XGBoost)
17,1,77.75437995293619,53.38867191996927,3,0.03,1000,Baseline (XGBoost)
18,1,76.37169936576315,52.97541746024025,4,0.03,1000,Baseline (XGBoost)
19,1,75.87597946913642,52.78207458364161,5,0.03,1000,Baseline (XGBoost)
20,1,78.19468401884733,53.777153614602696,1,0.05,1000,Baseline (XGBoost)
21,1,79.20408673650157,54.404516727607344,2,0.05,1000,Baseline (XGBoost)
22,1,76.93310978878678,53.200684998614754,3,0.05,1000,Baseline (XGBoost)
23,1,78.81975587711497,54.66553970954729,4,0.05,1000,Baseline (XGBoost)
24,1,77.58987801954689,54.052740124236,5,0.05,1000,Baseline (XGBoost)
25,1,79.75220377964138,54.621839531350986,1,0.08,1000,Baseline (XGBoost)
26,1,77.25175335430878,53.283571466388146,2,0.08,1000,Baseline (XGBoost)
27,1,77.1459041164262,53.64058420653157,3,0.08,1000,Baseline (XGBoost)
28,1,79.591921613987,55.40213932252472,4,0.08,1000,Baseline (XGBoost)
29,1,77.03117632878951,54.0638026636654,5,0.08,1000,Baseline (XGBoost)
