,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,75.30010545954121,52.414667975019725
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,75.74100467480778,52.82055531665469
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,75.81816540635648,52.19910021021619
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,76.27044718544941,53.662565322276876
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,75.508546200059,53.05126474733156
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,76.25816314170989,52.92489465328993
63,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,76.08483976607343,52.89446347658514
64,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,75.2835901728229,51.32106764829793
65,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,75.01702648313588,50.919200692651806
66,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,75.41775683590053,51.41082097098772
67,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,75.13599092510803,51.230501564559134
68,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,76.610508866568,51.566686865106085
69,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,76.26584054737924,51.5191405603624
70,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,76.90812553367134,51.562597358876346
71,3,LSTransferTreeBoost,0.05,1,2,0.05,0.9,76.87870093290158,51.58973781284199
72,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,74.28573633222582,49.96101230872575
73,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,75.16278899245313,50.08229375951603
74,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,74.64097097681167,50.82020382348165
75,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,74.17429039001142,50.2800176330058
76,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,76.72811852206172,51.47851502350061
77,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,76.60533837255795,51.37838728363774
78,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,77.29021242260934,52.040438249887
79,3,LSTransferTreeBoost,0.05,2,2,0.05,0.9,77.00763125184493,51.66750757401689
80,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,74.97577266765423,51.08673702390931
81,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,75.04484404793425,51.02705040566448
82,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,75.04277310804096,51.0018187413431
83,3,LSTransferTreeBoost,0.1,1,1,0.05,0.9,75.02235138916191,51.03211069050402
84,3,LSTransferTreeBoost,0.1,1,2,0.01,0.5,76.48075713047339,51.7013847445681
85,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,76.2340800412344,51.65175357664322
86,3,LSTransferTreeBoost,0.1,1,2,0.05,0.5,77.23786802264833,51.97847571579777
87,3,LSTransferTreeBoost,0.1,1,2,0.05,0.9,76.8500801668556,51.641670095733936
88,3,LSTransferTreeBoost,0.1,2,1,0.01,0.5,74.40427311465747,49.98604041973518
89,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,74.64914919762084,49.87765483777169
90,3,LSTransferTreeBoost,0.1,2,1,0.05,0.5,74.40485780549616,50.05877797994691
91,3,LSTransferTreeBoost,0.1,2,1,0.05,0.9,74.02375207890623,49.73123695072342
92,3,LSTransferTreeBoost,0.1,2,2,0.01,0.5,76.58473510028223,51.438891936230384
93,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,76.38878270216632,51.32526986101569
94,3,LSTransferTreeBoost,0.1,2,2,0.05,0.5,77.21681929674702,51.828380312745615
95,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,77.42187976263898,52.02786155100531
