,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
242,2.0,1.0,0.7936163862533576,0.6225384048696746,2.0,2.0,0.1,0.97,200.0
243,2.0,1.0,0.7449071215590768,0.582187284848804,2.0,2.0,0.1,0.99,200.0
244,2.0,1.0,0.7864902191919124,0.6053927806977089,2.0,3.0,0.1,0.97,200.0
245,2.0,1.0,0.7469641738205051,0.5731279085225904,2.0,3.0,0.1,0.99,200.0
246,2.0,1.0,1.0218699774432827,0.8121097759252618,3.0,1.0,0.1,0.97,200.0
247,2.0,1.0,0.9395522395437578,0.740494039205381,3.0,1.0,0.1,0.99,200.0
248,2.0,1.0,0.7892475552708069,0.621696190528186,3.0,2.0,0.1,0.97,200.0
249,2.0,1.0,0.7560651407569882,0.5965213199150163,3.0,2.0,0.1,0.99,200.0
250,2.0,1.0,0.7415162062007544,0.5692857777805718,3.0,3.0,0.1,0.97,200.0
251,2.0,1.0,0.668708921249374,0.5183370807683159,3.0,3.0,0.1,0.99,200.0
252,2.0,1.0,1.3307931019197805,1.05579111728425,1.0,1.0,0.05,0.97,300.0
253,2.0,1.0,1.49494681472268,1.1867152745492526,1.0,1.0,0.05,0.99,300.0
254,2.0,1.0,0.862264067627779,0.6775905367033641,1.0,2.0,0.05,0.97,300.0
255,2.0,1.0,0.9221562946726487,0.722336858317734,1.0,2.0,0.05,0.99,300.0
256,2.0,1.0,0.8220638350457523,0.6398623661818974,1.0,3.0,0.05,0.97,300.0
257,2.0,1.0,0.8342854744415905,0.6487306237905819,1.0,3.0,0.05,0.99,300.0
258,2.0,1.0,1.3184123852870273,1.0419716960281156,2.0,1.0,0.05,0.97,300.0
259,2.0,1.0,1.3487950478477608,1.0612854572132688,2.0,1.0,0.05,0.99,300.0
260,2.0,1.0,0.8571577212437306,0.6698042755206394,2.0,2.0,0.05,0.97,300.0
261,2.0,1.0,0.8780529017139773,0.6861365619966229,2.0,2.0,0.05,0.99,300.0
262,2.0,1.0,0.8380241274453606,0.6508869505954165,2.0,3.0,0.05,0.97,300.0
263,2.0,1.0,0.8050455205527115,0.6176428428395792,2.0,3.0,0.05,0.99,300.0
264,2.0,1.0,1.3279081950643734,1.0576845443285758,3.0,1.0,0.05,0.97,300.0
265,2.0,1.0,1.1117818399581103,0.8770790651264225,3.0,1.0,0.05,0.99,300.0
266,2.0,1.0,0.8905792982190952,0.7004290442026311,3.0,2.0,0.05,0.97,300.0
267,2.0,1.0,0.8244957905467759,0.6480499468367292,3.0,2.0,0.05,0.99,300.0
268,2.0,1.0,0.8346536275311753,0.6450261281186647,3.0,3.0,0.05,0.97,300.0
269,2.0,1.0,0.7564521790400586,0.5797116707077618,3.0,3.0,0.05,0.99,300.0
270,2.0,1.0,1.001316268754433,0.7963565307648028,1.0,1.0,0.1,0.97,300.0
271,2.0,1.0,1.0601629644628783,0.8415002077877564,1.0,1.0,0.1,0.99,300.0
272,2.0,1.0,0.7424776452578999,0.5840635960691052,1.0,2.0,0.1,0.97,300.0
273,2.0,1.0,0.7527675298290957,0.590852990236666,1.0,2.0,0.1,0.99,300.0
274,2.0,1.0,0.7772122677005534,0.605948225193569,1.0,3.0,0.1,0.97,300.0
275,2.0,1.0,0.7586571432126271,0.5896571594519535,1.0,3.0,0.1,0.99,300.0
276,2.0,1.0,0.9770995950924068,0.7755595921555933,2.0,1.0,0.1,0.97,300.0
277,2.0,1.0,0.9815716465361892,0.7794845085846379,2.0,1.0,0.1,0.99,300.0
278,2.0,1.0,0.7497369968555644,0.5883309297801272,2.0,2.0,0.1,0.97,300.0
279,2.0,1.0,0.6880446471811222,0.5392615991097232,2.0,2.0,0.1,0.99,300.0
280,2.0,1.0,0.7585822651358936,0.5857484378453158,2.0,3.0,0.1,0.97,300.0
281,2.0,1.0,0.7126938649239325,0.5492498766176773,2.0,3.0,0.1,0.99,300.0
282,2.0,1.0,0.9321942648261189,0.7410884852166065,3.0,1.0,0.1,0.97,300.0
283,2.0,1.0,0.8073578932158505,0.636313637905033,3.0,1.0,0.1,0.99,300.0
284,2.0,1.0,0.7293066108065261,0.5728326528406161,3.0,2.0,0.1,0.97,300.0
285,2.0,1.0,0.672834252457561,0.5288240829050712,3.0,2.0,0.1,0.99,300.0
286,2.0,1.0,0.7205357474970384,0.5540829926960883,3.0,3.0,0.1,0.97,300.0
