,v,source_tree_size,target_tree_size,m_0,k,total_rank
4740,0.1,2,2,0.9,0.01,8.547051044320582
4821,0.1,3,2,0.9,0.01,8.54845033466777
4809,0.1,3,2,0.5,0.0,8.578153398416678
4830,0.1,3,2,0.9,0.05,8.595893187625247
4818,0.1,3,2,0.5,0.01,8.609232225007785
4728,0.1,2,2,0.5,0.0,8.633752703246966
4647,0.1,1,2,0.5,0.0,8.728113963724976
4737,0.1,2,2,0.5,0.01,8.755446694139707
4659,0.1,1,2,0.9,0.01,8.756719801345364
4827,0.1,3,2,0.5,0.05,8.814832687999271
4848,0.1,3,3,0.9,0.01,8.823746457681471
4656,0.1,1,2,0.5,0.01,8.833188300781964
4806,0.1,3,2,0.1,0.0,8.852736756343214
4836,0.1,3,3,0.5,0.0,8.961410626812187
4815,0.1,3,2,0.1,0.01,8.970821127196484
4767,0.1,2,3,0.9,0.01,8.981157445947558
4725,0.1,2,2,0.1,0.0,8.9998205954288
4824,0.1,3,2,0.1,0.05,9.011164523687476
4845,0.1,3,3,0.5,0.01,9.055058364179567
4746,0.1,2,2,0.5,0.05,9.058301821229215
4857,0.1,3,3,0.9,0.05,9.122700800889863
4749,0.1,2,2,0.9,0.05,9.128490361820452
4734,0.1,2,2,0.1,0.01,9.138293415110804
4755,0.1,2,3,0.5,0.0,9.15858815551261
4686,0.1,1,3,0.9,0.01,9.182714667246364
4674,0.1,1,3,0.5,0.0,9.205031142793056
4764,0.1,2,3,0.5,0.01,9.226012756280998
4644,0.1,1,2,0.1,0.0,9.270787443542524
4683,0.1,1,3,0.5,0.01,9.279928113601132
4743,0.1,2,2,0.1,0.05,9.314439427643805
4854,0.1,3,3,0.5,0.05,9.364732733541423
4653,0.1,1,2,0.1,0.01,9.406920305765867
4833,0.1,3,3,0.1,0.0,9.407303645706657
4665,0.1,1,2,0.5,0.05,9.426939985582644
4668,0.1,1,2,0.9,0.05,9.433691507839926
4776,0.1,2,3,0.9,0.05,9.486270736841318
4842,0.1,3,3,0.1,0.01,9.49246529019924
4662,0.1,1,2,0.1,0.05,9.50609199263296
4851,0.1,3,3,0.1,0.05,9.513123963637497
4773,0.1,2,3,0.5,0.05,9.586966750397362
4695,0.1,1,3,0.9,0.05,9.612818546080385
4752,0.1,2,3,0.1,0.0,9.621235438193104
4761,0.1,2,3,0.1,0.01,9.643816530454844
4770,0.1,2,3,0.1,0.05,9.663357673527628
4671,0.1,1,3,0.1,0.0,9.704682090819935
4779,0.1,3,1,0.1,0.0,9.742221131783076
4680,0.1,1,3,0.1,0.01,9.890647025685382
4692,0.1,1,3,0.5,0.05,9.913699678444626
4788,0.1,3,1,0.1,0.01,9.928396177298353
4791,0.1,3,1,0.5,0.01,9.95971741870619
4800,0.1,3,1,0.5,0.05,9.981868605008456
4782,0.1,3,1,0.5,0.0,10.028116453497852
4698,0.1,2,1,0.1,0.0,10.032749600755595
4803,0.1,3,1,0.9,0.05,10.05117931887137
4689,0.1,1,3,0.1,0.05,10.05639541624713
4707,0.1,2,1,0.1,0.01,10.057409795808741
4710,0.1,2,1,0.5,0.01,10.113626944109198
4716,0.1,2,1,0.1,0.05,10.118817044071907
4617,0.1,1,1,0.1,0.0,10.126811775681059
4719,0.1,2,1,0.5,0.05,10.191867901120332
4797,0.1,3,1,0.1,0.05,10.207128682268593
4701,0.1,2,1,0.5,0.0,10.238923333265207
4722,0.1,2,1,0.9,0.05,10.243766921805435
4629,0.1,1,1,0.5,0.01,10.260217286268619
4620,0.1,1,1,0.5,0.0,10.410041592976262
4635,0.1,1,1,0.1,0.05,10.515021240403435
4626,0.1,1,1,0.1,0.01,10.519421229242655
4638,0.1,1,1,0.5,0.05,10.546766744968178
4713,0.1,2,1,0.9,0.01,10.83927641268535
4632,0.1,1,1,0.9,0.01,10.903311282721006
4641,0.1,1,1,0.9,0.05,11.135745761525618
4794,0.1,3,1,0.9,0.01,11.146378970688485
4839,0.1,3,3,0.9,0.0,13.907345044548983
4758,0.1,2,3,0.9,0.0,14.587338911291036
4812,0.1,3,2,0.9,0.0,14.833868590123378
4677,0.1,1,3,0.9,0.0,15.206409002058473
4731,0.1,2,2,0.9,0.0,16.091395280316167
4650,0.1,1,2,0.9,0.0,17.751780647267502
4785,0.1,3,1,0.9,0.0,19.023027876097192
4704,0.1,2,1,0.9,0.0,20.552869665487396
4623,0.1,1,1,0.9,0.0,21.16416877047609
