,v,source_tree_size,target_tree_size,m_0,k,total_rank
4821,0.1,3,2,0.9,0.01,10.56680578443052
4740,0.1,2,2,0.9,0.01,10.624732424945869
4809,0.1,3,2,0.5,0.0,10.72734355394562
4728,0.1,2,2,0.5,0.0,10.738696925774489
4659,0.1,1,2,0.9,0.01,10.741848499703703
4830,0.1,3,2,0.9,0.05,10.764814047151255
4818,0.1,3,2,0.5,0.01,10.798406440264074
4848,0.1,3,3,0.9,0.01,10.860660659899011
4647,0.1,1,2,0.5,0.0,10.870000336510126
4737,0.1,2,2,0.5,0.01,10.872954450986112
4791,0.1,3,1,0.5,0.01,10.877974816496227
4779,0.1,3,1,0.1,0.0,10.900201322701152
4656,0.1,1,2,0.5,0.01,10.967162344844589
4749,0.1,2,2,0.9,0.05,10.973358980831026
4767,0.1,2,3,0.9,0.01,10.9737712111161
4782,0.1,3,1,0.5,0.0,10.987148980613966
4794,0.1,3,1,0.9,0.01,10.995721976524663
4827,0.1,3,2,0.5,0.05,11.032488580726568
4836,0.1,3,3,0.5,0.0,11.035395994823084
4698,0.1,2,1,0.1,0.0,11.064827302489157
4845,0.1,3,3,0.5,0.01,11.078804376297713
4806,0.1,3,2,0.1,0.0,11.087981829018974
4713,0.1,2,1,0.9,0.01,11.098807929048634
4686,0.1,1,3,0.9,0.01,11.104457754892792
4746,0.1,2,2,0.5,0.05,11.115559957262883
4668,0.1,1,2,0.9,0.05,11.132669618568249
4788,0.1,3,1,0.1,0.01,11.135949753288958
4815,0.1,3,2,0.1,0.01,11.137881411593355
4710,0.1,2,1,0.5,0.01,11.142916341714178
4725,0.1,2,2,0.1,0.0,11.144338702599985
4803,0.1,3,1,0.9,0.05,11.146890100576018
4701,0.1,2,1,0.5,0.0,11.153774615262723
4755,0.1,2,3,0.5,0.0,11.174286545489691
4857,0.1,3,3,0.9,0.05,11.18764319123314
4824,0.1,3,2,0.1,0.05,11.19841138218402
4644,0.1,1,2,0.1,0.0,11.227249999471395
4764,0.1,2,3,0.5,0.01,11.239669251024004
4800,0.1,3,1,0.5,0.05,11.242939425023684
4665,0.1,1,2,0.5,0.05,11.246765461295704
4629,0.1,1,1,0.5,0.01,11.258640553779468
4620,0.1,1,1,0.5,0.0,11.261128957025019
4674,0.1,1,3,0.5,0.0,11.265952773095561
4722,0.1,2,1,0.9,0.05,11.272276151069214
4776,0.1,2,3,0.9,0.05,11.282295330118316
4617,0.1,1,1,0.1,0.0,11.283120859228598
4719,0.1,2,1,0.5,0.05,11.284533926364196
4707,0.1,2,1,0.1,0.01,11.305849695085664
4743,0.1,2,2,0.1,0.05,11.310127547995114
4797,0.1,3,1,0.1,0.05,11.310758162915759
4734,0.1,2,2,0.1,0.01,11.318840729584704
4683,0.1,1,3,0.5,0.01,11.323222916280775
4632,0.1,1,1,0.9,0.01,11.339288980522182
4653,0.1,1,2,0.1,0.01,11.339501704549546
4638,0.1,1,1,0.5,0.05,11.373028199890218
4854,0.1,3,3,0.5,0.05,11.42962738616504
4716,0.1,2,1,0.1,0.05,11.44915184429952
4695,0.1,1,3,0.9,0.05,11.4494066075605
4833,0.1,3,3,0.1,0.0,11.48775858111874
4842,0.1,3,3,0.1,0.01,11.490051254658017
4773,0.1,2,3,0.5,0.05,11.497506552894311
4641,0.1,1,1,0.9,0.05,11.523714133402734
4626,0.1,1,1,0.1,0.01,11.539687836309987
4752,0.1,2,3,0.1,0.0,11.544786826036788
4635,0.1,1,1,0.1,0.05,11.584196176540516
4662,0.1,1,2,0.1,0.05,11.588595072913794
4851,0.1,3,3,0.1,0.05,11.594312972165948
4761,0.1,2,3,0.1,0.01,11.649568736149144
4671,0.1,1,3,0.1,0.0,11.658507537741952
4692,0.1,1,3,0.5,0.05,11.662244487292877
4770,0.1,2,3,0.1,0.05,11.76157336529439
4680,0.1,1,3,0.1,0.01,11.803059061170016
4689,0.1,1,3,0.1,0.05,11.902011012950638
4839,0.1,3,3,0.9,0.0,14.981991698682915
4758,0.1,2,3,0.9,0.0,15.533679066261868
4812,0.1,3,2,0.9,0.0,16.204215893110984
4677,0.1,1,3,0.9,0.0,16.53728909135071
4731,0.1,2,2,0.9,0.0,16.720991538042796
4650,0.1,1,2,0.9,0.0,18.480336098823155
4785,0.1,3,1,0.9,0.0,18.82942886829791
4704,0.1,2,1,0.9,0.0,19.54665567962579
4623,0.1,1,1,0.9,0.0,21.449084867935728
