,v,source_tree_size,target_tree_size,m_0,k,total_rank
4443,0.05,1,3,0.9,0.01,17.75981757098777
4764,0.1,2,3,0.5,0.01,17.792511786099244
4776,0.1,2,3,0.9,0.05,17.800077378280516
4602,0.05,3,3,0.5,0.01,17.801390066787533
4674,0.1,1,3,0.5,0.0,17.818803650326522
4857,0.1,3,3,0.9,0.05,17.847524204866126
4431,0.05,1,3,0.5,0.0,17.85523110839088
4398,0.05,1,1,0.9,0.05,17.868451560416265
4854,0.1,3,3,0.5,0.05,17.886663857519427
4521,0.05,2,3,0.5,0.01,17.899901688433175
4833,0.1,3,3,0.1,0.0,17.927176905246387
4614,0.05,3,3,0.9,0.05,17.948788214301224
4683,0.1,1,3,0.5,0.01,17.95419308736173
4383,0.05,1,1,0.1,0.01,17.96142328247024
4773,0.1,2,3,0.5,0.05,17.984224701668424
4440,0.05,1,3,0.5,0.01,18.00236248206693
4590,0.05,3,3,0.1,0.0,18.020071084842186
4392,0.05,1,1,0.1,0.05,18.02323561141359
4395,0.05,1,1,0.5,0.05,18.023885764903365
4695,0.1,1,3,0.9,0.05,18.026560727631356
4842,0.1,3,3,0.1,0.01,18.050181935350235
4761,0.1,2,3,0.1,0.01,18.07381432355183
4752,0.1,2,3,0.1,0.0,18.096477613774393
4599,0.05,3,3,0.1,0.01,18.113337522744693
4611,0.05,3,3,0.5,0.05,18.114076322993785
4851,0.1,3,3,0.1,0.05,18.133727426750628
4692,0.1,1,3,0.5,0.05,18.13422686274225
4533,0.05,2,3,0.9,0.05,18.138460658256836
4530,0.05,2,3,0.5,0.05,18.162263415326528
4671,0.1,1,3,0.1,0.0,18.177269321142074
4770,0.1,2,3,0.1,0.05,18.2058258579418
4608,0.05,3,3,0.1,0.05,18.22367319700126
4509,0.05,2,3,0.1,0.0,18.229030304366457
4452,0.05,1,3,0.9,0.05,18.238178052454973
4527,0.05,2,3,0.1,0.05,18.241593876988862
4680,0.1,1,3,0.1,0.01,18.248894210721847
4428,0.05,1,3,0.1,0.0,18.286801222522037
4449,0.05,1,3,0.5,0.05,18.30762438804244
4518,0.05,2,3,0.1,0.01,18.32334795432279
4689,0.1,1,3,0.1,0.05,18.333828129899523
4446,0.05,1,3,0.1,0.05,18.37832638377935
4437,0.05,1,3,0.1,0.01,18.384380713121313
4839,0.1,3,3,0.9,0.0,22.36270836069663
4758,0.1,2,3,0.9,0.0,22.440204889831442
4812,0.1,3,2,0.9,0.0,22.7515788130693
4515,0.05,2,3,0.9,0.0,22.985010242025748
4596,0.05,3,3,0.9,0.0,23.162431836719723
4569,0.05,3,2,0.9,0.0,23.2730106220467
4731,0.1,2,2,0.9,0.0,23.41270605542856
4785,0.1,3,1,0.9,0.0,23.575989474696186
4677,0.1,1,3,0.9,0.0,23.774026361150295
4488,0.05,2,2,0.9,0.0,24.066572998579613
4542,0.05,3,1,0.9,0.0,24.278630393972776
4704,0.1,2,1,0.9,0.0,24.511304279091977
4434,0.05,1,3,0.9,0.0,24.551377382976938
4650,0.1,1,2,0.9,0.0,24.75368054654973
4461,0.05,2,1,0.9,0.0,25.16760732948979
4407,0.05,1,2,0.9,0.0,25.880970107981565
4623,0.1,1,1,0.9,0.0,26.186867642458843
4380,0.05,1,1,0.9,0.0,26.828977567196542
