,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
320,0.1,3,2,0.1,0.01,2.16713979892961,1.6797158545846897,5,3357,85,100,9,LSTransferTreeBoost,400,2.224770109906661,1.7073373928977689,2.1898019370144213,1.694670611994461
215,0.1,2,2,0.9,0.01,2.1706143850258215,1.7028935507125147,5,3282,85,100,9,LSTransferTreeBoost,400,2.0977573545552195,1.6072659739575326,2.0362163067283947,1.5812448514355666
220,0.1,2,2,0.9,0.05,2.1784291729618976,1.6917867445634223,5,3291,85,100,9,LSTransferTreeBoost,400,2.3503182030357905,1.791762065042259,2.3214496901454558,1.7811831967577714
45,0.1,1,2,0.1,0.0,2.1786547994022483,1.6953733805175528,5,3186,85,100,9,LSTransferTreeBoost,400,2.3433287331415986,1.7869072017055383,2.320867399796432,1.7804615925826877
125,0.1,1,3,0.9,0.01,2.1814342308424983,1.7008570236969363,5,3228,85,100,9,LSTransferTreeBoost,400,2.25859663871004,1.766900845540745,2.163641565787301,1.70223085589756
130,0.1,1,3,0.9,0.05,2.1862451232093756,1.6951049402478116,5,3237,85,100,9,LSTransferTreeBoost,400,2.282786064657663,1.778745553339454,2.2005046722807133,1.7259685319675635
85,0.1,1,2,0.9,0.05,2.1875571651256207,1.6892273858258768,5,3210,85,100,9,LSTransferTreeBoost,400,2.3481949383946943,1.7897355156035533,2.320495857146096,1.7849516376011436
105,0.1,1,3,0.5,0.0,2.191262003144794,1.7131511390919338,5,3216,85,100,9,LSTransferTreeBoost,400,2.248862586333293,1.7606352283080011,2.145807686539841,1.6884634555494908
370,0.1,3,3,0.1,0.05,2.200469001845055,1.7237744246253168,5,3393,85,100,9,LSTransferTreeBoost,400,2.283692975651717,1.7804366599896546,2.192398162946071,1.717467490842422
360,0.1,3,3,0.1,0.0,2.205564048254259,1.7217582991472764,5,3375,85,100,9,LSTransferTreeBoost,400,2.29396804425964,1.7800021590000197,2.1993087239218183,1.7263730485234388
205,0.1,2,2,0.5,0.05,2.2056262791904655,1.6997893382256835,5,3288,85,100,9,LSTransferTreeBoost,400,2.594496290977727,1.98424164894498,2.5726489391775003,1.9689702830642852
110,0.1,1,3,0.5,0.01,2.2058857342546285,1.727063545828622,5,3225,85,100,9,LSTransferTreeBoost,400,2.267039545496174,1.7676697561165031,2.181277478968372,1.705140597102011
265,0.1,2,3,0.9,0.05,2.2059828721533177,1.7059997472263002,5,3318,85,100,9,LSTransferTreeBoost,400,2.3021383027921405,1.792399743299908,2.218455621126692,1.7370859601625108
