,seed,learning_rate,dropout,val_rmse,val_mae,rmse,mae
0,860.0,0.001,0.0,6.39921760559082,5.472593784332275,6.391458034515381,5.032893657684326
1,860.0,0.001,0.1,10.520310401916504,9.034743309020996,10.675034523010254,8.867473602294922
2,860.0,0.001,0.2,13.456220626831055,10.745007514953613,13.65039348602295,10.790870666503906
3,860.0,0.0005,0.0,5.973011016845703,4.570113182067871,5.8029022216796875,4.567154884338379
4,860.0,0.0005,0.1,9.761801719665527,7.55702543258667,10.076041221618652,7.871862888336182
5,860.0,0.0005,0.2,13.671703338623047,10.745038032531738,13.357455253601074,10.430529594421387
6,860.0,0.0001,0.0,35.77556228637695,31.381900787353516,33.18980407714844,28.778833389282227
7,860.0,0.0001,0.1,34.09318542480469,29.92109489440918,31.753332138061523,27.684097290039062
8,860.0,0.0001,0.2,34.54927062988281,30.67881965637207,32.19907760620117,28.201541900634766
9,860.0,5e-05,0.0,36.097694396972656,32.111663818359375,33.878726959228516,29.553930282592773
10,860.0,5e-05,0.1,35.362884521484375,31.41876220703125,32.95063781738281,28.906940460205078
11,860.0,5e-05,0.2,34.98931884765625,30.718795776367188,32.11956787109375,27.896282196044922
12,860.0,1e-05,0.0,34.9854736328125,31.132699966430664,32.41967010498047,28.558998107910156
13,860.0,1e-05,0.1,34.8115234375,31.004426956176758,32.260215759277344,28.511877059936523
14,860.0,1e-05,0.2,35.16450119018555,31.485193252563477,32.86955642700195,29.1519775390625
15,861.0,0.001,0.0,5.019711494445801,3.8514769077301025,5.71927547454834,4.487321376800537
16,861.0,0.001,0.1,9.933411598205566,8.450526237487793,10.531294822692871,9.004755973815918
17,861.0,0.001,0.2,8.846769332885742,7.2163872718811035,10.600446701049805,8.192471504211426
18,861.0,0.0005,0.0,33.01374816894531,29.114418029785156,35.60376739501953,32.29410934448242
19,861.0,0.0005,0.1,7.632497787475586,6.489323616027832,8.52251148223877,7.103613376617432
20,861.0,0.0005,0.2,8.783924102783203,6.989945888519287,11.326308250427246,9.021445274353027
21,861.0,0.0001,0.0,33.09129333496094,29.3458194732666,35.49742126464844,32.282840728759766
22,861.0,0.0001,0.1,33.566715240478516,30.300508499145508,35.401092529296875,32.504966735839844
23,861.0,0.0001,0.2,32.38161849975586,28.803001403808594,34.39093017578125,31.482563018798828
24,861.0,5e-05,0.0,34.112945556640625,30.77593421936035,36.201412200927734,33.0651969909668
25,861.0,5e-05,0.1,33.21593475341797,29.640380859375,35.371734619140625,32.3328971862793
26,861.0,5e-05,0.2,32.53058624267578,28.785737991333008,34.609413146972656,31.618432998657227
27,861.0,1e-05,0.0,32.79502487182617,29.273677825927734,34.62338638305664,31.77717399597168
28,861.0,1e-05,0.1,32.50372314453125,28.746549606323242,34.44880676269531,31.486774444580078
29,861.0,1e-05,0.2,33.01264190673828,29.597408294677734,34.44682693481445,31.634201049804688
30,862.0,0.001,0.0,5.167169570922852,4.1205878257751465,5.384162902832031,4.118534088134766
31,862.0,0.001,0.1,9.385937690734863,7.3762640953063965,9.936724662780762,8.027667045593262
32,862.0,0.001,0.2,13.546653747558594,11.141093254089355,14.16737174987793,11.84818172454834
33,862.0,0.0005,0.0,5.265013694763184,4.274010181427002,5.509184837341309,4.662484645843506
34,862.0,0.0005,0.1,31.642681121826172,27.408222198486328,31.142330169677734,27.544231414794922
35,862.0,0.0005,0.2,11.078363418579102,9.0047025680542,11.917399406433105,10.001517295837402
36,862.0,0.0001,0.0,34.352943420410156,30.249841690063477,33.454063415527344,30.2774715423584
37,862.0,0.0001,0.1,34.562477111816406,30.505661010742188,33.65262222290039,30.622182846069336
38,862.0,0.0001,0.2,32.7724609375,28.43230628967285,32.34648132324219,28.579425811767578
39,862.0,5e-05,0.0,33.93622589111328,29.774276733398438,33.10931396484375,29.77345085144043
40,862.0,5e-05,0.1,33.829261779785156,29.745393753051758,32.98731994628906,29.758522033691406
41,862.0,5e-05,0.2,32.584632873535156,28.172388076782227,32.25791931152344,28.310819625854492
42,862.0,1e-05,0.0,33.68082046508789,29.503976821899414,32.9764289855957,29.656352996826172
43,862.0,1e-05,0.1,33.53080749511719,29.338342666625977,32.86425018310547,29.606491088867188
44,862.0,1e-05,0.2,33.01344680786133,28.599496841430664,32.626502990722656,28.806692123413086
45,863.0,0.001,0.0,5.572062969207764,4.59829568862915,6.443721294403076,5.4995222091674805
46,863.0,0.001,0.1,32.38410186767578,27.877965927124023,29.53193473815918,26.0072021484375
47,863.0,0.001,0.2,9.248983383178711,7.221439361572266,11.386404037475586,8.875758171081543
48,863.0,0.0005,0.0,33.80240249633789,29.290918350219727,31.23318862915039,27.308969497680664
49,863.0,0.0005,0.1,7.714576244354248,5.9329514503479,9.718048095703125,7.3142805099487305
50,863.0,0.0005,0.2,8.701940536499023,6.634734153747559,11.348369598388672,8.734769821166992
51,863.0,0.0001,0.0,34.49789047241211,30.123929977416992,32.237056732177734,28.325679779052734
52,863.0,0.0001,0.1,33.36090087890625,28.7658634185791,30.932111740112305,27.405826568603516
53,863.0,0.0001,0.2,32.641117095947266,28.248756408691406,30.416217803955078,27.115108489990234
54,863.0,5e-05,0.0,34.80619430541992,30.815940856933594,32.863826751708984,29.1925048828125
55,863.0,5e-05,0.1,34.57634735107422,30.829509735107422,33.084861755371094,29.553794860839844
56,863.0,5e-05,0.2,33.56473159790039,29.570669174194336,31.810556411743164,28.620637893676758
57,863.0,1e-05,0.0,32.934993743896484,28.75507164001465,31.06659698486328,28.159076690673828
58,863.0,1e-05,0.1,33.04841995239258,28.96110725402832,31.291959762573242,28.39558219909668
59,863.0,1e-05,0.2,32.731712341308594,28.393569946289062,30.69521141052246,27.750280380249023
60,864.0,0.001,0.0,6.138001441955566,4.872590065002441,5.368223190307617,4.332479953765869
61,864.0,0.001,0.1,9.443102836608887,7.293758869171143,8.680599212646484,6.431375026702881
62,864.0,0.001,0.2,13.384974479675293,10.438959121704102,12.029269218444824,9.105985641479492
63,864.0,0.0005,0.0,5.9713568687438965,4.835384845733643,5.041160583496094,4.161634922027588
64,864.0,0.0005,0.1,12.175687789916992,9.53270149230957,11.115076065063477,8.341987609863281
65,864.0,0.0005,0.2,13.539834022521973,10.622930526733398,12.45935344696045,9.422508239746094
66,864.0,0.0001,0.0,32.92877960205078,28.5888614654541,35.286949157714844,31.077110290527344
67,864.0,0.0001,0.1,11.525851249694824,9.061820983886719,10.488802909851074,8.160183906555176
68,864.0,0.0001,0.2,13.000771522521973,10.366520881652832,11.725945472717285,9.276110649108887
69,864.0,5e-05,0.0,33.4555778503418,29.323871612548828,35.30438995361328,31.197288513183594
70,864.0,5e-05,0.1,32.42323303222656,28.086336135864258,34.80118942260742,30.756427764892578
71,864.0,5e-05,0.2,32.930049896240234,28.881710052490234,34.702720642089844,30.714946746826172
72,864.0,1e-05,0.0,32.923606872558594,28.755483627319336,34.96243667602539,30.953271865844727
73,864.0,1e-05,0.1,33.38363265991211,29.43870735168457,34.682823181152344,30.539894104003906
74,864.0,1e-05,0.2,33.301456451416016,29.29777717590332,34.928436279296875,30.829219818115234
75,865.0,0.001,0.0,7.167351245880127,5.615865707397461,6.852893352508545,5.134655475616455
76,865.0,0.001,0.1,10.440710067749023,8.194314002990723,9.65482234954834,7.272575855255127
77,865.0,0.001,0.2,17.836706161499023,15.262256622314453,15.902308464050293,12.831509590148926
