,seed,learning_rate,dropout,val_rmse,val_mae,rmse,mae
0,860.0,0.001,0.0,7.38861608505249,6.058163166046143,6.903294086456299,5.290733337402344
1,860.0,0.001,0.1,31.9270076751709,27.86375617980957,29.48003387451172,25.772768020629883
2,860.0,0.001,0.2,31.745309829711914,26.295501708984375,29.27850914001465,24.759254455566406
3,860.0,0.0005,0.0,7.058511257171631,5.172874450683594,6.612393856048584,5.1753129959106445
4,860.0,0.0005,0.1,31.593276977539062,27.513748168945312,29.382171630859375,25.90016746520996
5,860.0,0.0005,0.2,32.477638244628906,27.535480499267578,30.260229110717773,26.189563751220703
6,860.0,0.0001,0.0,24.870220184326172,21.8726863861084,23.044702529907227,20.003253936767578
7,860.0,0.0001,0.1,43.41078186035156,36.60524368286133,41.95362091064453,35.162437438964844
8,860.0,0.0001,0.2,32.039066314697266,27.8780517578125,29.323143005371094,25.44374656677246
9,860.0,5e-05,0.0,25.59258270263672,22.149213790893555,24.040246963500977,20.833114624023438
10,860.0,5e-05,0.1,32.641483306884766,28.927284240722656,31.076610565185547,27.224346160888672
11,860.0,5e-05,0.2,32.05925369262695,27.768625259399414,29.317893981933594,25.240015029907227
12,860.0,1e-05,0.0,30.83479118347168,27.477558135986328,29.162572860717773,25.696231842041016
13,860.0,1e-05,0.1,30.990266799926758,27.133377075195312,28.797595977783203,25.38894271850586
14,860.0,1e-05,0.2,37.580989837646484,34.15159606933594,37.21225357055664,32.830543518066406
15,861.0,0.001,0.0,7.479208946228027,5.792602062225342,8.130067825317383,6.491474151611328
16,861.0,0.001,0.1,29.70716094970703,25.39653205871582,30.116954803466797,25.896509170532227
17,861.0,0.001,0.2,31.200166702270508,26.453174591064453,31.263168334960938,26.412832260131836
18,861.0,0.0005,0.0,18.047256469726562,15.22316837310791,19.894790649414062,17.564443588256836
19,861.0,0.0005,0.1,27.82607078552246,23.270511627197266,29.164426803588867,24.970741271972656
20,861.0,0.0005,0.2,29.771589279174805,25.181352615356445,30.108516693115234,25.558034896850586
