,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.1604779768266082,1.7232308447067415
1,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,4.297959171608407,3.5221128166743556
2,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.2571762294217055,1.795475172125409
3,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,4.063710810402514,3.304472414283
4,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.152209514401328,1.7167292965379752
5,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,4.297959171608407,3.5221128166743556
6,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,2.2347999595183308,1.7793984892785524
7,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,4.063710810402514,3.304472414283
8,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.1276408718479063,1.6797658542972578
9,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,4.2547798511265205,3.488350231258687
10,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.2331787208524387,1.7694613722694357
11,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,4.028157875364179,3.2754365057536563
12,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.0940822273606976,1.6578083241034196
13,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,4.2547798511265205,3.488350231258687
14,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.2367574283665657,1.7774723834631845
15,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,4.028157875364179,3.2754365057536563
16,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0912502685316614,1.6673901528808102
17,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,4.5192017584361786,3.734319343538227
18,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.2143719326806988,1.760800710379288
19,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,4.104473634738444,3.3432999205369094
20,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.0923774064525937,1.6689176602195543
21,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,4.5192017584361786,3.734319343538227
22,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.1991615524959482,1.7532633555720558
23,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,4.104473634738444,3.3432999205369094
24,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.0441546344962163,1.6174090503659027
25,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,4.4495811878769045,3.682814051385561
26,11,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.2307356727257974,1.7647229824990216
27,11,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.2807048702450508,1.784834157314754
28,11,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,2.060656416484612,1.6277610744431636
29,11,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,4.4495811878769045,3.682814051385561
30,11,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.197588480803004,1.742216795136643
31,11,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,2.2984804683410665,1.798246681755016
32,12,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.433230189352425,1.9749673286919425
33,12,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.3435635030182826,1.895367312648398
34,12,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.623970999559794,2.126966055444553
35,12,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.639395269917201,2.129804818836801
36,12,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.2930369737755116,1.8656197089725384
37,12,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.282893963283048,1.8487043694601417
38,12,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,2.3427855989940167,1.9125613266919894
39,12,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.361940476946443,1.9323457269767212
40,12,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.2983360322204884,1.8509559194473517
41,12,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.205234048309915,1.7543064042573633
42,12,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.4185178416407545,1.984661451742576
43,12,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.332250629772082,1.9016502751601296
44,12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.270223060528942,1.8339328905564185
45,12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.204287690449558,1.7598807133233911
46,12,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.3983398697196727,1.945438058273751
47,12,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.3605218939101817,1.9183443226712424
