,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,75.67613599083747,53.02586785361043
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,82.07107159334747,62.52430711125336
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,79.46692563711589,58.89151985012592
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,77.14335290337463,54.570339462868034
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,76.75361475540535,53.842802816567264
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,80.04782822868533,58.3659479246334
63,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,80.00261642984745,57.71587845082194
64,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,79.88714353062763,55.535316590560384
65,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,79.45211110355352,55.07020750222316
66,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,80.07082025887378,56.29673489589676
67,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,80.1262659838868,56.02742247001015
68,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,80.3423354895438,55.953494223918334
69,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,80.58101543657394,56.150051871504104
70,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,80.32634462300734,55.90752147632409
71,3,LSTransferTreeBoost,0.05,1,2,0.05,0.9,80.16052534246242,55.73475908154803
72,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,75.67854255080151,52.91284869317769
73,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,74.64650316263484,51.13764816147725
74,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,81.35564129638686,61.13721286651744
75,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,79.71690591611414,59.2704067607597
76,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,77.74718363694014,53.66224992350251
77,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,77.01314291414187,52.683068309182346
78,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,80.20081763876752,57.30052034027969
79,3,LSTransferTreeBoost,0.05,2,2,0.05,0.9,80.1175849930242,57.095326715964646
80,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,79.97447554977921,55.47980404706878
81,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,79.30816255647066,55.2988329687482
82,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,79.98342936475669,56.06141280618231
83,3,LSTransferTreeBoost,0.1,1,1,0.05,0.9,79.82294821873839,55.560881212327025
84,3,LSTransferTreeBoost,0.1,1,2,0.01,0.5,80.42904649162821,56.30713348218879
85,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,80.89409538979383,56.380081455535716
86,3,LSTransferTreeBoost,0.1,1,2,0.05,0.5,80.5501147703051,56.10902784085261
87,3,LSTransferTreeBoost,0.1,1,2,0.05,0.9,80.58442924508664,56.03127907001755
88,3,LSTransferTreeBoost,0.1,2,1,0.01,0.5,75.1582132184826,51.497601960435915
89,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,75.0965239297981,50.699343460648905
90,3,LSTransferTreeBoost,0.1,2,1,0.05,0.5,78.3868368805037,57.33497070075975
91,3,LSTransferTreeBoost,0.1,2,1,0.05,0.9,76.61349112190688,54.53661782265852
92,3,LSTransferTreeBoost,0.1,2,2,0.01,0.5,77.46816362217439,53.20608105932117
93,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,76.83323737626138,52.380834125879865
94,3,LSTransferTreeBoost,0.1,2,2,0.05,0.5,79.14513752796387,56.057654776833765
95,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,78.87104151345616,56.0749370148144
