,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.098543448058509,4.850834533542038
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.149129380981513,4.845220434513172
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.111604004881346,4.837809465378975
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.111834991799493,4.891315541038827
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.113258518746632,4.8758014498476365
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.136899632158599,4.852451835536488
63,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.1566307763078,4.842939058565978
64,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.244352475234042,4.82561228892893
65,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.1814592249110785,4.798327222865548
66,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.274194338765958,4.81024073836528
67,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.228030557604905,4.801375857999639
68,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.282191455962619,4.851815692875665
69,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.2493346704928845,4.841408583503564
70,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.371471751548086,4.865637018244675
71,3,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.343552608617601,4.836336223122025
72,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.202567523962388,4.790150240669122
73,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.187925537018092,4.762143972066398
74,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.275394018131095,4.805009281922221
75,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.259483345129415,4.791256104195384
76,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.286154498597401,4.838778958449432
77,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.245482033826682,4.808150786573845
78,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.346961106089745,4.885133747793431
79,3,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.364385395832216,4.864251906377255
80,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.224355360932554,4.819618735513305
81,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.186971729447546,4.806608126381705
82,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.253102063778219,4.812222866709464
83,3,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.21188297444503,4.804223136550551
84,3,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.240445820632337,4.838865615415074
85,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.179400654704271,4.815491216034484
86,3,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.33481477376796,4.868634286302993
87,3,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.2987277292114445,4.830398921693151
88,3,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.201258071683844,4.786842808337132
89,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.203739731721866,4.762875339138484
90,3,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.249159186317357,4.798108504515115
91,3,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.189687401066296,4.8032710791668505
92,3,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.249913665181009,4.830083095664865
93,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.221113186157049,4.802148349279766
94,3,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.316407836889724,4.857334530323756
95,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.320434195309943,4.858796269799881
