,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.395554904193762,4.892850091128144
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.354409207533121,4.9409217903698615
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.554659855702197,4.9423542743559565
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.528179857704435,4.947304825918777
4,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.431235883731525,5.045777217835755
5,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.411684136983984,5.047238897300496
6,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.575619943660835,5.070105816359014
7,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.533097668830827,5.038657924449377
8,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.375680159083708,4.854566151950465
9,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.337920268815093,4.9214069693972355
10,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,8.330601845217126,5.521571869386857
11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.442852500112618,4.878924182770306
12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.420881241450038,5.041060180321805
13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.385447846293526,5.016884934612649
14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.877827021811972,5.205193178825939
15,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.535256884513532,4.997932810853312
16,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.377654524264704,4.9180117013075275
17,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.369988473952505,4.953082538281206
18,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.427477413567136,4.862858410265351
19,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.407192875612306,4.901375401393484
20,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.4086013654729195,5.057668170319397
21,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.386181037465799,5.037512456594218
22,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.502089920338345,5.054852968354237
23,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.438376300604571,5.013555623475373
24,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.341899358427742,4.876432554665957
25,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.3347733771458214,4.901894304637988
26,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.433492401686826,4.858372265539659
27,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.383679534222185,4.921102876217263
28,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.438378239100941,5.076000050684021
29,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.365943628140877,5.001817023501239
30,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.549394960152517,5.051625342924725
31,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.475560369439305,5.062400368341678
32,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.409630381061997,5.2523147327487525
33,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.355515553031158,5.196583881897849
34,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.621101392496112,5.321416818612813
35,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.530887319466987,5.266220094211843
36,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.552591290890912,5.389967415981172
37,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.476347377474587,5.322012651810658
38,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.648524257818104,5.4213478075079236
39,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.60208090436735,5.404621266918803
40,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.314395875510099,5.082867904761903
41,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.246352988557675,5.003138028875685
42,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.511029759305604,5.196125309190174
43,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.404367496870082,5.11292527951183
44,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.453426726040075,5.2323123757108085
45,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.38571485006801,5.175946246687941
46,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.619516660567936,5.311909288423297
47,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.476535939545899,5.249673930953663
48,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.39626663289779,5.2338949254257265
49,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.309173090057227,5.122093118335133
50,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.471072664721477,5.257477357196972
51,2,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.401174852919413,5.240730078080711
52,2,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.557091960654703,5.388444892210141
53,2,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.473260648105517,5.326416964394085
54,2,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.612313164541608,5.399368644756463
55,2,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.533305663038326,5.3813211724527905
56,2,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.280089998893757,5.0319568154198375
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.187615928481917,4.924405983801631
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.4092600370946196,5.142676487729056
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.306948126776129,5.074894058835094
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.440353068866208,5.21267280438063
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.379261212992721,5.138473512193091
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.529403064319619,5.30600815087941
63,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.434779945859719,5.2213375856941315
64,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.268804075029073,5.03680662785308
65,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.238877249766466,4.986625322981669
66,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.58349006195906,5.2265193941576165
67,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.480887126433905,5.134497664136889
68,3,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.344193441761142,5.1210291507466374
69,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.30842342041886,5.095085334558306
70,3,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.549064598512675,5.248006462217751
71,3,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.547899773344637,5.253228563049798
72,3,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.287258934689016,5.027168984903922
73,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.22967850384105,5.010437453606057
74,3,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.442984739213667,5.158831504309467
75,3,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.351932166180165,5.082198169332972
76,3,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.3207978358544805,5.091058147573556
77,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.289751446871089,5.092324593000536
78,3,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.488235690879433,5.195087597911363
79,3,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.4144595095414525,5.13422055286234
80,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.235617884391423,5.006974537453145
81,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.207450952136375,4.959317764208664
82,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.39592484753576,5.09497229805004
83,3,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.304776055598656,5.028488232759009
84,3,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.274642656184868,5.068113553938785
85,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.2530847560726475,5.0547605966605085
86,3,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.441771810693798,5.160211540026689
87,3,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.402313503375963,5.121877705693931
88,3,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.2518608393801145,5.024480357826525
89,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.26435242638532,5.034577258363889
90,3,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.3740243415545805,5.103792885725824
91,3,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.273248397785602,5.027381381101023
92,3,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.285534726989582,5.072932478176038
93,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.3297004613471355,5.0906541637980185
94,3,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.380712258963604,5.110476323425272
95,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.328093893415586,5.068669582778296
