seed,learning_rate,dropout,d_main,num_blocks,val_rmse_scaled,val_mae_scaled,val_rmse_raw,val_mae_raw,test_rmse_scaled,test_mae_scaled,test_rmse_raw,test_mae_raw
860.0,0.001,0.0,64.0,2.0,0.32522112131118774,0.24028576910495758,0.15152882039546967,0.11195527017116547,0.20280078053474426,0.1719922125339508,0.09449005126953125,0.08013556897640228
861.0,0.001,0.0,64.0,2.0,0.2994122803211212,0.18778684735298157,0.1303582340478897,0.08175869286060333,0.23148375749588013,0.16796116530895233,0.10078346729278564,0.07312697172164917
862.0,0.001,0.0,64.0,2.0,0.3499497175216675,0.26864704489707947,0.153770312666893,0.11804535984992981,0.16873642802238464,0.1360967457294464,0.07414394617080688,0.0598018504679203
863.0,0.001,0.0,64.0,2.0,0.11261196434497833,0.06180836260318756,0.056288473308086395,0.0308945681899786,0.15396730601787567,0.1167939305305481,0.07695968449115753,0.05837877839803696
864.0,0.001,0.0,64.0,2.0,0.2272099405527115,0.19078081846237183,0.1039857268333435,0.08731343597173691,0.3249414563179016,0.25497257709503174,0.1487138867378235,0.11669167131185532
865.0,0.001,0.0,64.0,2.0,0.2753216624259949,0.22564122080802917,0.12095799297094345,0.09913171827793121,0.425884485244751,0.31565338373184204,0.18710531294345856,0.13867709040641785
866.0,0.001,0.0,64.0,2.0,0.18539363145828247,0.14276807010173798,0.08492577075958252,0.06539969146251678,0.3072727918624878,0.25676262378692627,0.14075663685798645,0.11761875450611115
867.0,0.001,0.0,64.0,2.0,0.23887692391872406,0.18624809384346008,0.10006759315729141,0.07802092283964157,0.2226029932498932,0.177545428276062,0.09325029700994492,0.07437531650066376
868.0,0.001,0.0,64.0,2.0,0.28388214111328125,0.2097557783126831,0.12430416792631149,0.0918462723493576,0.18088854849338531,0.13045237958431244,0.07920613139867783,0.057121507823467255
869.0,0.001,0.0,64.0,2.0,0.26469358801841736,0.19051310420036316,0.12166059017181396,0.08756516128778458,0.2006472796201706,0.16385015845298767,0.09222313016653061,0.07531015574932098
870.0,0.001,0.0,64.0,2.0,0.21204105019569397,0.14900518953800201,0.08895537257194519,0.06251058727502823,0.31774115562438965,0.2300003468990326,0.1332986205816269,0.09648962318897247
871.0,0.001,0.0,64.0,2.0,0.22320011258125305,0.18558216094970703,0.10745303332805634,0.08934299647808075,0.15826982259750366,0.13743409514427185,0.07619428634643555,0.0661635473370552
872.0,0.001,0.0,64.0,2.0,0.17820940911769867,0.13686725497245789,0.07776769995689392,0.05972665548324585,0.34291568398475647,0.19380152225494385,0.14964286983013153,0.08457186818122864
873.0,0.001,0.0,64.0,2.0,0.16143742203712463,0.13227687776088715,0.07651655375957489,0.06269532442092896,0.23899485170841217,0.17853251099586487,0.11327645182609558,0.08461910486221313
874.0,0.001,0.0,64.0,2.0,0.19063682854175568,0.1381681114435196,0.08707273751497269,0.06310781836509705,0.23774026334285736,0.18913336098194122,0.10858709365129471,0.0863860547542572
875.0,0.001,0.0,64.0,2.0,0.21663512289524078,0.16870014369487762,0.09536835551261902,0.07426615804433823,0.26548677682876587,0.18742969632148743,0.11687413603067398,0.08251141011714935
876.0,0.001,0.0,64.0,2.0,0.14800724387168884,0.11645534634590149,0.06996453553438187,0.055049631744623184,0.25322413444519043,0.15826639533042908,0.11970163136720657,0.07481414079666138
877.0,0.001,0.0,64.0,2.0,0.3176492154598236,0.21233272552490234,0.1429385095834732,0.09554731100797653,0.2445610910654068,0.1500602513551712,0.11004970967769623,0.06752540916204453
878.0,0.001,0.0,64.0,2.0,0.1904599517583847,0.15259674191474915,0.09397676587104797,0.07529430091381073,0.18012474477291107,0.13301445543766022,0.08887715637683868,0.06563200056552887
879.0,0.001,0.0,64.0,2.0,0.2711179852485657,0.18054255843162537,0.12217718362808228,0.08136007189750671,0.36584511399269104,0.24001957476139069,0.16486521065235138,0.10816292464733124
880.0,0.001,0.0,64.0,2.0,0.2691856622695923,0.21098892390727997,0.11654764413833618,0.09135057032108307,0.30372533202171326,0.26504307985305786,0.13150209188461304,0.1147540807723999
881.0,0.001,0.0,64.0,2.0,0.19346913695335388,0.15583296120166779,0.09599354863166809,0.07731960713863373,0.29988259077072144,0.22017475962638855,0.14879268407821655,0.10924406349658966
882.0,0.001,0.0,64.0,2.0,0.21376527845859528,0.18435147404670715,0.10160142928361893,0.08762121945619583,0.17839162051677704,0.14918676018714905,0.08478854596614838,0.07090763747692108
883.0,0.001,0.0,64.0,2.0,0.334268718957901,0.2531101703643799,0.13310058414936066,0.10078451037406921,0.30745676159858704,0.2061508148908615,0.12242446094751358,0.08208601921796799
884.0,0.001,0.0,64.0,2.0,0.17646214365959167,0.12411485612392426,0.08261304348707199,0.058105986565351486,0.25845396518707275,0.19259777665138245,0.1209985613822937,0.09016714990139008
885.0,0.001,0.0,64.0,2.0,0.31334713101387024,0.21877436339855194,0.14426827430725098,0.10072597861289978,0.29258689284324646,0.21833516657352448,0.13471004366874695,0.10052376985549927
886.0,0.001,0.0,64.0,2.0,0.18241946399211884,0.15621715784072876,0.08820201456546783,0.07553286850452423,0.2515895366668701,0.18571510910987854,0.12164659798145294,0.08979550749063492
887.0,0.001,0.0,64.0,2.0,0.25994765758514404,0.17029201984405518,0.11415135115385056,0.07478068023920059,0.26072239875793457,0.19356253743171692,0.1144915521144867,0.08499951660633087
888.0,0.001,0.0,64.0,2.0,0.3017004132270813,0.17282520234584808,0.1276358962059021,0.07311458140611649,0.27145665884017944,0.177812397480011,0.11484109610319138,0.07522442191839218
889.0,0.001,0.0,64.0,2.0,0.2501635253429413,0.20299459993839264,0.10584358125925064,0.08588652312755585,0.20925401151180267,0.15600767731666565,0.08853485435247421,0.06600645184516907
860.0,0.001,0.0,64.0,4.0,0.3486326336860657,0.2500537037849426,0.162436842918396,0.11650639772415161,0.2055952250957489,0.15823841094970703,0.09579204767942429,0.0737273097038269
861.0,0.001,0.0,64.0,4.0,0.22981449961662292,0.16518965363502502,0.10005669295787811,0.07192029058933258,0.2027950882911682,0.16292741894721985,0.08829297870397568,0.07093538343906403
862.0,0.001,0.0,64.0,4.0,0.36257103085517883,0.2630125880241394,0.15931618213653564,0.11556953936815262,0.11191383004188538,0.09970013797283173,0.04917570948600769,0.04380892962217331
863.0,0.001,0.0,64.0,4.0,0.12070167064666748,0.09793977439403534,0.0603320449590683,0.048954643309116364,0.14089855551719666,0.10816945880651474,0.07042735069990158,0.054067887365818024
864.0,0.001,0.0,64.0,4.0,0.19854819774627686,0.1408131718635559,0.0908682644367218,0.06444504112005234,0.29817262291908264,0.21666201949119568,0.1364627629518509,0.09915832430124283
865.0,0.001,0.0,64.0,4.0,0.24189050495624542,0.15637066960334778,0.10627057403326035,0.06869885325431824,0.33892548084259033,0.26248687505722046,0.14890128374099731,0.11531925201416016
866.0,0.001,0.0,64.0,4.0,0.1523461639881134,0.11492499709129333,0.06978725641965866,0.0526452362537384,0.23870183527469635,0.20476913452148438,0.10934539139270782,0.09380137175321579
867.0,0.001,0.0,64.0,4.0,0.3110499382019043,0.21155664324760437,0.13030150532722473,0.08862291276454926,0.2814643085002899,0.20647422969341278,0.11790781468153,0.08649381995201111
868.0,0.001,0.0,64.0,4.0,0.2394050657749176,0.20830988883972168,0.10482890158891678,0.0912131816148758,0.17053167521953583,0.14317184686660767,0.07467111945152283,0.06269100308418274
869.0,0.001,0.0,64.0,4.0,0.24667522311210632,0.19377656280994415,0.1133788526058197,0.08906514197587967,0.21007949113845825,0.12897053360939026,0.09655841439962387,0.059278469532728195
870.0,0.001,0.0,64.0,4.0,0.19259192049503326,0.1585686057806015,0.08079608529806137,0.06652263551950455,0.28139805793762207,0.17925024032592773,0.11805197596549988,0.07519896328449249
871.0,0.001,0.0,64.0,4.0,0.2770584523677826,0.2356145828962326,0.13338151574134827,0.11342960596084595,0.20645475387573242,0.16390460729599,0.09939148277044296,0.07890697568655014
872.0,0.001,0.0,64.0,4.0,0.1854218691587448,0.1509518176317215,0.08091511577367783,0.0658729299902916,0.2367030829191208,0.17543214559555054,0.10329336673021317,0.07655572146177292
873.0,0.001,0.0,64.0,4.0,0.1995081901550293,0.16238152980804443,0.09456097334623337,0.07696403563022614,0.21004866063594818,0.1569177210330963,0.09955684095621109,0.07437433302402496
874.0,0.001,0.0,64.0,4.0,0.19229048490524292,0.15100616216659546,0.08782804012298584,0.06897155940532684,0.19789181649684906,0.15458175539970398,0.09038646519184113,0.07060471922159195
875.0,0.001,0.0,64.0,4.0,0.20221064984798431,0.15712039172649384,0.0890183299779892,0.06916844099760056,0.2822132110595703,0.19906464219093323,0.12423752248287201,0.08763338625431061
876.0,0.001,0.0,64.0,4.0,0.1386188417673111,0.10748946666717529,0.06552653759717941,0.05081136152148247,0.2444673478603363,0.173672616481781,0.11556220054626465,0.08209680765867233
877.0,0.001,0.0,64.0,4.0,0.2922300696372986,0.21360644698143005,0.13150018453598022,0.09612046182155609,0.275360643863678,0.19780421257019043,0.12390913814306259,0.08900964260101318
878.0,0.001,0.0,64.0,4.0,0.21743805706501007,0.15476281940937042,0.10728829354047775,0.07636308670043945,0.21716605126857758,0.1273132562637329,0.10715407133102417,0.06281891465187073
879.0,0.001,0.0,64.0,4.0,0.1884029060602188,0.15201392769813538,0.08490227907896042,0.06850387156009674,0.2263198047876358,0.17548006772994995,0.10198922455310822,0.07907870411872864
880.0,0.001,0.0,64.0,4.0,0.27272072434425354,0.21794044971466064,0.11807820945978165,0.09436032176017761,0.19811339676380157,0.13535255193710327,0.0857759490609169,0.05860275775194168
881.0,0.001,0.0,64.0,4.0,0.1914360672235489,0.15848243236541748,0.09498479217290878,0.07863420248031616,0.24587219953536987,0.20104211568832397,0.12199434638023376,0.09975101053714752
882.0,0.001,0.0,64.0,4.0,0.16046299040317535,0.12965571880340576,0.07626716047525406,0.06162463501095772,0.11391808837652206,0.0959659069776535,0.05414462462067604,0.04561205208301544
883.0,0.001,0.0,64.0,4.0,0.3853784203529358,0.26038888096809387,0.15345165133476257,0.10368276387453079,0.3979741036891937,0.27163606882095337,0.15846705436706543,0.10816121846437454
884.0,0.001,0.0,64.0,4.0,0.19795671105384827,0.10955934226512909,0.09267598390579224,0.05129162594676018,0.14469699561595917,0.12126202881336212,0.0677417665719986,0.056770384311676025
885.0,0.001,0.0,64.0,4.0,0.23225635290145874,0.15670786798000336,0.10693325102329254,0.07214991748332977,0.23301444947719574,0.20345497131347656,0.10728226602077484,0.09367276728153229
