seed,learning_rate,dropout,d_main,num_blocks,val_rmse,val_mae,rmse,mae
860.0,0.001,0.0,64.0,2.0,0.2926271855831146,0.22835604846477509,0.18819449841976166,0.14288021624088287
861.0,0.001,0.0,64.0,2.0,0.1470872163772583,0.11541339755058289,0.14615857601165771,0.12292853742837906
862.0,0.001,0.0,64.0,2.0,0.15250079333782196,0.11983232945203781,0.15354673564434052,0.12246017903089523
863.0,0.001,0.0,64.0,2.0,0.10437677055597305,0.08482818305492401,0.1542494148015976,0.12209471315145493
864.0,0.001,0.0,64.0,2.0,0.11200273036956787,0.08589321374893188,0.15136940777301788,0.1212412565946579
865.0,0.001,0.0,64.0,2.0,0.16730377078056335,0.11455120891332626,0.20971165597438812,0.16957134008407593
866.0,0.001,0.0,64.0,2.0,0.12102562189102173,0.09132213890552521,0.1377802938222885,0.09952296316623688
867.0,0.001,0.0,64.0,2.0,0.40968063473701477,0.35153964161872864,0.46409299969673157,0.4121326804161072
868.0,0.001,0.0,64.0,2.0,0.17247465252876282,0.11746297776699066,0.1831195205450058,0.1417439877986908
869.0,0.001,0.0,64.0,2.0,0.25454598665237427,0.18333128094673157,0.28968554735183716,0.2263653427362442
870.0,0.001,0.0,64.0,2.0,0.24437659978866577,0.19032640755176544,0.3047613799571991,0.2359054833650589
871.0,0.001,0.0,64.0,2.0,0.37343305349349976,0.29902687668800354,0.20193549990653992,0.16172416508197784
872.0,0.001,0.0,64.0,2.0,0.12857940793037415,0.09123735874891281,0.12012450397014618,0.09007541090250015
873.0,0.001,0.0,64.0,2.0,0.24961714446544647,0.19931066036224365,0.3170872926712036,0.22852258384227753
874.0,0.001,0.0,64.0,2.0,0.1960975080728531,0.1783071756362915,0.1830701231956482,0.16579227149486542
875.0,0.001,0.0,64.0,2.0,0.12781044840812683,0.0961485356092453,0.09307543933391571,0.07030598074197769
876.0,0.001,0.0,64.0,2.0,0.09814003109931946,0.08193269371986389,0.19769762456417084,0.14091184735298157
877.0,0.001,0.0,64.0,2.0,0.153905987739563,0.10981487482786179,0.12420020997524261,0.1017218753695488
878.0,0.001,0.0,64.0,2.0,0.14304675161838531,0.10267054289579391,0.15846307575702667,0.12333448231220245
879.0,0.001,0.0,64.0,2.0,0.12320270389318466,0.10177148133516312,0.12828746438026428,0.09578540176153183
880.0,0.001,0.0,64.0,2.0,0.2093595415353775,0.16750366985797882,0.2002803385257721,0.17055334150791168
881.0,0.001,0.0,64.0,2.0,0.15905138850212097,0.11416088789701462,0.1364888846874237,0.10516643524169922
882.0,0.001,0.0,64.0,2.0,0.30087795853614807,0.2426043450832367,0.2539976239204407,0.2126035839319229
883.0,0.001,0.0,64.0,2.0,0.29477429389953613,0.22979870438575745,0.30341285467147827,0.22944369912147522
884.0,0.001,0.0,64.0,2.0,0.13828922808170319,0.11292264610528946,0.1786874383687973,0.15078100562095642
885.0,0.001,0.0,64.0,2.0,0.33246758580207825,0.27525794506073,0.2759045660495758,0.22580023109912872
886.0,0.001,0.0,64.0,2.0,0.16287080943584442,0.10859552770853043,0.17080220580101013,0.12021210789680481
887.0,0.001,0.0,64.0,2.0,0.14952804148197174,0.09279999881982803,0.22773988544940948,0.14888645708560944
888.0,0.001,0.0,64.0,2.0,0.42093729972839355,0.32381877303123474,0.3711651861667633,0.2857893109321594
889.0,0.001,0.0,64.0,2.0,0.17827077209949493,0.14211639761924744,0.15202243626117706,0.1284925937652588
860.0,0.001,0.0,64.0,4.0,0.19636739790439606,0.1291489601135254,0.08797496557235718,0.06677217781543732
861.0,0.001,0.0,64.0,4.0,0.12033503502607346,0.10225671529769897,0.12683607637882233,0.10222011804580688
862.0,0.001,0.0,64.0,4.0,0.15436717867851257,0.120320163667202,0.1653425693511963,0.1279977560043335
863.0,0.001,0.0,64.0,4.0,0.1326199769973755,0.09432585537433624,0.21493491530418396,0.1640867292881012
864.0,0.001,0.0,64.0,4.0,0.2590771019458771,0.23605091869831085,0.2845630347728729,0.23860406875610352
865.0,0.001,0.0,64.0,4.0,0.1544758677482605,0.11546702682971954,0.24237151443958282,0.18651248514652252
866.0,0.001,0.0,64.0,4.0,0.10528021305799484,0.0772838220000267,0.12998609244823456,0.08929526060819626
867.0,0.001,0.0,64.0,4.0,0.10988856106996536,0.08824505656957626,0.12263879925012589,0.10753133893013
868.0,0.001,0.0,64.0,4.0,0.17168648540973663,0.15239456295967102,0.14022842049598694,0.1261657476425171
869.0,0.001,0.0,64.0,4.0,0.3617844581604004,0.27426308393478394,0.4144500195980072,0.3662170469760895
870.0,0.001,0.0,64.0,4.0,0.143754243850708,0.11144447326660156,0.1293187141418457,0.09574730694293976
871.0,0.001,0.0,64.0,4.0,0.22074450552463531,0.1775922328233719,0.13666324317455292,0.11432997137308121
872.0,0.001,0.0,64.0,4.0,0.25451943278312683,0.19495342671871185,0.33817169070243835,0.2655497193336487
873.0,0.001,0.0,64.0,4.0,0.13726912438869476,0.10548877716064453,0.1437368541955948,0.08371029794216156
874.0,0.001,0.0,64.0,4.0,0.09002374857664108,0.058092884719371796,0.11242971569299698,0.07793332636356354
875.0,0.001,0.0,64.0,4.0,0.1466088443994522,0.10276376456022263,0.09549199789762497,0.07050771266222
876.0,0.001,0.0,64.0,4.0,0.08255794644355774,0.061380766332149506,0.12004925310611725,0.09556005150079727
877.0,0.001,0.0,64.0,4.0,0.26047712564468384,0.18988008797168732,0.20454631745815277,0.1633528769016266
878.0,0.001,0.0,64.0,4.0,0.15678516030311584,0.12897352874279022,0.1509048044681549,0.111518494784832
879.0,0.001,0.0,64.0,4.0,0.15644335746765137,0.112216517329216,0.18857762217521667,0.1273876428604126
880.0,0.001,0.0,64.0,4.0,0.14084289968013763,0.10904362052679062,0.1082281544804573,0.0854792669415474
881.0,0.001,0.0,64.0,4.0,0.17674270272254944,0.1388058215379715,0.18867172300815582,0.1504877209663391
882.0,0.001,0.0,64.0,4.0,0.12352802604436874,0.08037880808115005,0.10037320852279663,0.0803554505109787
883.0,0.001,0.0,64.0,4.0,0.24642711877822876,0.19553518295288086,0.214133158326149,0.156971737742424
884.0,0.001,0.0,64.0,4.0,0.09993602335453033,0.06533795595169067,0.0963849127292633,0.0701218917965889
885.0,0.001,0.0,64.0,4.0,0.2932911217212677,0.2292717695236206,0.3175923228263855,0.2535727918148041
886.0,0.001,0.0,64.0,4.0,0.21925586462020874,0.17531634867191315,0.22818435728549957,0.19004063308238983
887.0,0.001,0.0,64.0,4.0,0.26092249155044556,0.21493345499038696,0.32959985733032227,0.2234368771314621
888.0,0.001,0.0,64.0,4.0,0.14784479141235352,0.11013256758451462,0.15095795691013336,0.11422809213399887
889.0,0.001,0.0,64.0,4.0,0.33562448620796204,0.30635035037994385,0.26920241117477417,0.227657750248909
860.0,0.001,0.0,256.0,2.0,0.42726948857307434,0.39322829246520996,0.3838350176811218,0.35323038697242737
861.0,0.001,0.0,256.0,2.0,0.19622229039669037,0.16711395978927612,0.20619234442710876,0.17014279961585999
862.0,0.001,0.0,256.0,2.0,0.2717905044555664,0.20836873352527618,0.27370625734329224,0.22013477981090546
