seed,learning_rate,dropout,d_main,num_blocks,val_rmse,val_mae,rmse,mae
860.0,0.001,0.0,64.0,2.0,0.2872675657272339,0.23767749965190887,0.1571645885705948,0.11489538103342056
861.0,0.001,0.0,64.0,2.0,0.19769659638404846,0.18824255466461182,0.2852945327758789,0.2574361264705658
862.0,0.001,0.0,64.0,2.0,0.1686304360628128,0.15194593369960785,0.1584109365940094,0.12567979097366333
863.0,0.001,0.0,64.0,2.0,0.19012925028800964,0.15375155210494995,0.25715646147727966,0.2250964492559433
864.0,0.001,0.0,64.0,2.0,0.22338472306728363,0.20150132477283478,0.2490319311618805,0.21897868812084198
865.0,0.001,0.0,64.0,2.0,0.3510567247867584,0.31640422344207764,0.35318219661712646,0.3159219026565552
866.0,0.001,0.0,64.0,2.0,0.4037237763404846,0.35732677578926086,0.3456514775753021,0.3348708152770996
867.0,0.001,0.0,64.0,2.0,0.6667096018791199,0.6318557858467102,0.6346962451934814,0.6045528054237366
868.0,0.001,0.0,64.0,2.0,0.6629019975662231,0.6104196906089783,0.8158364295959473,0.7644811272621155
869.0,0.001,0.0,64.0,2.0,0.5716376900672913,0.5334871411323547,0.54791259765625,0.4750621020793915
870.0,0.001,0.0,64.0,2.0,0.1531449556350708,0.11619427055120468,0.20164167881011963,0.1602867841720581
871.0,0.001,0.0,64.0,2.0,0.2787017226219177,0.20937256515026093,0.32926416397094727,0.29011332988739014
872.0,0.001,0.0,64.0,2.0,0.33402442932128906,0.2975710928440094,0.34676194190979004,0.2855040729045868
873.0,0.001,0.0,64.0,2.0,0.6038339734077454,0.5700891613960266,0.5611528754234314,0.5092509984970093
874.0,0.001,0.0,64.0,2.0,0.5953162908554077,0.45377933979034424,0.4742574691772461,0.3658669888973236
875.0,0.001,0.0,64.0,2.0,0.26650142669677734,0.22926361858844757,0.37382134795188904,0.3573189973831177
876.0,0.001,0.0,64.0,2.0,0.5556926131248474,0.5443435311317444,0.5685081481933594,0.5426231026649475
877.0,0.001,0.0,64.0,2.0,0.2858089506626129,0.2558441162109375,0.19285917282104492,0.1740003377199173
878.0,0.001,0.0,64.0,2.0,0.3929954171180725,0.3083287477493286,0.2844644784927368,0.21960090100765228
879.0,0.001,0.0,64.0,2.0,0.23079949617385864,0.19822168350219727,0.3645777404308319,0.3288255035877228
