seed,learning_rate,dropout,d_main,num_blocks,val_rmse,val_mae,rmse,mae
860.0,0.001,0.0,64.0,2.0,0.28716298937797546,0.25741347670555115,0.11618295311927795,0.0956578254699707
861.0,0.001,0.0,64.0,2.0,0.09699685871601105,0.06900259852409363,0.15312683582305908,0.11405313014984131
862.0,0.001,0.0,64.0,2.0,0.15719042718410492,0.1377868503332138,0.11549259722232819,0.08907880634069443
863.0,0.001,0.0,64.0,2.0,0.13334712386131287,0.11157987266778946,0.12876440584659576,0.10133117437362671
864.0,0.001,0.0,64.0,2.0,0.14626549184322357,0.10911484807729721,0.15446214377880096,0.110465407371521
865.0,0.001,0.0,64.0,2.0,0.3472083508968353,0.31226733326911926,0.3546111583709717,0.3100261092185974
866.0,0.001,0.0,64.0,2.0,0.18989266455173492,0.1437753289937973,0.10006331652402878,0.07777263969182968
867.0,0.001,0.0,64.0,2.0,0.2831120193004608,0.2552787959575653,0.3017542064189911,0.28048989176750183
868.0,0.001,0.0,64.0,2.0,0.10776037722826004,0.08298120647668839,0.17365865409374237,0.14396540820598602
869.0,0.001,0.0,64.0,2.0,0.21433545649051666,0.20395874977111816,0.25504112243652344,0.23155467212200165
870.0,0.001,0.0,64.0,2.0,0.20136664807796478,0.1602489948272705,0.17335237562656403,0.12954305112361908
871.0,0.001,0.0,64.0,2.0,0.23616661131381989,0.18444429337978363,0.34681183099746704,0.29597899317741394
872.0,0.001,0.0,64.0,2.0,0.11807343363761902,0.0986650213599205,0.1481567770242691,0.10639495402574539
873.0,0.001,0.0,64.0,2.0,0.14514446258544922,0.11115715652704239,0.17624972760677338,0.1479661613702774
874.0,0.001,0.0,64.0,2.0,0.6623077988624573,0.5896260738372803,0.5000708103179932,0.46094807982444763
875.0,0.001,0.0,64.0,2.0,0.2963307797908783,0.2625516951084137,0.3382517695426941,0.2810908555984497
876.0,0.001,0.0,64.0,2.0,0.37746375799179077,0.32109299302101135,0.5396679639816284,0.49836912751197815
