,seed,d,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,900.0,1.0,0.05,1.0,1.1255531503055012,0.898381947317891,1.076103979308879,0.8615986232315785
1,900.0,1.0,0.05,2.0,1.0079094734923342,0.7861709146021645,0.9959775456220041,0.7797300490630935
2,900.0,1.0,0.05,3.0,1.0670019596436775,0.8105919834527061,1.0737227058092738,0.8306816289702937
3,900.0,1.0,0.05,4.0,1.120039407516992,0.8576705941272571,1.1251152108718554,0.8777593722513347
4,900.0,1.0,0.05,5.0,1.246495902786768,0.9617171490600733,1.229487278460483,0.963099124159077
5,900.0,1.0,0.05,6.0,1.4292994450845458,1.1078142488106963,1.4093252244343029,1.1131692008349645
6,900.0,1.0,0.05,7.0,1.5886363025456802,1.2439479200163692,1.5391177208709237,1.2090319417647357
7,900.0,1.0,0.075,1.0,1.104383898470551,0.8819645321641183,1.058310958851473,0.8528021460812153
8,900.0,1.0,0.075,2.0,1.0299080553405857,0.8057830595648755,1.0089617595724452,0.7885181405838658
9,900.0,1.0,0.075,3.0,1.052576775850529,0.8131048568987826,1.0528269871976472,0.813297970992845
10,900.0,1.0,0.075,4.0,1.1344965647533143,0.8739240438581899,1.1175300822910583,0.8764870954647052
11,900.0,1.0,0.075,5.0,1.3011668459298684,1.010411405536561,1.2570902322780406,0.9870671530742419
12,900.0,1.0,0.075,6.0,1.4976508198758631,1.1653757795576893,1.4980898930795576,1.1729862952332255
13,900.0,1.0,0.075,7.0,1.5657646557098528,1.2120299874592604,1.5024642406418645,1.1644122010215754
14,900.0,1.0,0.1,1.0,1.0994487028090016,0.8787873161218518,1.0559925094130347,0.8513831635237892
15,900.0,1.0,0.1,2.0,1.0203845239449445,0.799069829947132,1.0057020187029158,0.7870280733087663
16,900.0,1.0,0.1,3.0,1.118077670003092,0.859551576797886,1.118694972014589,0.8609393275246089
17,900.0,1.0,0.1,4.0,1.163275607826145,0.8987146727167301,1.1314485270191708,0.8842680568610929
18,900.0,1.0,0.1,5.0,1.3177456454255683,1.0231256278947607,1.271158653033183,0.9902697500303407
19,900.0,1.0,0.1,6.0,1.4604558225289885,1.1475948006433023,1.4563721007921249,1.1437065569169775
20,900.0,1.0,0.1,7.0,1.6171587222762025,1.268686490660233,1.589249961580025,1.2577595047354062
21,900.0,1.0,0.125,1.0,1.0925904149934402,0.8730592317256142,1.0526855457009658,0.8474683640919478
22,900.0,1.0,0.125,2.0,1.0033065156511194,0.7754704594179512,1.0093548070979896,0.7893162708398245
23,900.0,1.0,0.125,3.0,1.1349330921046332,0.8601494071921374,1.13337826632053,0.8764509071446839
24,900.0,1.0,0.125,4.0,1.2118306748034657,0.9343238136701247,1.190320151499381,0.9401133456982677
25,900.0,1.0,0.125,5.0,1.3497803639287844,1.0385016182912596,1.2651522996719489,1.000145595812888
26,900.0,1.0,0.125,6.0,1.436761498591066,1.1227341518911595,1.4351998823064498,1.1157880612341404
27,900.0,1.0,0.125,7.0,1.6432671774914795,1.2860151971908453,1.5957490090970818,1.2534940953476672
28,900.0,1.0,0.15,1.0,1.0968000645905147,0.8805200732365548,1.0621059754648368,0.8584322252134124
29,900.0,1.0,0.15,2.0,1.0525972613372065,0.8306198536691727,1.0169618610836695,0.8055898142222951
30,900.0,1.0,0.15,3.0,1.09897780206855,0.8664139088425713,1.1235311107480925,0.8845851997400721
31,900.0,1.0,0.15,4.0,1.1545875729791775,0.9035454883202029,1.1531708891147239,0.9008786745632064
32,900.0,1.0,0.15,5.0,1.3862053074767697,1.084224108433451,1.3142735799693146,1.0293969127316054
33,900.0,1.0,0.15,6.0,1.4885055941655865,1.1710970082106087,1.493829126458554,1.175466768785685
34,900.0,1.0,0.15,7.0,1.6530527996225006,1.3041146893775997,1.5816279890473142,1.2492248936485795
35,900.0,1.0,0.175,1.0,1.1066357390265749,0.8815321441928073,1.0779632586326477,0.8707534217667425
36,900.0,1.0,0.175,2.0,1.0096481888525894,0.8031162159289486,0.9934684710931839,0.7899099112158893
37,900.0,1.0,0.175,3.0,1.1301938409398953,0.8769642426085054,1.12624903631711,0.8750901751877133
38,900.0,1.0,0.175,4.0,1.2252424223930523,0.9576735726949716,1.2162106499561507,0.9439505237405809
39,900.0,1.0,0.175,5.0,1.4302043154563069,1.1250916467225351,1.3949477767287957,1.0983994405868445
40,900.0,1.0,0.175,6.0,1.5466977023856208,1.2030642458748677,1.4951621489117557,1.1876080353406582
41,900.0,1.0,0.175,7.0,1.6511218067995705,1.3143752163581373,1.6520477900705275,1.2912135855689966
42,900.0,1.0,0.2,1.0,1.1179296550078874,0.8933106710072614,1.0779542467593197,0.8673457021957351
43,900.0,1.0,0.2,2.0,0.9954754874215844,0.7759825547724856,0.9671057586151149,0.763139691480619
44,900.0,1.0,0.2,3.0,1.1690067708625564,0.9235224743051421,1.1547531416763945,0.9075120722228603
45,900.0,1.0,0.2,4.0,1.292707742835317,1.010176784102216,1.2489082783362955,0.9810327675941466
46,900.0,1.0,0.2,5.0,1.4089552676015695,1.1057738845997283,1.4138543790574623,1.1151410181937025
47,900.0,1.0,0.2,6.0,1.5916247334613214,1.2238622767996423,1.5495288812804537,1.217382439578762
48,900.0,1.0,0.2,7.0,1.6494930803316492,1.3056746896943292,1.657459953818246,1.3177133576329092
49,900.0,1.0,0.225,1.0,1.1144571345507905,0.8895731548150738,1.076665766336792,0.8712813874707851
50,900.0,1.0,0.225,2.0,1.0670243186942636,0.8306147685515546,1.0629129966133006,0.8307901337926783
51,900.0,1.0,0.225,3.0,1.1417852194661748,0.906939474507455,1.1372733428700046,0.8876302993580505
52,900.0,1.0,0.225,4.0,1.3293149152427495,1.050809182465893,1.2816100136896833,0.9977192167391938
53,900.0,1.0,0.225,5.0,1.5094430617361754,1.1905515868264134,1.4539679599983413,1.1360430594946338
54,900.0,1.0,0.225,6.0,1.5508251585106416,1.2204238773532123,1.561560435598258,1.2142535927850113
55,900.0,1.0,0.225,7.0,1.714947187971683,1.3854021465270911,1.6921651467716596,1.3355435718868558
56,900.0,1.0,0.25,1.0,1.117001774148633,0.8976259694463138,1.0801578528630922,0.8731542503315336
57,900.0,1.0,0.25,2.0,1.0660098589676124,0.8258121652078353,1.0577543694990506,0.8374921376062066
58,900.0,1.0,0.25,3.0,1.2691978264962023,0.982149115940477,1.2179452639041035,0.9732271678858747
59,900.0,1.0,0.25,4.0,1.3272569017523805,1.0202738006383054,1.3420913834368846,1.0441351846177662
60,900.0,1.0,0.25,5.0,1.4236766985008709,1.1179145141438471,1.51211018857442,1.1771152663031943
61,900.0,1.0,0.25,6.0,1.657625513607093,1.2760015407719876,1.5831499648244525,1.2286882915915682
62,900.0,1.0,0.25,7.0,1.703133767470153,1.3550271528668432,1.7574682141405902,1.3938140577064948
63,900.0,1.0,0.275,1.0,1.114301868033999,0.8880819980402109,1.065713026895583,0.85617550414957
64,900.0,1.0,0.275,2.0,1.1103391512601484,0.870542614111836,1.1115003426606962,0.873458164212998
65,900.0,1.0,0.275,3.0,1.2643586697554225,0.9885185222381494,1.2464352046002007,0.9811690805921917
66,900.0,1.0,0.275,4.0,1.3702394961077309,1.0752898881808033,1.3834553940220624,1.0797183172905567
67,900.0,1.0,0.275,5.0,1.4864496718905176,1.1724708585583754,1.466710044252167,1.163427921288164
68,900.0,1.0,0.275,6.0,1.67594134433931,1.3341808413538938,1.6960452929906886,1.3267830296815337
69,900.0,1.0,0.275,7.0,1.759894388566478,1.3712041877012735,1.7277761709082844,1.3606861087553666
70,900.0,1.0,0.3,1.0,1.111659113219514,0.888543472896486,1.0647165276365116,0.8574415460507642
71,900.0,1.0,0.3,2.0,1.0494604146661972,0.8218250385805049,1.0789061956877437,0.8556463931709911
72,900.0,1.0,0.3,3.0,1.2318515370810716,0.9701975853775522,1.2764043614598861,0.9952295842514762
73,900.0,1.0,0.3,4.0,1.4370839385527594,1.12339409045747,1.4519156309513428,1.1049012713838886
74,900.0,1.0,0.3,5.0,1.5468273198839364,1.225398541842685,1.47456928290592,1.1467683897772125
75,900.0,1.0,0.3,6.0,1.646366394528556,1.2994042193445792,1.6706948831324235,1.3213916420013347
76,900.0,1.0,0.3,7.0,1.7410361712354872,1.3674696750985218,1.7075285304632097,1.3539312861285009
77,900.0,2.0,0.05,1.0,1.129930019003215,0.9053603421642678,1.1084620233230134,0.8916254373699088
78,900.0,2.0,0.05,2.0,1.1022946326129377,0.86841140010157,1.0724390833523314,0.8526943631311809
79,900.0,2.0,0.05,3.0,1.1468334520799448,0.8943820661549196,1.1199975646506843,0.8723638995672284
80,900.0,2.0,0.05,4.0,1.2442856608842066,0.9733575146827498,1.1997657560276966,0.9281143600122834
81,900.0,2.0,0.05,5.0,1.434622379684959,1.0974103903230168,1.3527988383108827,1.0429163926558256
82,900.0,2.0,0.05,6.0,1.5224415750071394,1.182872821426733,1.4107387548262023,1.0963897959059865
83,900.0,2.0,0.05,7.0,1.776895125165606,1.3768345682649277,1.6814299118262155,1.3007802249243094
84,900.0,2.0,0.075,1.0,1.1313065023148992,0.9079927940485568,1.110940907619672,0.8918325242459968
85,900.0,2.0,0.075,2.0,1.115196809884668,0.8858417943208735,1.1042569061251428,0.8773094621549042
86,900.0,2.0,0.075,3.0,1.134672265669505,0.8777481536040818,1.115057047856138,0.8725156833744289
87,900.0,2.0,0.075,4.0,1.2711365092751457,0.9820839974853725,1.1955338874554837,0.9257096108780517
88,900.0,2.0,0.075,5.0,1.4138026112805964,1.096977577851754,1.3387646027531352,1.0303275589582017
89,900.0,2.0,0.075,6.0,1.5339005098833336,1.1880084378408795,1.4235714142991214,1.0988438935084044
90,900.0,2.0,0.075,7.0,1.6840059444076003,1.2920770610765717,1.6075349835840587,1.250432684806172
91,900.0,2.0,0.1,1.0,1.1285879265375343,0.9057866916117536,1.1045883107473784,0.886718103068502
92,900.0,2.0,0.1,2.0,1.1254986135420948,0.8890911182906943,1.088430162460509,0.8608108975056736
93,900.0,2.0,0.1,3.0,1.1787644409404694,0.9202386897265401,1.1765155356036292,0.9126895662665263
94,900.0,2.0,0.1,4.0,1.2884140976812246,1.0121473439768571,1.1923977385347557,0.9393147693936874
95,900.0,2.0,0.1,5.0,1.4398606237961573,1.1007038517167522,1.3448082470781777,1.0454833707611482
96,900.0,2.0,0.1,6.0,1.570647105224128,1.2372495763140534,1.4436901111121982,1.1161405067528614
97,900.0,2.0,0.1,7.0,1.751641040921629,1.3717414382771589,1.6564956363455599,1.290077797296847
98,900.0,2.0,0.125,1.0,1.1160580835161165,0.8947399809669809,1.0930152474025403,0.8783203472545432
99,900.0,2.0,0.125,2.0,1.1148941450660124,0.8782893529348447,1.0892895856330365,0.8587860859787338
100,900.0,2.0,0.125,3.0,1.1889488520510958,0.9266392183142507,1.1783140241505237,0.933107908477328
101,900.0,2.0,0.125,4.0,1.2764925152156683,0.9939749688413855,1.1950883549388247,0.9358237560717713
102,900.0,2.0,0.125,5.0,1.468671442334806,1.1354404108696485,1.3579717875119157,1.0566089581819464
103,900.0,2.0,0.125,6.0,1.5711868951147192,1.217418170715273,1.4828234610916664,1.1674901754247673
104,900.0,2.0,0.125,7.0,1.8112065849486292,1.4197114223295575,1.7214722221075323,1.3093225030848261
105,900.0,2.0,0.15,1.0,1.1402349505745661,0.9108207204493011,1.1099867887451984,0.893530682915168
106,900.0,2.0,0.15,2.0,1.1037751791709551,0.8742526225033534,1.0719538754590239,0.8556435773156095
107,900.0,2.0,0.15,3.0,1.2468933970930616,0.9651513331718928,1.2206616988153791,0.9580631760042206
108,900.0,2.0,0.15,4.0,1.3161273155490456,1.0137884106745418,1.223804435309623,0.9527167756405435
109,900.0,2.0,0.15,5.0,1.4870859137808952,1.1698123433594865,1.4063687037534018,1.0903831732228673
110,900.0,2.0,0.15,6.0,1.6150218817392632,1.2598699314171788,1.5202122342238718,1.1759957281171172
111,900.0,2.0,0.15,7.0,1.7335331956692983,1.3429391101728363,1.5745211522073421,1.2194145556078642
112,900.0,2.0,0.175,1.0,1.1233136837680056,0.8983599488575974,1.0966446575989055,0.878220356450922
113,900.0,2.0,0.175,2.0,1.1156335585555017,0.8794300273258036,1.0710350233814487,0.8378470714169614
114,900.0,2.0,0.175,3.0,1.247578019615719,0.9922648715327077,1.2029363841565013,0.9463470288898346
115,900.0,2.0,0.175,4.0,1.3984001774009711,1.1008780743374726,1.2772126776978645,1.005932656747724
116,900.0,2.0,0.175,5.0,1.4979208358258296,1.1643535722168425,1.3731352979788052,1.0678241089559402
117,900.0,2.0,0.175,6.0,1.607804888861953,1.2722852766602735,1.5362501256399421,1.1893296729770977
118,900.0,2.0,0.175,7.0,1.7692273552711317,1.3724323741071056,1.7011427746068715,1.334166008938003
119,900.0,2.0,0.2,1.0,1.1258521769539178,0.9009227569324325,1.0992506153030783,0.8808570387819576
120,900.0,2.0,0.2,2.0,1.1295693501220683,0.8942428910463047,1.0933460727129614,0.8658195932492507
121,900.0,2.0,0.2,3.0,1.1911006888210276,0.91915173426969,1.1654359626791206,0.9111800724440788
122,900.0,2.0,0.2,4.0,1.421700101983197,1.117653122005938,1.348978552513478,1.0434264882095936
123,900.0,2.0,0.2,5.0,1.5239183171824764,1.197018032723509,1.4024967109288113,1.1048328120049236
124,900.0,2.0,0.2,6.0,1.6358205087566264,1.2815790586022386,1.5391635674192596,1.1970519858770898
125,900.0,2.0,0.2,7.0,1.6563057046086438,1.3008032563166751,1.6960941027901142,1.3299866274372538
126,900.0,2.0,0.225,1.0,1.119440984259372,0.902563800449097,1.0992720763253445,0.8844704097767311
127,900.0,2.0,0.225,2.0,1.1656616936876032,0.9186960048308197,1.1559774025094567,0.9213758940646439
128,900.0,2.0,0.225,3.0,1.2308409529093742,0.9569725602565151,1.1764813857286789,0.9226104702384172
129,900.0,2.0,0.225,4.0,1.3979433849904586,1.0881819431839599,1.2928234116501542,1.0218727554282383
130,900.0,2.0,0.225,5.0,1.4767720964933326,1.146857581369495,1.4111500399220647,1.1085481803230992
131,900.0,2.0,0.225,6.0,1.6332679454264702,1.2666060363249028,1.601525048923317,1.2685078142533603
132,900.0,2.0,0.225,7.0,1.7640571314838724,1.369671738622968,1.6997178444037033,1.314318251248941
133,900.0,2.0,0.25,1.0,1.113983314322104,0.8945446948194328,1.0859621292074,0.8723844331305924
134,900.0,2.0,0.25,2.0,1.1504755337045314,0.9073096071059219,1.1092954083363122,0.8818613631118131
135,900.0,2.0,0.25,3.0,1.2720266425381808,1.0079973899656578,1.179422783832124,0.9457281783892172
136,900.0,2.0,0.25,4.0,1.427673568200588,1.1153590722409756,1.3571112548849351,1.0719047980019327
137,900.0,2.0,0.25,5.0,1.486875977815095,1.146304774551188,1.4779997745244315,1.1514849994529204
138,900.0,2.0,0.25,6.0,1.6748316524991067,1.2958430364508369,1.620091327360541,1.2741169659014928
139,900.0,2.0,0.25,7.0,1.7815112077413497,1.410300369831843,1.650704634764703,1.2915412206273496
140,900.0,2.0,0.275,1.0,1.147605073107632,0.9198592244763848,1.1188932853806162,0.8972561387353621
141,900.0,2.0,0.275,2.0,1.1047159083422218,0.8715037309481495,1.0997145168527218,0.870173068239738
142,900.0,2.0,0.275,3.0,1.247333022755939,0.962688159876747,1.2418443659135279,0.9647587885013318
143,900.0,2.0,0.275,4.0,1.364112111811179,1.0520152577725197,1.273249053146203,0.994325194307574
144,900.0,2.0,0.275,5.0,1.598595519052736,1.2634244138236952,1.4096601104866626,1.0995179957289107
145,900.0,2.0,0.275,6.0,1.703611812681912,1.3292779025082964,1.6024969101389914,1.240851453934357
146,900.0,2.0,0.275,7.0,1.8580738368041823,1.45021700668608,1.8180686617191482,1.4164635754181107
147,900.0,2.0,0.3,1.0,1.105202939018823,0.8916102719016963,1.0937907445991268,0.8832396422547786
148,900.0,2.0,0.3,2.0,1.211172654570021,0.9675962155998109,1.1706299694937832,0.9278982800516465
149,900.0,2.0,0.3,3.0,1.2936324517435522,1.0039578229622272,1.2700956027736539,0.9943460455831503
150,900.0,2.0,0.3,4.0,1.4684421089524236,1.1219783315317478,1.3380828492717072,1.0603652516781756
151,900.0,2.0,0.3,5.0,1.586747869126758,1.2082312074641541,1.4387629295845887,1.1207979024289263
152,900.0,2.0,0.3,6.0,1.7319738058020744,1.3560867206895981,1.5936545470023318,1.2448984683320041
153,900.0,2.0,0.3,7.0,1.8726980340122714,1.4530426984531966,1.7709825504312122,1.3783627906913627
154,900.0,3.0,0.05,1.0,1.2469813096355487,1.0010476565119513,1.1902643949738305,0.939908947165675
