,seed,d,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,900.0,1.0,0.05,1.0,1.3706974812002413,1.1007206736124446,1.3396915430256553,1.0645701619511638
1,900.0,1.0,0.05,2.0,1.4239835129451657,1.1155514304662666,1.4332311959155764,1.1239705769422987
2,900.0,1.0,0.05,3.0,1.4821452717109136,1.1575613870914385,1.490269384541592,1.1785214815033396
3,900.0,1.0,0.05,4.0,1.5888052704468267,1.2442646054925814,1.593301574840132,1.23391431711898
4,900.0,1.0,0.05,5.0,1.7457965772646546,1.354833964592972,1.7239701149772173,1.3543824975007883
5,900.0,1.0,0.05,6.0,2.0161988932055137,1.5387269765714704,2.0019571786702266,1.5713196171990824
6,900.0,1.0,0.05,7.0,2.1618266511407764,1.6475829073328474,2.0866385201334587,1.6344046083013306
7,900.0,1.0,0.075,1.0,1.2980549670425892,1.0434624543610882,1.267360797791695,1.0115226879882586
8,900.0,1.0,0.075,2.0,1.4214725301156554,1.113621810878227,1.4404680818985525,1.1246442277380966
9,900.0,1.0,0.075,3.0,1.4939357392803014,1.1718137206799673,1.4889136051535155,1.1827768881375027
10,900.0,1.0,0.075,4.0,1.6132993940171014,1.2625935998026747,1.6213775585773225,1.262326824739006
11,900.0,1.0,0.075,5.0,1.7613218588823012,1.3673405331383017,1.742116590718165,1.360373704942319
12,900.0,1.0,0.075,6.0,1.9628991810127616,1.503721165760064,1.8947037406373415,1.4737511460250199
13,900.0,1.0,0.075,7.0,2.1250711563388287,1.6190549146069517,2.047668874466299,1.5995101040764212
14,900.0,1.0,0.1,1.0,1.3017979801222015,1.048469869533267,1.2691031167784694,1.0142245404044867
15,900.0,1.0,0.1,2.0,1.3928086829586501,1.0942511038036833,1.3938994327625205,1.0939218870000722
16,900.0,1.0,0.1,3.0,1.5005399355308056,1.1814974004221108,1.4804860880177189,1.1789324409841608
17,900.0,1.0,0.1,4.0,1.6239755059558028,1.2902450850421074,1.6079535380039698,1.256465841593589
18,900.0,1.0,0.1,5.0,1.705246149545535,1.326776998317912,1.7098244076229876,1.3289234755593549
19,900.0,1.0,0.1,6.0,1.9558133145735401,1.495059669668071,1.8821267484705242,1.468768688980162
20,900.0,1.0,0.1,7.0,2.142424798839845,1.6315849125164887,2.0281763523516063,1.5882392683481925
