,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,15.634127285017799,12.75489971535892
1,860.0,0.1,10.0,2.0,15.364733672172756,12.526467452337807
2,860.0,0.1,10.0,3.0,15.19755306619271,12.372883285888772
3,860.0,0.1,10.0,4.0,15.350692795431325,12.528263629869183
4,860.0,0.1,20.0,1.0,15.634127285017799,12.75489971535892
5,860.0,0.1,20.0,2.0,15.629442856786383,12.751584841507558
6,860.0,0.1,20.0,3.0,15.27776093610225,12.435392162236377
7,860.0,0.1,20.0,4.0,15.260219041321946,12.441226948152648
8,860.0,0.1,30.0,1.0,15.634127285017799,12.75489971535892
9,860.0,0.1,30.0,2.0,15.512729913069068,12.657941939116848
10,860.0,0.1,30.0,3.0,15.865250021637733,12.954793168453492
11,860.0,0.1,30.0,4.0,15.317350087742819,12.495396889916686
12,860.0,0.1,50.0,1.0,15.74407616337709,12.839258942313847
13,860.0,0.1,50.0,2.0,15.555135636806765,12.685167219145155
14,860.0,0.1,50.0,3.0,15.321902114089742,12.495997638952803
15,860.0,0.1,50.0,4.0,15.470904354377724,12.626134635951692
16,860.0,0.1,100.0,1.0,15.753505600603129,12.84191324865083
17,860.0,0.1,100.0,2.0,15.529077039715833,12.676111926631409
18,860.0,0.1,100.0,3.0,15.642000236305302,12.766957320344098
19,860.0,0.1,100.0,4.0,15.77349142237493,12.872825143848283
20,860.0,0.1,150.0,1.0,15.753505600603129,12.84191324865083
21,860.0,0.1,150.0,2.0,15.529077039715833,12.676111926631409
22,860.0,0.1,150.0,3.0,15.67273919121322,12.794866149678583
23,860.0,0.1,150.0,4.0,15.78361136469991,12.886894096489446
24,860.0,0.5,10.0,1.0,15.634127285017799,12.75489971535892
25,860.0,0.5,10.0,2.0,15.417094302680834,12.580550048365339
26,860.0,0.5,10.0,3.0,15.354813451755023,12.532026622373783
27,860.0,0.5,10.0,4.0,15.55313503491847,12.676890510741162
28,860.0,0.5,20.0,1.0,12.639198051424025,10.434248630508538
29,860.0,0.5,20.0,2.0,15.529077039715833,12.676111926631409
30,860.0,0.5,20.0,3.0,15.678748070056285,12.803268189435286
31,860.0,0.5,20.0,4.0,15.802108624436043,12.901488985974499
32,860.0,0.5,30.0,1.0,12.639198051424025,10.434248630508538
33,860.0,0.5,30.0,2.0,15.529077039715833,12.676111926631409
34,860.0,0.5,30.0,3.0,15.650851037060171,12.773790151718808
35,860.0,0.5,30.0,4.0,15.394845111826516,12.550363363203958
36,860.0,0.5,50.0,1.0,11.478003990244632,9.734533506819966
37,860.0,0.5,50.0,2.0,15.529077039715833,12.676111926631409
38,860.0,0.5,50.0,3.0,15.673314427691755,12.795163839671245
39,860.0,0.5,50.0,4.0,15.839155067920721,12.935501298398117
40,860.0,0.5,100.0,1.0,11.478003990244632,9.734533506819966
41,860.0,0.5,100.0,2.0,15.529077039715833,12.676111926631409
42,860.0,0.5,100.0,3.0,15.69402647524881,12.813668963116715
43,860.0,0.5,100.0,4.0,15.357343919388107,12.525600262914965
44,860.0,0.5,150.0,1.0,12.639198051424025,10.434248630508538
45,860.0,0.5,150.0,2.0,15.033019709082243,12.247631344047603
46,860.0,0.5,150.0,3.0,15.558067027755529,12.696288971876182
47,860.0,0.5,150.0,4.0,15.32967973725585,12.5017472942556
48,860.0,1.0,10.0,1.0,12.639198051424025,10.434248630508538
49,860.0,1.0,10.0,2.0,15.529077039715833,12.676111926631409
50,860.0,1.0,10.0,3.0,15.640965142270295,12.768221207556188
51,860.0,1.0,10.0,4.0,15.94207493376704,13.0266148939276
52,860.0,1.0,20.0,1.0,11.478003990244632,9.734533506819966
53,860.0,1.0,20.0,2.0,15.529077039715833,12.676111926631409
54,860.0,1.0,20.0,3.0,15.588953062326803,12.723480782022188
55,860.0,1.0,20.0,4.0,15.74567829762873,12.85102323417247
56,860.0,1.0,30.0,1.0,11.478003990244632,9.734533506819966
57,860.0,1.0,30.0,2.0,15.529077039715833,12.676111926631409
58,860.0,1.0,30.0,3.0,15.649666979361758,12.77520467114154
59,860.0,1.0,30.0,4.0,15.35531431508781,12.520901186924817
60,860.0,1.0,50.0,1.0,11.478003990244632,9.734533506819966
61,860.0,1.0,50.0,2.0,15.565535400729063,12.695504754049262
62,860.0,1.0,50.0,3.0,15.469502696525026,12.624725878336642
63,860.0,1.0,50.0,4.0,15.418292662800633,12.571555994575954
64,860.0,1.0,100.0,1.0,12.639198051424025,10.434248630508538
65,860.0,1.0,100.0,2.0,15.515466182774635,12.66498454273448
66,860.0,1.0,100.0,3.0,15.558987079622725,12.693784375700368
67,860.0,1.0,100.0,4.0,15.416236982932285,12.585685482703399
68,860.0,1.0,150.0,1.0,12.639198051424025,10.434248630508538
69,860.0,1.0,150.0,2.0,15.515466182774635,12.66498454273448
70,860.0,1.0,150.0,3.0,15.530600620348256,12.677453706972742
71,860.0,1.0,150.0,4.0,15.519193076430822,12.67374995944108
72,861.0,0.1,10.0,1.0,15.89375856387379,12.925145670857237
73,861.0,0.1,10.0,2.0,15.663369794645632,12.732677853707484
74,861.0,0.1,10.0,3.0,15.532843987713733,12.622991358812357
75,861.0,0.1,10.0,4.0,15.636686496593535,12.7009665181657
76,861.0,0.1,20.0,1.0,12.533124602354764,10.629292137105296
77,861.0,0.1,20.0,2.0,15.823475315008151,12.867533148335706
78,861.0,0.1,20.0,3.0,15.534753948138295,12.625320918096287
79,861.0,0.1,20.0,4.0,15.518834259437176,12.614544135722463
80,861.0,0.1,30.0,1.0,15.566708435580205,12.668827342239627
81,861.0,0.1,30.0,2.0,15.823440625990262,12.86750332270128
82,861.0,0.1,30.0,3.0,15.583442736154588,12.677591699130522
83,861.0,0.1,30.0,4.0,15.554080309801773,12.64867033928457
84,861.0,0.1,50.0,1.0,15.991462584634881,13.000277447356222
85,861.0,0.1,50.0,2.0,15.757104090705656,12.816940664315382
86,861.0,0.1,50.0,3.0,15.704837060648632,12.77407424562308
87,861.0,0.1,50.0,4.0,15.639412437969316,12.744837580181882
88,861.0,0.1,100.0,1.0,15.991462584634881,13.000277447356222
89,861.0,0.1,100.0,2.0,15.751575426441931,12.81937451850894
