,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,938,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.148975310824621,0.904861896608083,1.2049651917285347,0.9433416468033611
1,938,3,LSTransferTreeBoost,0.05,1,1,0.0,0.5,1000,1.135198672621552,0.8946114140835022,1.1870447668300075,0.931806348373532
2,938,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.0700917042345892,0.8475140327961904,1.1061021362779362,0.8707183788983004
3,938,3,LSTransferTreeBoost,0.05,1,2,0.0,0.5,1000,1.0342240749479417,0.8161812363747111,1.0566981002803764,0.8311633082264842
4,938,3,LSTransferTreeBoost,0.05,1,3,0.01,0.9,1000,1.2006120306814867,0.9454443802767742,1.2384371969046601,0.9730035674116067
5,938,3,LSTransferTreeBoost,0.05,1,3,0.0,0.5,1000,1.2011666088743913,0.9494031075128242,1.2435095416173414,0.9799758191943988
6,938,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.3025681375104134,1.0326700818236396,1.387339677119841,1.091422961205899
7,938,3,LSTransferTreeBoost,0.05,2,1,0.0,0.5,1000,0.9457785392175376,0.7464758880755047,1.0189952916165326,0.7975845797169971
8,938,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,0.9832411022020137,0.7806070886030455,1.0453060224178672,0.822467063608316
9,938,3,LSTransferTreeBoost,0.05,2,2,0.0,0.5,1000,0.9454827651962969,0.7489208499735756,0.994321827508511,0.7846776084421072
10,938,3,LSTransferTreeBoost,0.05,2,3,0.01,0.9,1000,1.116326571530597,0.8746521148776336,1.164069305411102,0.9194648146480079
11,938,3,LSTransferTreeBoost,0.05,2,3,0.0,0.5,1000,1.139897527287948,0.8914548141905774,1.2129523693927744,0.9499397282651637
12,938,3,LSTransferTreeBoost,0.05,3,1,0.01,0.9,1000,0.8627572804887194,0.6818300770245883,0.8982836245070047,0.7094021243468549
13,938,3,LSTransferTreeBoost,0.05,3,1,0.0,0.5,1000,0.7603217302755684,0.6059744246814405,0.7878443951636327,0.6198999759273693
14,938,3,LSTransferTreeBoost,0.05,3,2,0.01,0.9,1000,0.8901299173909721,0.690703084417749,0.8943944180895541,0.6963904426211959
15,938,3,LSTransferTreeBoost,0.05,3,2,0.0,0.5,1000,0.8690756837594195,0.6913660315677366,0.8861759637296116,0.697118153610321
16,938,3,LSTransferTreeBoost,0.05,3,3,0.01,0.9,1000,1.060775461679607,0.8254313690645659,1.0836708429162216,0.8402133109324866
17,938,3,LSTransferTreeBoost,0.05,3,3,0.0,0.5,1000,1.1194876147432913,0.877295483806036,1.1517806926104521,0.8998064231412439
18,938,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.0877852003117754,0.8631734458084099,1.1352005672219225,0.8898676103846842
19,938,3,LSTransferTreeBoost,0.1,1,1,0.0,0.5,1000,1.0945838740858014,0.8660749042969244,1.1440064328141806,0.8974424634790931
20,938,3,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.0318498819050574,0.8128335264420806,1.0685641734710434,0.841500958402581
21,938,3,LSTransferTreeBoost,0.1,1,2,0.0,0.5,1000,1.0507284449697571,0.8324081163811106,1.0792455767239135,0.8497987028947287
22,938,3,LSTransferTreeBoost,0.1,1,3,0.01,0.9,1000,1.2030253546062335,0.9418613267783994,1.2453086853668793,0.9833946272733992
23,938,3,LSTransferTreeBoost,0.1,1,3,0.0,0.5,1000,1.193803152929529,0.937944679432594,1.2327902284661325,0.9683562574272464
24,938,3,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1000,0.9658507984533924,0.7581369178944237,1.0303403181962858,0.8040056349197803
25,938,3,LSTransferTreeBoost,0.1,2,1,0.0,0.5,1000,0.910751408201883,0.7173999134141132,0.9812849726520121,0.7660438864133892
26,938,3,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1000,0.8819791958533174,0.6921401744641077,0.9185140793109338,0.7211717673149611
27,938,3,LSTransferTreeBoost,0.1,2,2,0.0,0.5,1000,0.910906023372329,0.7236955968005206,0.9608723268857869,0.7579006681748937
28,938,3,LSTransferTreeBoost,0.1,2,3,0.01,0.9,1000,1.095903400291857,0.8523468413333758,1.1259686397314064,0.877871059447174
29,938,3,LSTransferTreeBoost,0.1,2,3,0.0,0.5,1000,1.1525779865533652,0.9055819586189712,1.2149806532408642,0.9561342150471543
30,938,3,LSTransferTreeBoost,0.1,3,1,0.01,0.9,1000,0.820389534221733,0.6514530056514982,0.8462272698976049,0.6658989467198706
31,938,3,LSTransferTreeBoost,0.1,3,1,0.0,0.5,1000,0.767456283137338,0.6088616665823855,0.8048095455551573,0.6245053565161922
32,938,3,LSTransferTreeBoost,0.1,3,2,0.01,0.9,1000,0.824417228094289,0.6385203062887768,0.8291970988435816,0.6434431065459112
33,938,3,LSTransferTreeBoost,0.1,3,2,0.0,0.5,1000,0.8587832969896231,0.678734124302766,0.8798452763107101,0.6875171402749118
34,938,3,LSTransferTreeBoost,0.1,3,3,0.01,0.9,1000,1.068278616766387,0.8297868280101995,1.08100631565729,0.8433403801630514
35,938,3,LSTransferTreeBoost,0.1,3,3,0.0,0.5,1000,1.1022428722245032,0.8611357841238589,1.1374805436063136,0.8915238008304712
36,938,3,LSTransferTreeBoost,0.2,1,1,0.01,0.9,1000,1.1074489749796657,0.8761718604654436,1.1604170172240433,0.9088292282302839
37,938,3,LSTransferTreeBoost,0.2,1,1,0.0,0.5,1000,1.1370765155180143,0.8968714339246537,1.1857892113921653,0.9288207380731223
38,938,3,LSTransferTreeBoost,0.2,1,2,0.01,0.9,1000,1.0344842496494102,0.8139089544214585,1.0687982233012607,0.845431868222629
39,938,3,LSTransferTreeBoost,0.2,1,2,0.0,0.5,1000,1.0387560441673267,0.8243925909146295,1.0611566671111534,0.8372517347889732
40,938,3,LSTransferTreeBoost,0.2,1,3,0.01,0.9,1000,1.136213442671231,0.896758987431967,1.186499334270426,0.938050541608577
41,938,3,LSTransferTreeBoost,0.2,1,3,0.0,0.5,1000,1.1625790076993523,0.915381255091115,1.1880844838836353,0.9276443476572501
42,938,3,LSTransferTreeBoost,0.2,2,1,0.01,0.9,1000,0.8864705762095586,0.687551861251507,0.940008646611796,0.7280290084298296
43,938,3,LSTransferTreeBoost,0.2,2,1,0.0,0.5,1000,0.8832387734938995,0.6967741293335903,0.9484366601508081,0.7383418466041904
44,938,3,LSTransferTreeBoost,0.2,2,2,0.01,0.9,1000,0.8874401057621606,0.6870057802933954,0.9139153579969993,0.7097463064226365
45,938,3,LSTransferTreeBoost,0.2,2,2,0.0,0.5,1000,0.9421937515769446,0.75045951494836,0.9907839810843666,0.785599847889544
46,938,3,LSTransferTreeBoost,0.2,2,3,0.01,0.9,1000,1.0697267256478764,0.8302231880971918,1.1071695476626664,0.8605796102239015
47,938,3,LSTransferTreeBoost,0.2,2,3,0.0,0.5,1000,1.160409766191432,0.9135931622345346,1.2414416537984052,0.9769942725520193
48,938,3,LSTransferTreeBoost,0.2,3,1,0.01,0.9,1000,0.7927903885113422,0.6254203290827334,0.821401216676418,0.6399663366790789
49,938,3,LSTransferTreeBoost,0.2,3,1,0.0,0.5,1000,0.7508285189286065,0.6014065821212263,0.7689933801484595,0.6085194207342162
50,938,3,LSTransferTreeBoost,0.2,3,2,0.01,0.9,1000,0.8496399630149521,0.6545298220320315,0.8428590016590304,0.6582691907553924
51,938,3,LSTransferTreeBoost,0.2,3,2,0.0,0.5,1000,0.8522160428113004,0.6713542942134684,0.8651119242010608,0.6785630915175686
52,938,3,LSTransferTreeBoost,0.2,3,3,0.01,0.9,1000,0.9887611043883211,0.7735482524573057,0.979138707781328,0.7647693158471077
53,938,3,LSTransferTreeBoost,0.2,3,3,0.0,0.5,1000,1.1252512203194351,0.8801693392875427,1.1808722927009618,0.9220389723530733
54,938,3,LSTransferTreeBoost,0.3,1,1,0.01,0.9,1000,1.0863811592493864,0.8642770876773597,1.1301449290405303,0.883811581035952
55,938,3,LSTransferTreeBoost,0.3,1,1,0.0,0.5,1000,1.1118141339510383,0.8781527675030789,1.1570309798100848,0.9116071388702246
56,938,3,LSTransferTreeBoost,0.3,1,2,0.01,0.9,1000,0.9906589579863005,0.7819990713076497,1.0201800837454427,0.8015312460097966
57,938,3,LSTransferTreeBoost,0.3,1,2,0.0,0.5,1000,1.0455759359319279,0.8242868216772142,1.0751907114938117,0.8474151145521234
58,938,3,LSTransferTreeBoost,0.3,1,3,0.01,0.9,1000,1.1432312282537558,0.890747419824927,1.185275607269602,0.9412759589300426
59,938,3,LSTransferTreeBoost,0.3,1,3,0.0,0.5,1000,1.227692477227204,0.9747727481480098,1.2544094864628883,0.9880907075631156
