,seed,disturbance_level,rmse,mae,target_tree_size,v,epochs,method
0,1,1,2.2236020734050452,1.7852908353164183,1,0.005,1000,Baseline (XGBoost)
1,1,1,1.6064030552719963,1.267417784282369,2,0.005,1000,Baseline (XGBoost)
2,1,1,1.47134010359533,1.155455684128158,3,0.005,1000,Baseline (XGBoost)
3,1,1,1.620852648261895,1.275746800240175,4,0.005,1000,Baseline (XGBoost)
4,1,1,1.7701054925736117,1.4004719969331858,5,0.005,1000,Baseline (XGBoost)
5,1,1,1.6614690990269099,1.317579306606755,1,0.01,1000,Baseline (XGBoost)
6,1,1,1.3095731207587797,1.030021430625178,2,0.01,1000,Baseline (XGBoost)
7,1,1,1.4210259929862927,1.113648240757038,3,0.01,1000,Baseline (XGBoost)
8,1,1,1.5861817110658591,1.2442820701854498,4,0.01,1000,Baseline (XGBoost)
9,1,1,1.7639005879664802,1.3909570018935211,5,0.01,1000,Baseline (XGBoost)
10,1,1,1.3135738750179335,1.030055579942659,1,0.02,1000,Baseline (XGBoost)
11,1,1,1.2880951639773153,1.0146065050155784,2,0.02,1000,Baseline (XGBoost)
12,1,1,1.4170308426220768,1.1147342936807538,3,0.02,1000,Baseline (XGBoost)
13,1,1,1.588646602163914,1.2482712038015986,4,0.02,1000,Baseline (XGBoost)
14,1,1,1.7707305662588304,1.398615224496467,5,0.02,1000,Baseline (XGBoost)
15,1,1,1.2947467854149073,1.013905795840124,1,0.03,1000,Baseline (XGBoost)
16,1,1,1.280594118475579,1.0104275598907386,2,0.03,1000,Baseline (XGBoost)
17,1,1,1.4043221697369659,1.0989040325321995,3,0.03,1000,Baseline (XGBoost)
18,1,1,1.5865081893136699,1.2439580870954683,4,0.03,1000,Baseline (XGBoost)
19,1,1,1.7643359871700437,1.3919693581292272,5,0.03,1000,Baseline (XGBoost)
20,1,1,1.2950949818538084,1.0147663618016898,1,0.05,1000,Baseline (XGBoost)
21,1,1,1.2945237699428536,1.020381283254825,2,0.05,1000,Baseline (XGBoost)
22,1,1,1.4069205367392714,1.1120345947231138,3,0.05,1000,Baseline (XGBoost)
23,1,1,1.5682188462588154,1.2268157021515713,4,0.05,1000,Baseline (XGBoost)
24,1,1,1.7893816954351027,1.411481390446442,5,0.05,1000,Baseline (XGBoost)
25,1,1,1.2874062979823948,1.0066958223779945,1,0.08,1000,Baseline (XGBoost)
26,1,1,1.3115460009636786,1.038433395846876,2,0.08,1000,Baseline (XGBoost)
27,1,1,1.4256843676555404,1.1174677218730804,3,0.08,1000,Baseline (XGBoost)
28,1,1,1.5614958546377005,1.2237376574801346,4,0.08,1000,Baseline (XGBoost)
29,1,1,1.7697576453204544,1.400693609104845,5,0.08,1000,Baseline (XGBoost)
30,1,1,1.2882484393608695,1.008977865978715,1,0.1,1000,Baseline (XGBoost)
31,1,1,1.302109461758223,1.02130169973476,2,0.1,1000,Baseline (XGBoost)
32,1,1,1.453042091417555,1.1398609756463065,3,0.1,1000,Baseline (XGBoost)
33,1,1,1.5751495414799115,1.2333867547567583,4,0.1,1000,Baseline (XGBoost)
34,1,1,1.7670824537429801,1.3923001573876852,5,0.1,1000,Baseline (XGBoost)
35,1,1,1.2923055584802705,1.011774201449264,1,0.12,1000,Baseline (XGBoost)
36,1,1,1.3054243408557624,1.0309840080973027,2,0.12,1000,Baseline (XGBoost)
37,1,1,1.4272577311203432,1.1164297640788254,3,0.12,1000,Baseline (XGBoost)
38,1,1,1.5970623576023562,1.2579276454868153,4,0.12,1000,Baseline (XGBoost)
39,1,1,1.767329239325058,1.3887874611550208,5,0.12,1000,Baseline (XGBoost)
40,1,1,1.3020988468025425,1.019795555922686,1,0.15,1000,Baseline (XGBoost)
41,1,1,1.3125158146441356,1.0392163567678594,2,0.15,1000,Baseline (XGBoost)
42,1,1,1.433488867277487,1.1102135908587565,3,0.15,1000,Baseline (XGBoost)
43,1,1,1.6364752374987286,1.2830430397799562,4,0.15,1000,Baseline (XGBoost)
44,1,1,1.7815673742721816,1.4073286442312414,5,0.15,1000,Baseline (XGBoost)
45,2,1,2.2040760786677867,1.7611391231670532,1,0.005,1000,Baseline (XGBoost)
46,2,1,1.571237426419934,1.2393977471481634,2,0.005,1000,Baseline (XGBoost)
47,2,1,1.5178126413680468,1.189024285205418,3,0.005,1000,Baseline (XGBoost)
48,2,1,1.6191952721765785,1.282606044710501,4,0.005,1000,Baseline (XGBoost)
49,2,1,1.8075647493279394,1.4465497961031684,5,0.005,1000,Baseline (XGBoost)
50,2,1,1.6420650237619403,1.2971984589073449,1,0.01,1000,Baseline (XGBoost)
51,2,1,1.3409648757834045,1.066217911239361,2,0.01,1000,Baseline (XGBoost)
52,2,1,1.4898308585275,1.166209051508699,3,0.01,1000,Baseline (XGBoost)
53,2,1,1.6240749067509204,1.2864648825099236,4,0.01,1000,Baseline (XGBoost)
54,2,1,1.8134711610504237,1.4538240461290766,5,0.01,1000,Baseline (XGBoost)
55,2,1,1.3751506361052706,1.0796565738160249,1,0.02,1000,Baseline (XGBoost)
56,2,1,1.3504645245958027,1.0746108599856579,2,0.02,1000,Baseline (XGBoost)
57,2,1,1.499833364207466,1.1737814681074987,3,0.02,1000,Baseline (XGBoost)
58,2,1,1.6219923692358493,1.2853389661124677,4,0.02,1000,Baseline (XGBoost)
59,2,1,1.8054569546717278,1.4400284311484306,5,0.02,1000,Baseline (XGBoost)
60,2,1,1.3790367084396804,1.0829007054130888,1,0.03,1000,Baseline (XGBoost)
61,2,1,1.340676230421314,1.0629912315596939,2,0.03,1000,Baseline (XGBoost)
62,2,1,1.4867879459904665,1.16048250556206,3,0.03,1000,Baseline (XGBoost)
63,2,1,1.6086690322517148,1.2758352896171594,4,0.03,1000,Baseline (XGBoost)
64,2,1,1.782984016319035,1.4219493203122768,5,0.03,1000,Baseline (XGBoost)
65,2,1,1.3806192412200295,1.084908983035531,1,0.05,1000,Baseline (XGBoost)
66,2,1,1.3529422958780382,1.0807515882615728,2,0.05,1000,Baseline (XGBoost)
67,2,1,1.4882455173564255,1.1677930279097457,3,0.05,1000,Baseline (XGBoost)
68,2,1,1.62893257960617,1.2952536153623186,4,0.05,1000,Baseline (XGBoost)
69,2,1,1.796414782338051,1.4304150969861804,5,0.05,1000,Baseline (XGBoost)
70,2,1,1.4044670770430148,1.101179629783777,1,0.08,1000,Baseline (XGBoost)
71,2,1,1.3493054336570043,1.0676826612968566,2,0.08,1000,Baseline (XGBoost)
72,2,1,1.5012063396779394,1.1823885514729267,3,0.08,1000,Baseline (XGBoost)
73,2,1,1.6220055691719903,1.2912312118894365,4,0.08,1000,Baseline (XGBoost)
74,2,1,1.7708111853186588,1.4191148597393348,5,0.08,1000,Baseline (XGBoost)
75,2,1,1.3884487463525022,1.0887953769955925,1,0.1,1000,Baseline (XGBoost)
76,2,1,1.3668753808647793,1.0805820739395553,2,0.1,1000,Baseline (XGBoost)
77,2,1,1.4990223281283668,1.1794562456209592,3,0.1,1000,Baseline (XGBoost)
78,2,1,1.6813271840081916,1.3412488128631872,4,0.1,1000,Baseline (XGBoost)
79,2,1,1.8186399334606156,1.457558410297876,5,0.1,1000,Baseline (XGBoost)
80,2,1,1.3678464355638529,1.0757983268862603,1,0.12,1000,Baseline (XGBoost)
81,2,1,1.3967296291930253,1.1093625867471832,2,0.12,1000,Baseline (XGBoost)
82,2,1,1.5012243637989073,1.17945388384038,3,0.12,1000,Baseline (XGBoost)
83,2,1,1.6443183656832883,1.3178103007705135,4,0.12,1000,Baseline (XGBoost)
84,2,1,1.8201186729250993,1.4453035890617394,5,0.12,1000,Baseline (XGBoost)
85,2,1,1.3789593865999508,1.0873096985761832,1,0.15,1000,Baseline (XGBoost)
86,2,1,1.3601082056412734,1.071327998923293,2,0.15,1000,Baseline (XGBoost)
87,2,1,1.535888745653737,1.2094176424789662,3,0.15,1000,Baseline (XGBoost)
88,2,1,1.6802990933572604,1.3283403080453504,4,0.15,1000,Baseline (XGBoost)
89,2,1,1.82455692338506,1.4425449101603136,5,0.15,1000,Baseline (XGBoost)
90,3,1,2.285099057750565,1.8396047836870675,1,0.005,1000,Baseline (XGBoost)
91,3,1,1.6067828535458728,1.269568295660249,2,0.005,1000,Baseline (XGBoost)
92,3,1,1.50828856644167,1.2050837008963786,3,0.005,1000,Baseline (XGBoost)
93,3,1,1.5911682737765496,1.2804216066331213,4,0.005,1000,Baseline (XGBoost)
94,3,1,1.6772205145087653,1.3503285501938547,5,0.005,1000,Baseline (XGBoost)
95,3,1,1.675717831824932,1.342950930037668,1,0.01,1000,Baseline (XGBoost)
96,3,1,1.3700072299800252,1.0894306537930316,2,0.01,1000,Baseline (XGBoost)
97,3,1,1.4773451806712043,1.184478934093751,3,0.01,1000,Baseline (XGBoost)
98,3,1,1.5763626060532363,1.2689529447632046,4,0.01,1000,Baseline (XGBoost)
99,3,1,1.6644644358275542,1.3372495152418182,5,0.01,1000,Baseline (XGBoost)
100,3,1,1.3777355445370396,1.0883233546125834,1,0.02,1000,Baseline (XGBoost)
101,3,1,1.3637356863590806,1.0827905971285576,2,0.02,1000,Baseline (XGBoost)
102,3,1,1.4718920066212802,1.1817582328284102,3,0.02,1000,Baseline (XGBoost)
103,3,1,1.5714292900708045,1.264788220345984,4,0.02,1000,Baseline (XGBoost)
104,3,1,1.682037460752478,1.357319482883769,5,0.02,1000,Baseline (XGBoost)
105,3,1,1.3859708983706474,1.0946480868480157,1,0.03,1000,Baseline (XGBoost)
106,3,1,1.350397015811645,1.0719858248417167,2,0.03,1000,Baseline (XGBoost)
107,3,1,1.4788164464038958,1.1849463009218326,3,0.03,1000,Baseline (XGBoost)
108,3,1,1.5791074145566466,1.2652269555270594,4,0.03,1000,Baseline (XGBoost)
109,3,1,1.6659012644319655,1.3446724004310984,5,0.03,1000,Baseline (XGBoost)
110,3,1,1.3648718543384164,1.078892091539266,1,0.05,1000,Baseline (XGBoost)
111,3,1,1.3627778244545448,1.0856796049729742,2,0.05,1000,Baseline (XGBoost)
112,3,1,1.4959647966127552,1.1896450523674147,3,0.05,1000,Baseline (XGBoost)
113,3,1,1.5804792926289035,1.2709370392817427,4,0.05,1000,Baseline (XGBoost)
114,3,1,1.669674395419564,1.3439796664152162,5,0.05,1000,Baseline (XGBoost)
