,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,alpha,epochs,method
38,1,2,1.8645915976890097,1.4666852134168624,2,1,0.05,0.5,400,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
39,1,2,1.5354706721683355,1.2027674551042011,2,2,0.05,0.5,400,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
40,1,2,1.7612743547972174,1.4155636926602837,1,1,0.05,0.5,500,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
41,1,2,1.486939393272839,1.1889671001912652,1,2,0.05,0.5,500,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
42,1,2,1.7800730438422787,1.3929483307732287,2,1,0.05,0.5,500,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
43,1,2,1.5176822507076966,1.19005571176338,2,2,0.05,0.5,500,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
44,1,2,1.676734140600182,1.3461751748263615,1,1,0.05,0.5,600,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
45,1,2,1.4792330226785797,1.1823261978843669,1,2,0.05,0.5,600,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
46,1,2,1.7200228871531085,1.3394844394086223,2,1,0.05,0.5,600,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
47,1,2,1.5148930986986946,1.1879229350102665,2,2,0.05,0.5,600,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
