,seed,disturbance_level,rmse,mae
0,10.0,1.0,0.638583155007507,0.4943541301162034
1,10.0,1.0,0.6626610665212822,0.5138608200643614
2,10.0,1.0,0.7072573358275942,0.5520541811255989
3,10.0,2.0,0.795194639218034,0.6255417968534124
4,10.0,2.0,0.7456528908511928,0.5857044793950755
5,10.0,2.0,0.7776634618368763,0.6107779261185444
6,10.0,3.0,0.7875226343604501,0.6204226735782679
7,10.0,3.0,0.8638734876341904,0.6694702084624694
8,10.0,3.0,0.8029017941963061,0.6301393168630631
9,11.0,1.0,0.6912528464118095,0.5170863313506668
10,11.0,1.0,0.7151321682451272,0.5428185538754787
11,11.0,1.0,0.7296733948878824,0.5663846328547766
12,11.0,2.0,0.7587569340893647,0.5958304459170802
13,11.0,2.0,0.7349748258822587,0.5756945201793856
14,11.0,2.0,0.7588220215179011,0.599283668882948
15,11.0,3.0,0.8340937683704996,0.6536741915149354
16,11.0,3.0,0.8157198061384114,0.6318097734006979
17,11.0,3.0,0.8295881329742223,0.6490257645278587
18,12.0,1.0,0.6650867568665176,0.5148746397525594
19,12.0,1.0,0.7234347189688578,0.5589329241080961
20,12.0,1.0,0.7165220636814285,0.5614248522560229
21,12.0,2.0,0.7684887940635489,0.6102208601813851
22,12.0,2.0,0.8078035615655367,0.6397441511693305
23,12.0,2.0,0.8250549962171884,0.6539594113918611
24,12.0,3.0,0.770992023170354,0.6048031590811448
25,12.0,3.0,0.8537191592788468,0.6621204874786434
26,12.0,3.0,0.7815233943440795,0.6118830296182679
