,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,method
50,4,1,1.5641888029570712,1.2303203515175565,1,3,0.05,0.993,1.0,1000,Baseline (XGBoost)
51,4,1,1.5178458869415394,1.2014153979436406,1,4,0.05,0.993,1.0,1000,Baseline (XGBoost)
52,4,1,1.339067971549994,1.0474095433567892,1,1,0.1,0.993,1.0,1000,Baseline (XGBoost)
53,4,1,1.3706571444762083,1.0744956420443448,1,2,0.1,0.993,1.0,1000,Baseline (XGBoost)
54,4,1,1.485827318907438,1.1775304694835513,1,3,0.1,0.993,1.0,1000,Baseline (XGBoost)
55,4,1,1.549891851367322,1.2226132154385778,1,4,0.1,0.993,1.0,1000,Baseline (XGBoost)
56,4,1,1.380007560726866,1.0793490089014892,1,1,0.15,0.993,1.0,1000,Baseline (XGBoost)
57,4,1,1.4293148851869726,1.1113227672297186,1,2,0.15,0.993,1.0,1000,Baseline (XGBoost)
58,4,1,1.4309700478290546,1.1249357383975633,1,3,0.15,0.993,1.0,1000,Baseline (XGBoost)
59,4,1,1.6364588885903115,1.276741665431142,1,4,0.15,0.993,1.0,1000,Baseline (XGBoost)
60,4,1,1.3952169782927377,1.0935668575847604,1,1,0.2,0.993,1.0,1000,Baseline (XGBoost)
61,4,1,1.424982621190354,1.1028670738543604,1,2,0.2,0.993,1.0,1000,Baseline (XGBoost)
62,4,1,1.6430761188615508,1.2972789086988668,1,3,0.2,0.993,1.0,1000,Baseline (XGBoost)
63,4,1,1.6787200944729048,1.3166643850560429,1,4,0.2,0.993,1.0,1000,Baseline (XGBoost)
64,5,1,1.4081667606447583,1.1248457037804855,1,1,0.05,0.993,1.0,1000,Baseline (XGBoost)
65,5,1,1.3323936213370746,1.0663023642785052,1,2,0.05,0.993,1.0,1000,Baseline (XGBoost)
66,5,1,1.4312244866585415,1.144635040420717,1,3,0.05,0.993,1.0,1000,Baseline (XGBoost)
67,5,1,1.5997440888380503,1.286856788814517,1,4,0.05,0.993,1.0,1000,Baseline (XGBoost)
68,5,1,1.435787091970131,1.1432546701800455,1,1,0.1,0.993,1.0,1000,Baseline (XGBoost)
69,5,1,1.3275395131057661,1.0611945682685715,1,2,0.1,0.993,1.0,1000,Baseline (XGBoost)
70,5,1,1.4693703791517603,1.1839157673513592,1,3,0.1,0.993,1.0,1000,Baseline (XGBoost)
71,5,1,1.5243280953449168,1.2166417405421202,1,4,0.1,0.993,1.0,1000,Baseline (XGBoost)
72,5,1,1.3778746432010578,1.1078987172174128,1,1,0.15,0.993,1.0,1000,Baseline (XGBoost)
73,5,1,1.3158985700656434,1.0426504900508986,1,2,0.15,0.993,1.0,1000,Baseline (XGBoost)
74,5,1,1.479239022432913,1.1918755532799301,1,3,0.15,0.993,1.0,1000,Baseline (XGBoost)
75,5,1,1.6091517082561961,1.2848466680167503,1,4,0.15,0.993,1.0,1000,Baseline (XGBoost)
76,5,1,1.4392128729149467,1.1583683244212908,1,1,0.2,0.993,1.0,1000,Baseline (XGBoost)
77,5,1,1.3208451496697073,1.0589865327230428,1,2,0.2,0.993,1.0,1000,Baseline (XGBoost)
78,5,1,1.5086087260165106,1.201097093088268,1,3,0.2,0.993,1.0,1000,Baseline (XGBoost)
79,5,1,1.6265403863734607,1.2904244965235794,1,4,0.2,0.993,1.0,1000,Baseline (XGBoost)
