,seed,disturbance_level,rmse,mae,tree_size,v,epochs
0,1.0,1.0,2.250041169966022,1.8029011522795677,1.0,0.05,100.0
1,1.0,1.0,1.6050717651037045,1.269018140100532,2.0,0.05,100.0
2,1.0,1.0,1.3419996697526075,1.0450659273776752,3.0,0.05,100.0
3,1.0,1.0,1.2669260745027011,0.9840674115105202,4.0,0.05,100.0
4,1.0,1.0,1.324648372207576,1.028369374202775,5.0,0.05,100.0
5,1.0,1.0,1.6339631809559156,1.292540110333741,1.0,0.1,100.0
6,1.0,1.0,1.1313315652594396,0.8751112725627792,2.0,0.1,100.0
7,1.0,1.0,1.0985434917553367,0.8524934797220222,3.0,0.1,100.0
8,1.0,1.0,1.1639697406969367,0.8997982659176316,4.0,0.1,100.0
9,1.0,1.0,1.2432173996689397,0.9620599026039838,5.0,0.1,100.0
10,1.0,1.0,1.3203169792160918,1.0386379721127554,1.0,0.15,100.0
11,1.0,1.0,1.0288723069910148,0.7998177244574883,2.0,0.15,100.0
12,1.0,1.0,1.0772110324655149,0.8349469094209316,3.0,0.15,100.0
13,1.0,1.0,1.1436973987077936,0.8886877632231271,4.0,0.15,100.0
14,1.0,1.0,1.2617860800445777,0.9812622023745887,5.0,0.15,100.0
15,1.0,1.0,1.1603624172605655,0.9176384938183022,1.0,0.2,100.0
16,1.0,1.0,0.9391771099781158,0.7339072441423174,2.0,0.2,100.0
17,1.0,1.0,1.0642060732371417,0.8331826032752393,3.0,0.2,100.0
18,1.0,1.0,1.1763415534635293,0.908226415307671,4.0,0.2,100.0
19,1.0,1.0,1.256193027426028,0.9756921316501139,5.0,0.2,100.0
20,1.0,1.0,1.6556190954765582,1.3107293182832684,1.0,0.05,200.0
21,1.0,1.0,1.1528319416633874,0.8966569891062852,2.0,0.05,200.0
22,1.0,1.0,1.0778345654633092,0.8329106405559985,3.0,0.05,200.0
23,1.0,1.0,1.140837439467144,0.8832474648529282,4.0,0.05,200.0
24,1.0,1.0,1.2562827905843499,0.9735175893235979,5.0,0.05,200.0
25,1.0,1.0,1.1664067448045385,0.9190911067713466,1.0,0.1,200.0
26,1.0,1.0,0.9738889104785268,0.7523687922453133,2.0,0.1,200.0
27,1.0,1.0,1.0463345233411236,0.8122043012812669,3.0,0.1,200.0
28,1.0,1.0,1.1465069400961212,0.8864247697813302,4.0,0.1,200.0
29,1.0,1.0,1.2353438760245892,0.9557432832578199,5.0,0.1,200.0
30,1.0,1.0,1.037285170384442,0.8222115184520166,1.0,0.15,200.0
31,1.0,1.0,0.9549438426243221,0.7455575122632531,2.0,0.15,200.0
32,1.0,1.0,1.0505746674733514,0.814983413475818,3.0,0.15,200.0
33,1.0,1.0,1.1332523761054094,0.8809582822987492,4.0,0.15,200.0
34,1.0,1.0,1.25913319729238,0.9791113057190661,5.0,0.15,200.0
35,1.0,1.0,1.0173127650182994,0.8098930773472257,1.0,0.2,200.0
36,1.0,1.0,0.876007962061003,0.6852021412216743,2.0,0.2,200.0
37,1.0,1.0,1.0498081530453356,0.8230871645404324,3.0,0.2,200.0
38,1.0,1.0,1.173498430801664,0.9069814657481793,4.0,0.2,200.0
39,1.0,1.0,1.2550961093213127,0.974874148387577,5.0,0.2,200.0
40,1.0,1.0,1.34722664783071,1.0605079808753903,1.0,0.05,300.0
41,1.0,1.0,1.0200366249728063,0.7924326154473189,2.0,0.05,300.0
42,1.0,1.0,1.0289351496098789,0.7965593198556885,3.0,0.05,300.0
43,1.0,1.0,1.1259692628681734,0.8717428899213734,4.0,0.05,300.0
44,1.0,1.0,1.2498734320106313,0.9685231477759185,5.0,0.05,300.0
45,1.0,1.0,1.0398114331485955,0.8237916244649516,1.0,0.1,300.0
46,1.0,1.0,0.9415902956059965,0.7283211593337432,2.0,0.1,300.0
47,1.0,1.0,1.0355359554037782,0.804153360117722,3.0,0.1,300.0
48,1.0,1.0,1.1438737825523524,0.8841280711932105,4.0,0.1,300.0
49,1.0,1.0,1.2341507101336033,0.9548097827180656,5.0,0.1,300.0
50,1.0,1.0,0.9951062820629457,0.7905870294689855,1.0,0.15,300.0
51,1.0,1.0,0.9289009317113369,0.7258639800978506,2.0,0.15,300.0
52,1.0,1.0,1.0482999190827809,0.8135832281436882,3.0,0.15,300.0
53,1.0,1.0,1.1316259499100314,0.8797723820818113,4.0,0.15,300.0
54,1.0,1.0,1.2589861462867775,0.9789768883325318,5.0,0.15,300.0
55,1.0,1.0,0.9961267595305854,0.7933758377300515,1.0,0.2,300.0
56,1.0,1.0,0.8657765036832941,0.6769524391569924,2.0,0.2,300.0
57,1.0,1.0,1.0476447749186295,0.8213640364657109,3.0,0.2,300.0
58,1.0,1.0,1.1733378624245985,0.9068970190913332,4.0,0.2,300.0
59,1.0,1.0,1.2551149648866964,0.9748858566243023,5.0,0.2,300.0
60,1.0,1.0,1.180102271745703,0.9301603707093428,1.0,0.05,400.0
61,1.0,1.0,0.9626337074014852,0.7468379993847492,2.0,0.05,400.0
62,1.0,1.0,1.0163704388005148,0.7873981393656095,3.0,0.05,400.0
63,1.0,1.0,1.119899485289597,0.8669411225564985,4.0,0.05,400.0
64,1.0,1.0,1.248515101150755,0.9674983319218089,5.0,0.05,400.0
65,1.0,1.0,0.9966553794540112,0.7914307865672419,1.0,0.1,400.0
66,1.0,1.0,0.9236549984191681,0.7144425262566102,2.0,0.1,400.0
67,1.0,1.0,1.031525561218308,0.8012836590169454,3.0,0.1,400.0
68,1.0,1.0,1.1436551706725953,0.8840854420893629,4.0,0.1,400.0
69,1.0,1.0,1.2340632656034145,0.9547149821970308,5.0,0.1,400.0
70,1.0,1.0,0.9839892771481692,0.7820595976517772,1.0,0.15,400.0
71,1.0,1.0,0.910575432366416,0.7110577663213357,2.0,0.15,400.0
72,1.0,1.0,1.046078871644448,0.8119763764794249,3.0,0.15,400.0
73,1.0,1.0,1.131100783932419,0.8793372672837795,4.0,0.15,400.0
