,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs,method
0,1,1,2.0761321710226492,1.6778955405736458,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
1,1,1,2.112046629126088,1.7086930464653967,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
2,1,1,2.3004447515562045,1.8196958815789075,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
3,1,1,2.112046629126088,1.7086930464653967,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
4,1,1,2.0237784386054147,1.6176352130337996,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
5,1,1,1.7705664437530317,1.407670824098056,2,2,0.05,1.0,100,Baseline (XGBoost)
6,1,1,1.6051710807626574,1.2796104084086983,2,2,0.05,1.0,200,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
7,1,1,1.6161623300965944,1.2884535845913638,2,2,0.05,1.0,200,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
8,1,1,1.7872258773262926,1.4242556292173107,2,2,0.05,1.0,200,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
9,1,1,1.6161623300965944,1.2884535845913638,2,2,0.05,1.0,200,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
10,1,1,1.5459965510443572,1.2284311284055467,2,2,0.05,1.0,200,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
11,1,1,1.5431340120800714,1.2242118076887725,2,2,0.05,1.0,200,Baseline (XGBoost)
12,1,1,1.459401194062348,1.1603874659610103,2,2,0.05,1.0,300,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
13,1,1,1.4668106760031707,1.1661603305298822,2,2,0.05,1.0,300,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
14,1,1,1.6078808484807396,1.2745330478279897,2,2,0.05,1.0,300,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
15,1,1,1.4668106760031707,1.1661603305298822,2,2,0.05,1.0,300,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
16,1,1,1.3958482071546898,1.1011254547450589,2,2,0.05,1.0,300,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
17,1,1,1.5367672474860494,1.220603580050376,2,2,0.05,1.0,300,Baseline (XGBoost)
18,1,1,1.4281447879859879,1.1349556828332366,2,2,0.05,1.0,400,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
19,1,1,1.436207211806114,1.1412891055219447,2,2,0.05,1.0,400,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
20,1,1,1.5478317992186936,1.2244415455638866,2,2,0.05,1.0,400,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
21,1,1,1.436207211806114,1.1412891055219447,2,2,0.05,1.0,400,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
22,1,1,1.3642548467455555,1.0742828342109214,2,2,0.05,1.0,400,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
23,1,1,1.5529478909078136,1.2354729230117103,2,2,0.05,1.0,400,Baseline (XGBoost)
24,1,1,1.4276608728245623,1.1345129820267912,2,2,0.05,1.0,500,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
25,1,1,1.4355070258867018,1.1407872726008659,2,2,0.05,1.0,500,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
26,1,1,1.496637007271913,1.1774508210330459,2,2,0.05,1.0,500,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
27,1,1,1.4355070258867018,1.1407872726008659,2,2,0.05,1.0,500,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
28,1,1,1.3328237595881731,1.0486373959871726,2,2,0.05,1.0,500,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
29,1,1,1.580987193676419,1.2576635783705872,2,2,0.05,1.0,500,Baseline (XGBoost)
30,1,1,1.4338698103431733,1.1398949517226036,2,2,0.05,1.0,600,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
31,1,1,1.4393217612806721,1.1441218206557446,2,2,0.05,1.0,600,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
32,1,1,1.4684859452429626,1.1519412852758482,2,2,0.05,1.0,600,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
33,1,1,1.4393217612806721,1.1441218206557446,2,2,0.05,1.0,600,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
34,1,1,1.3182325129424424,1.0379436796467327,2,2,0.05,1.0,600,"LSTransferTreeBoost (beta = 0.7, s,t = (2, 1))"
35,1,1,1.6063574261864206,1.2774605644642913,2,2,0.05,1.0,600,Baseline (XGBoost)
36,1,2,2.3357337254004333,1.8858230033367007,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.5, s,t = (2, 1))"
37,1,2,2.3235634488141708,1.8778106920965754,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.1, s,t = (2, 1))"
38,1,2,3.0402258778563227,2.450448238188719,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.9, s,t = (2, 1))"
39,1,2,2.3235634488141708,1.8778106920965754,2,2,0.05,1.0,100,"LSTransferTreeBoost (beta = 0.3, s,t = (2, 1))"
