,disturbance_level,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,total_rmse,total_mae
30,1,1,2,0.15,1.0,0.5,1000,1.16,0.92
20,1,1,2,0.05,1.0,0.5,1000,1.18,0.93
25,1,1,2,0.1,1.0,0.5,1000,1.18,0.94
