,disturbance_level,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,total_rmse,total_mae
75,1,2,2,0.2,1.0,0.5,1000,1.1,0.87
65,1,2,2,0.1,1.0,0.5,1000,1.11,0.88
70,1,2,2,0.15,1.0,0.5,1000,1.11,0.88
