,disturbance_level,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,total_rmse,total_mae
30,1,1,2,0.15,1.0,0.5,1000,1.93,1.53
10,1,1,1,0.15,1.0,0.5,1000,1.93,1.52
0,1,1,1,0.05,1.0,0.5,1000,1.93,1.53
