,disturbance_level,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,total_rmse,total_mae
160,1,2,1,0.1,1.0,0.8,1000,1.93,1.54
175,1,2,1,0.15,1.0,0.8,1000,1.93,1.54
155,1,2,1,0.1,1.0,0.5,1000,1.93,1.54
