,disturbance_level,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,total_rmse,total_mae
25,1,1,1,0.12,1.0,0.5,1000,1.91,1.51
70,1,1,2,0.15,1.0,0.5,1000,1.93,1.53
30,1,1,1,0.15,1.0,0.5,1000,1.93,1.52
