seed,learning_rate,dropout,d_main,num_blocks,val_rmse,val_mae,rmse,mae
860.0,0.001,0.0,64.0,2.0,0.4029061496257782,0.36826375126838684,0.36928799748420715,0.3307495415210724
861.0,0.001,0.0,64.0,2.0,0.5248556137084961,0.39504051208496094,0.4373939633369446,0.3252123296260834
862.0,0.001,0.0,64.0,2.0,0.5298284292221069,0.41712716221809387,0.34124699234962463,0.25078532099723816
863.0,0.001,0.0,64.0,2.0,0.4355884790420532,0.32571694254875183,0.5425564646720886,0.40536433458328247
864.0,0.001,0.0,64.0,2.0,0.36424338817596436,0.27367350459098816,0.40468674898147583,0.3385724723339081
865.0,0.001,0.0,64.0,2.0,0.20966848731040955,0.1559985727071762,0.27085080742836,0.20858336985111237
866.0,0.001,0.0,64.0,2.0,0.3264041244983673,0.2571420967578888,0.31514495611190796,0.24484305083751678
867.0,0.001,0.0,64.0,2.0,0.5754647254943848,0.4288703203201294,0.695580780506134,0.5734580755233765
868.0,0.001,0.0,64.0,2.0,0.6903581023216248,0.6612426042556763,0.669593095779419,0.6398496031761169
869.0,0.001,0.0,64.0,2.0,0.23084299266338348,0.1519853174686432,0.2290240079164505,0.1702408492565155
870.0,0.001,0.0,64.0,2.0,0.2863311469554901,0.2583902180194855,0.2825213074684143,0.24567189812660217
871.0,0.001,0.0,64.0,2.0,0.1249513328075409,0.10351022332906723,0.10500171035528183,0.08910093456506729
872.0,0.001,0.0,64.0,2.0,0.376817524433136,0.2811110317707062,0.40830451250076294,0.32233384251594543
873.0,0.001,0.0,64.0,2.0,0.6872069239616394,0.5850653648376465,0.6967490315437317,0.5863268971443176
874.0,0.001,0.0,64.0,2.0,0.19578969478607178,0.16854867339134216,0.2209385186433792,0.1982090324163437
875.0,0.001,0.0,64.0,2.0,0.25550147891044617,0.21531592309474945,0.24214690923690796,0.192813441157341
876.0,0.001,0.0,64.0,2.0,0.3278939723968506,0.29621627926826477,0.3815348744392395,0.3481121361255646
877.0,0.001,0.0,64.0,2.0,0.41115638613700867,0.38220417499542236,0.3607931435108185,0.3278079032897949
878.0,0.001,0.0,64.0,2.0,0.5856609344482422,0.5561085343360901,0.5908007025718689,0.5712632536888123
879.0,0.001,0.0,64.0,2.0,0.2906050384044647,0.2586700916290283,0.30506834387779236,0.25902310013771057
880.0,0.001,0.0,64.0,2.0,0.46663692593574524,0.38855209946632385,0.3469327986240387,0.2753869593143463
881.0,0.001,0.0,64.0,2.0,0.38413137197494507,0.29128092527389526,0.4457012712955475,0.31578701734542847
882.0,0.001,0.0,64.0,2.0,0.2661344110965729,0.23824141919612885,0.22267606854438782,0.18696023523807526
883.0,0.001,0.0,64.0,2.0,0.24403132498264313,0.19029977917671204,0.23678544163703918,0.18278896808624268
884.0,0.001,0.0,64.0,2.0,0.2934638261795044,0.22516126930713654,0.34403544664382935,0.28757357597351074
885.0,0.001,0.0,64.0,2.0,0.5342463254928589,0.4873041808605194,0.4989990293979645,0.44280943274497986
886.0,0.001,0.0,64.0,2.0,0.2203381061553955,0.1972101926803589,0.26452967524528503,0.22770893573760986
887.0,0.001,0.0,64.0,2.0,0.3273400068283081,0.29752418398857117,0.265086829662323,0.2395113855600357
888.0,0.001,0.0,64.0,2.0,0.5565928816795349,0.4473526179790497,0.5107545852661133,0.40160760283470154
889.0,0.001,0.0,64.0,2.0,0.5822650790214539,0.4737780690193176,0.415452778339386,0.3227125108242035
860.0,0.001,0.0,64.0,4.0,0.5115653872489929,0.39946866035461426,0.31309041380882263,0.250133216381073
861.0,0.001,0.0,64.0,4.0,0.3715550899505615,0.34607911109924316,0.3882865607738495,0.3453158736228943
