,seed,target_instances,d,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,100,1,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
1,1,100,1,xgboost_naive_transfer,0.01,1,1.559304015176563,1.2330166247363208,1.6148814805244434,1.299858096691361
2,1,100,1,xgboost_naive_transfer_with_dummy,0.01,1,1.559304015176563,1.2330166247363208,1.6148814805244434,1.299858096691361
3,1,100,1,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
4,1,100,1,xgboost_naive_transfer,0.01,2,0.9487057948896854,0.7401164054366012,0.9410343972051741,0.756132106311566
5,1,100,1,xgboost_naive_transfer_with_dummy,0.01,2,0.9487057948896854,0.7401164054366012,0.9410343972051741,0.756132106311566
6,1,100,1,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
7,1,100,1,xgboost_naive_transfer,0.01,3,0.9319004514402295,0.736169228820798,0.8912977880543383,0.7045327937382118
8,1,100,1,xgboost_naive_transfer_with_dummy,0.01,3,0.9308048945458639,0.734996085154753,0.8889488534248147,0.7036238431896973
9,1,100,1,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
10,1,100,1,xgboost_naive_transfer,0.01,4,0.9903847631298905,0.7818867765727203,0.9378248176003195,0.7392696064817511
11,1,100,1,xgboost_naive_transfer_with_dummy,0.01,4,0.980376804781468,0.77446598015768,0.9329927420602936,0.7374466912599882
12,1,100,1,xgboost,0.02,1,1.9493533218495427,1.5545124354185702,2.05078804636983,1.615607345080961
13,1,100,1,xgboost_naive_transfer,0.02,1,1.1226272209057386,0.8900101338947927,1.1634788780359338,0.9390703768732465
14,1,100,1,xgboost_naive_transfer_with_dummy,0.02,1,1.1226272209057386,0.8900101338947927,1.1634788780359338,0.9390703768732465
15,1,100,1,xgboost,0.02,2,2.0358238919420075,1.6280509686647904,2.048555626047101,1.6334103338721133
16,1,100,1,xgboost_naive_transfer,0.02,2,0.8823134254367283,0.6887111745650302,0.8717561922820077,0.7007484521495203
17,1,100,1,xgboost_naive_transfer_with_dummy,0.02,2,0.8823134254367283,0.6887111745650302,0.8717561922820077,0.7007484521495203
18,1,100,1,xgboost,0.02,3,2.1737702500159872,1.7428360955356104,2.238408285236944,1.7955936727792383
19,1,100,1,xgboost_naive_transfer,0.02,3,0.9375470485139484,0.7396210880685264,0.8989441010626991,0.7093287602620282
20,1,100,1,xgboost_naive_transfer_with_dummy,0.02,3,0.9375470485139484,0.7396210880685264,0.8989441010626991,0.7093287602620282
21,1,100,1,xgboost,0.02,4,2.359724050613225,1.8834351958457427,2.314747767663337,1.856662293921206
22,1,100,1,xgboost_naive_transfer,0.02,4,0.9784286712737393,0.7737698719692295,0.9286919434533544,0.7311078065709019
23,1,100,1,xgboost_naive_transfer_with_dummy,0.02,4,0.9940367146764755,0.7876283909100484,0.9424858946792394,0.7416662681772435
24,1,100,1,xgboost,0.05,1,1.9122798231900016,1.5272558381665495,2.0206412905824274,1.5858437861672119
25,1,100,1,xgboost_naive_transfer,0.05,1,1.0209986311072905,0.8092546672987427,1.0595339772724945,0.854653179565689
26,1,100,1,xgboost_naive_transfer_with_dummy,0.05,1,1.0209986311072905,0.8092546672987427,1.0595339772724945,0.854653179565689
