,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.1,1.0,0.1734803585425995,0.13390179802389715,0.2877823805484384,0.1892209520526962
1,860.0,0.1,2.0,0.1655370617906905,0.12092913459329052,0.2605505755923397,0.1872441759296494
2,860.0,0.1,3.0,0.15933250620796552,0.12293942021388608,0.296304396213977,0.20962648578718593
3,860.0,0.1,4.0,0.19492362101096028,0.14231018365598155,0.3435946972625301,0.24529887180702345
4,860.0,0.1,5.0,0.22992477395150968,0.1754806668150659,0.3603138587077094,0.2509454764571842
5,860.0,0.1,6.0,0.2748139250124608,0.23178663066789168,0.3962695718712244,0.29009101718079777
6,861.0,0.1,1.0,0.20630021101490045,0.15606037214690624,0.5787691163504557,0.29524893667183655
7,861.0,0.1,2.0,0.21766128220455377,0.16419776467716066,0.6129645768753746,0.3054419424019604
8,861.0,0.1,3.0,0.26505535794280305,0.1887223337210867,0.6016323965763768,0.31764174816655155
9,861.0,0.1,4.0,0.2645820623066826,0.19721936992570505,0.5976798256998165,0.3087070091097959
10,861.0,0.1,5.0,0.3226735619561264,0.2213582207174867,0.629345182438203,0.35132284725413576
11,861.0,0.1,6.0,0.3726358198853522,0.263690754011566,0.6630205807169647,0.3403664832021674
12,862.0,0.1,1.0,0.3378834592418673,0.21546089321959272,0.2250662862345611,0.1743973526300168
13,862.0,0.1,2.0,0.295859625857316,0.20293191647997114,0.21146390155401656,0.16812866809321414
14,862.0,0.1,3.0,0.26260677222711154,0.18692730174345132,0.2042567512157767,0.16080901202033548
15,862.0,0.1,4.0,0.27705759754225656,0.20334525014839946,0.2460548436914527,0.19761734008789084
16,862.0,0.1,5.0,0.3063570026637039,0.22713813033758418,0.26916083271237595,0.21048966950061251
17,862.0,0.1,6.0,0.30692378493952094,0.234630853989545,0.35483008289494516,0.2881705190621168
18,863.0,0.1,1.0,0.22601914766785258,0.1697898266362214,0.30316129892563265,0.18797534119849083
19,863.0,0.1,2.0,0.20685921164488386,0.1672640482584638,0.3888057110673224,0.21291309431487399
20,863.0,0.1,3.0,0.2118390310553652,0.17361836152918222,0.28639833263146214,0.20523798325482503
21,863.0,0.1,4.0,0.3175032938760988,0.23691853541953894,0.2985592056264917,0.22922222661037048
22,863.0,0.1,5.0,0.3373257255000462,0.25779022515988825,0.3333172077722436,0.2577861112706801
23,863.0,0.1,6.0,0.4123968581131159,0.2946955213359757,0.3694522415886671,0.2781536027496936
24,864.0,0.1,1.0,0.2892081155487775,0.20354431750727633,0.20356208839084644,0.1578968122893685
25,864.0,0.1,2.0,0.34098007673026154,0.23024595672009027,0.25559793081726423,0.18968954647288594
26,864.0,0.1,3.0,0.31940034959858776,0.21896719839058676,0.3080067689637086,0.218141069599226
27,864.0,0.1,4.0,0.3304514864317487,0.23499612247242646,0.35969148589999367,0.24721844243068297
28,864.0,0.1,5.0,0.4018755844016031,0.31141619214824623,0.4068487174020991,0.3141047907810581
29,864.0,0.1,6.0,0.3687115050861045,0.2773075627345667,0.41917195269945773,0.29720891316731723
30,865.0,0.1,1.0,0.2874097629472911,0.20524058622472455,0.3656522858468272,0.23303342333026933
31,865.0,0.1,2.0,0.34494665179290124,0.2223570580575983,0.3756022099734515,0.252016194661458
32,865.0,0.1,3.0,0.38520688526240976,0.24882812500000007,0.3395559988221233,0.2317565768372775
33,865.0,0.1,4.0,0.39970087282567734,0.268863318948185,0.2771922633457705,0.20715480131261493
34,865.0,0.1,5.0,0.3223257141821991,0.2362242305980009,0.3811338115808336,0.2784319410137103
35,865.0,0.1,6.0,0.3847394516858888,0.28391397513595296,0.45161353998171366,0.31221162384631623
36,866.0,0.1,1.0,0.2747048179778846,0.19333458694757225,0.30065607382096726,0.22081071442248734
37,866.0,0.1,2.0,0.2870806502830423,0.19373234767539832,0.28902622092577557,0.21617279052734364
38,866.0,0.1,3.0,0.26454104820390306,0.19164687511967693,0.32631835178075985,0.24275449865004556
39,866.0,0.1,4.0,0.32830355839643355,0.24127297494925706,0.4548771526345463,0.34539033478381526
40,866.0,0.1,5.0,0.2989820739784047,0.21545920278511832,0.49275577860062264,0.3712371826171868
41,866.0,0.1,6.0,0.357957549374211,0.2606919232536766,0.516088482325056,0.3906598708208866
42,867.0,0.1,1.0,0.23102397602805871,0.1854145424038758,0.18253079282382859,0.14051619885014555
43,867.0,0.1,2.0,0.22048022785718976,0.1769260930080039,0.22407150931349487,0.1666035072476256
44,867.0,0.1,3.0,0.22633252457377304,0.18407556870404382,0.26226906511405434,0.19114070219152104
45,867.0,0.1,4.0,0.2596062926149851,0.1910313924153646,0.2678535505251551,0.19707433663162555
46,867.0,0.1,5.0,0.310908396937307,0.24125650443282817,0.2773157198148087,0.19870680266735627
47,867.0,0.1,6.0,0.32224516577276074,0.2502191132190184,0.2949195767328073,0.24021818871591658
48,868.0,0.1,1.0,0.22393765331909735,0.16525980631510467,0.36206267139368803,0.23612178727692293
49,868.0,0.1,2.0,0.24292478594485076,0.18118211334826928,0.3035324976194081,0.2103364383473118
50,868.0,0.1,3.0,0.2723552602823839,0.21447234808229942,0.3285135649576346,0.22737193388097438
51,868.0,0.1,4.0,0.339666212778821,0.2672761655321308,0.4026626158228033,0.2610681272020525
52,868.0,0.1,5.0,0.3629594184514486,0.29905639349245533,0.5024770670777419,0.33663961373123474
53,868.0,0.1,6.0,0.3949879565554221,0.30969930910596644,0.5245494167161197,0.3390044866823681
