,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,9.03305158992162,7.749591840242085
1,860.0,0.1,10.0,2.0,8.118605224516493,7.007311698512027
2,860.0,0.1,10.0,3.0,8.011648971891736,6.8500732253225225
3,860.0,0.1,10.0,4.0,8.189076732849681,7.078342090807463
4,860.0,0.1,20.0,1.0,9.03305158992162,7.749591840242085
5,860.0,0.1,20.0,2.0,8.121092787839952,7.010187377929688
6,860.0,0.1,20.0,3.0,8.012424655645317,6.850868388928865
7,860.0,0.1,20.0,4.0,8.190030316847022,7.080856679012901
8,860.0,0.1,30.0,1.0,9.03305158992162,7.749591840242085
9,860.0,0.1,30.0,2.0,8.119444718455913,7.008289465653269
10,860.0,0.1,30.0,3.0,8.011876386479699,6.850395567241468
11,860.0,0.1,30.0,4.0,8.228002613775141,7.132388721666838
12,860.0,0.1,40.0,1.0,9.03305158992162,7.749591840242085
