seed,learning_rate,dropout,d_main,num_blocks,val_rmse_scaled,val_mae_scaled,val_rmse_raw,val_mae_raw,test_rmse_scaled,test_mae_scaled,test_rmse_raw,test_mae_raw
860.0,0.001,0.0,64.0,2.0,0.5792728066444397,0.4170443117618561,7.674954891204834,5.525542259216309,0.39447274804115295,0.3302460014820099,5.226485252380371,4.375525951385498
860.0,0.001,0.0,64.0,4.0,0.5880362391471863,0.42887842655181885,7.7910637855529785,5.682336807250977,0.3437499403953552,0.27326446771621704,4.554443359375,3.6205615997314453
860.0,0.001,0.0,256.0,2.0,0.5406315326690674,0.401806503534317,7.162985324859619,5.3236517906188965,0.5468481779098511,0.46185067296028137,7.245351314544678,6.119194507598877
860.0,0.001,0.0,256.0,4.0,0.5582283139228821,0.42148536443710327,7.396130084991455,5.584383010864258,0.4181349277496338,0.3247110843658447,5.539992332458496,4.302192211151123
860.0,0.001,0.1,64.0,2.0,0.6936783790588379,0.4331026077270508,9.190747261047363,5.738302707672119,0.3933238685131073,0.26089176535606384,5.2112627029418945,3.4566311836242676
860.0,0.001,0.1,64.0,4.0,0.5764620304107666,0.41194289922714233,7.6377129554748535,5.457950592041016,0.4243887960910797,0.3388500213623047,5.622851371765137,4.489522933959961
860.0,0.001,0.1,256.0,2.0,0.5835363864898682,0.4143643081188202,7.731443881988525,5.490033149719238,0.44074422121047974,0.35251584649086,5.8395490646362305,4.670585632324219
860.0,0.001,0.1,256.0,4.0,0.5549416542053223,0.4119986593723297,7.352584362030029,5.458690643310547,0.6083758473396301,0.5051235556602478,8.060548782348633,6.692529678344727
860.0,0.0005,0.0,64.0,2.0,0.5418131947517395,0.3859889507293701,7.178640842437744,5.114080905914307,0.3245282769203186,0.26187729835510254,4.299769878387451,3.469689130783081
860.0,0.0005,0.0,64.0,4.0,0.47994518280029297,0.39613914489746094,6.35893440246582,5.248563289642334,0.3823915123939514,0.30153095722198486,5.066417217254639,3.995072603225708
860.0,0.0005,0.0,256.0,2.0,0.5566111207008362,0.40590009093284607,7.374703407287598,5.3778886795043945,0.4018710255622864,0.31433141231536865,5.324507236480713,4.164669990539551
860.0,0.0005,0.0,256.0,4.0,0.6425309777259827,0.497718870639801,8.513080596923828,6.594422340393066,0.630189836025238,0.5131605267524719,8.349570274353027,6.799014091491699
860.0,0.0005,0.1,64.0,2.0,0.5539082884788513,0.3576342761516571,7.338892459869385,4.738400936126709,0.40604203939437866,0.32720810174942017,5.379769802093506,4.3352766036987305
860.0,0.0005,0.1,64.0,4.0,0.4895397424697876,0.39843669533729553,6.486055374145508,5.279004096984863,0.3895581364631653,0.2996842563152313,5.161369800567627,3.970604658126831
860.0,0.0005,0.1,256.0,2.0,0.6863651275634766,0.5247862935066223,9.093852043151855,6.953047275543213,0.6404634118080139,0.5287678241729736,8.485687255859375,7.005799770355225
860.0,0.0005,0.1,256.0,4.0,0.487534761428833,0.3947186768054962,6.45949125289917,5.229743480682373,0.5092589855194092,0.4144175946712494,6.747321605682373,5.490739822387695
860.0,0.0001,0.0,64.0,2.0,0.5624226331710815,0.39518505334854126,7.451702117919922,5.235922813415527,0.43301501870155334,0.3522886633872986,5.737142562866211,4.667575836181641
860.0,0.0001,0.0,64.0,4.0,0.5730237364768982,0.4267210364341736,7.592158317565918,5.653751850128174,0.3477194607257843,0.2795828878879547,4.60703706741333,3.7042758464813232
860.0,0.0001,0.0,256.0,2.0,0.5126316547393799,0.35770851373672485,6.792006015777588,4.73938512802124,0.28301599621772766,0.23439601063728333,3.7497622966766357,3.105581760406494
860.0,0.0001,0.0,256.0,4.0,0.48495903611183167,0.3666257858276367,6.425363540649414,4.857532501220703,0.3384300470352173,0.2741909623146057,4.483958721160889,3.6328365802764893
860.0,0.0001,0.1,64.0,2.0,0.5242744088172913,0.38975435495376587,6.946264743804932,5.163969993591309,0.41363757848739624,0.29000210762023926,5.480405807495117,3.8423221111297607
860.0,0.0001,0.1,64.0,4.0,0.45841920375823975,0.34730973839759827,6.073729991912842,4.601608753204346,0.35708633065223694,0.24059829115867615,4.731141567230225,3.1877572536468506
860.0,0.0001,0.1,256.0,2.0,0.6491495370864868,0.45637956261634827,8.600772857666016,6.046706199645996,0.4402758777141571,0.3226613998413086,5.833344459533691,4.275035858154297
860.0,0.0001,0.1,256.0,4.0,0.512795627117157,0.4002252221107483,6.7941789627075195,5.302701473236084,0.3589109182357788,0.29196467995643616,4.755315780639648,3.868326187133789
861.0,0.001,0.0,64.0,2.0,0.6593220829963684,0.4203237295150757,8.766337394714355,5.588618755340576,0.30659791827201843,0.25237590074539185,4.076521873474121,3.355586528778076
861.0,0.001,0.0,64.0,4.0,0.5794510245323181,0.3897099196910858,7.704373359680176,5.181578159332275,0.307549387216568,0.2630874216556549,4.08917236328125,3.498006820678711
861.0,0.001,0.0,256.0,2.0,0.6073011159896851,0.4228401184082031,8.074666023254395,5.622076988220215,0.3102238178253174,0.25559163093566895,4.12473201751709,3.3983423709869385
861.0,0.001,0.0,256.0,4.0,0.6570226550102234,0.4472651779651642,8.735763549804688,5.9468302726745605,0.42417895793914795,0.3470074236392975,5.639877796173096,4.613806247711182
