,seed,learning_rate,dropout,val_rmse,val_mae,rmse,mae
0,860.0,0.001,0.0,5.336516857147217,4.048757553100586,4.863799571990967,3.8483476638793945
1,860.0,0.001,0.1,11.02324390411377,8.127588272094727,10.614665031433105,8.158429145812988
2,860.0,0.001,0.2,16.15817642211914,12.300575256347656,15.006643295288086,12.395977973937988
3,860.0,0.0005,0.0,34.362152099609375,30.44633674621582,31.825122833251953,28.052637100219727
4,860.0,0.0005,0.1,13.540383338928223,10.413887023925781,12.059737205505371,9.54763412475586
5,860.0,0.0005,0.2,14.889113426208496,12.009344100952148,14.569816589355469,12.182228088378906
6,860.0,0.0001,0.0,34.93867874145508,30.955062866210938,32.167945861816406,28.27100944519043
7,860.0,0.0001,0.1,34.764652252197266,30.342985153198242,31.76695442199707,27.353178024291992
8,860.0,0.0001,0.2,34.43709945678711,30.199909210205078,31.700838088989258,27.79022216796875
9,860.0,5e-05,0.0,34.79150390625,30.98711585998535,32.261322021484375,28.64544105529785
10,860.0,5e-05,0.1,34.78513717651367,30.896764755249023,32.17842483520508,28.524765014648438
11,860.0,5e-05,0.2,34.68625259399414,30.592933654785156,31.846529006958008,27.90123176574707
12,860.0,1e-05,0.0,34.6511116027832,30.692710876464844,32.04261016845703,28.36773681640625
13,860.0,1e-05,0.1,34.594669342041016,30.605697631835938,31.99962615966797,28.339069366455078
14,860.0,1e-05,0.2,34.485565185546875,30.520925521850586,32.03265380859375,28.419523239135742
15,861.0,0.001,0.0,31.920080184936523,27.986961364746094,33.88273239135742,30.7834529876709
16,861.0,0.001,0.1,9.880263328552246,7.859032154083252,11.408533096313477,9.176806449890137
17,861.0,0.001,0.2,8.680163383483887,6.610296726226807,9.892206192016602,7.784332275390625
18,861.0,0.0005,0.0,32.62975311279297,28.80449867248535,34.3210563659668,31.2718448638916
19,861.0,0.0005,0.1,32.147300720214844,28.574111938476562,33.930999755859375,31.050268173217773
20,861.0,0.0005,0.2,30.768869400024414,25.661222457885742,32.17534637451172,27.499774932861328
21,861.0,0.0001,0.0,32.23747634887695,28.056303024291992,34.21843338012695,30.924213409423828
22,861.0,0.0001,0.1,33.918601989746094,30.591018676757812,34.54169845581055,31.371179580688477
23,861.0,0.0001,0.2,31.96993637084961,27.978843688964844,33.656795501708984,30.441110610961914
24,861.0,5e-05,0.0,32.67703628540039,28.939865112304688,33.98490524291992,30.888629913330078
25,861.0,5e-05,0.1,32.24388885498047,28.118770599365234,34.058658599853516,30.756549835205078
26,861.0,5e-05,0.2,32.32074737548828,27.867210388183594,33.75935745239258,29.90777015686035
27,861.0,1e-05,0.0,32.842411041259766,28.852834701538086,34.06841278076172,30.710668563842773
28,861.0,1e-05,0.1,32.90814208984375,29.02460289001465,33.98818588256836,30.669387817382812
29,861.0,1e-05,0.2,33.122802734375,29.00285530090332,34.12919235229492,30.510717391967773
30,862.0,0.001,0.0,8.39966869354248,6.954296112060547,8.75355339050293,7.0414581298828125
31,862.0,0.001,0.1,9.194480895996094,7.19491720199585,9.802412986755371,7.934610366821289
32,862.0,0.001,0.2,13.77297306060791,12.121421813964844,14.570103645324707,12.68372631072998
