seed,learning_rate,dropout,d_main,num_blocks,val_rmse_scaled,val_mae_scaled,val_rmse_raw,val_mae_raw,test_rmse_scaled,test_mae_scaled,test_rmse_raw,test_mae_raw
860.0,0.001,0.0,64.0,2.0,0.3396085202693939,0.26364532113075256,5.185823440551758,4.02586555480957,0.36633604764938354,0.2984992563724518,5.593953609466553,4.558085918426514
860.0,0.001,0.0,64.0,3.0,0.350212424993515,0.2846255600452423,5.347745418548584,4.34623384475708,0.34780484437942505,0.29329627752304077,5.310981750488281,4.478635787963867
860.0,0.001,0.0,64.0,4.0,0.36689120531082153,0.28399965167045593,5.60243034362793,4.336676120758057,0.45519888401031494,0.32742559909820557,6.950889587402344,4.999790668487549
860.0,0.001,0.0,128.0,2.0,0.36642611026763916,0.2872453033924103,5.595328330993652,4.386237621307373,0.3179337978363037,0.2641282081604004,4.854851245880127,4.033239841461182
860.0,0.001,0.0,128.0,3.0,0.3997042179107666,0.310343861579895,6.103485584259033,4.738952159881592,0.4030413031578064,0.3239547312259674,6.154443264007568,4.946791172027588
860.0,0.001,0.0,128.0,4.0,0.3459479510784149,0.2764091491699219,5.282627582550049,4.220768451690674,0.3725821375846863,0.30468663573265076,5.689331531524658,4.652566909790039
860.0,0.001,0.0,256.0,2.0,0.33059123158454895,0.2576371133327484,5.048129558563232,3.9341204166412354,0.34342047572135925,0.28791341185569763,5.244033336639404,4.396440029144287
860.0,0.001,0.0,256.0,3.0,0.414874792098999,0.34451213479042053,6.335139274597168,5.260701656341553,0.39319008588790894,0.3213975131511688,6.0040154457092285,4.907742023468018
860.0,0.001,0.0,256.0,4.0,0.4559144675731659,0.3609020411968231,6.961816787719727,5.510976314544678,0.37336647510528564,0.31204962730407715,5.701308727264404,4.764999866485596
860.0,0.001,0.1,64.0,2.0,0.36196354031562805,0.30788949131965637,5.527184963226318,4.701474189758301,0.3854706287384033,0.31015124917030334,5.886138439178467,4.736011505126953
860.0,0.001,0.1,64.0,3.0,0.4218178987503052,0.34499236941337585,6.441161155700684,5.268035411834717,0.4408167600631714,0.3597579896450043,6.731274604797363,5.493505954742432
860.0,0.001,0.1,64.0,4.0,0.41346633434295654,0.3457354009151459,6.313633441925049,5.279381275177002,0.4124477803707123,0.32528063654899597,6.298079967498779,4.967037200927734
860.0,0.001,0.1,128.0,2.0,0.3530843257904053,0.2848716974258423,5.391599178314209,4.349992275238037,0.34147483110427856,0.27466103434562683,5.214323043823242,4.194075107574463
860.0,0.001,0.1,128.0,3.0,0.4074365496635437,0.32535794377326965,6.221558570861816,4.968217372894287,0.3975638747215271,0.32265111804008484,6.070803165435791,4.926884174346924
