,seed,v,target_tree_size,subsample,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,1.0,0.1826677602601571,0.1365209093280871,0.1790075297734346,0.1505362865971587
1,860.0,0.05,2.0,1.0,0.17583984105890835,0.1337993397432218,0.18396177424925383,0.15358348173253708
2,860.0,0.05,3.0,1.0,0.18124898256060548,0.1367567772958796,0.1849371884258824,0.15412651510799663
3,860.0,0.05,4.0,1.0,0.16846988025100687,0.12709797877891388,0.195190138889503,0.15779109281652146
4,860.0,0.05,5.0,1.0,0.1803438929490586,0.13674003750670216,0.1977612084382061,0.15951858221315918
5,860.0,0.05,6.0,1.0,0.18219214970046602,0.1355962117513021,0.2017304642510362,0.16494371002795685
6,860.0,0.05,7.0,1.0,0.1888199506022918,0.14275847790288,0.2088553844772187,0.17256984336703457
7,860.0,0.075,1.0,1.0,0.1835818409079735,0.13754541733685705,0.17891387824624422,0.1505343418495331
8,860.0,0.075,2.0,1.0,0.1790653394753048,0.13512797636144333,0.1855858761289395,0.15445218553730117
9,860.0,0.075,3.0,1.0,0.1737941852844313,0.1322197858025048,0.19061333690955945,0.15476484111711122
10,860.0,0.075,4.0,1.0,0.18152133089083833,0.13471557018803634,0.18479253810584706,0.15323933620078922
11,860.0,0.075,5.0,1.0,0.18410926953720153,0.13810508578431374,0.20057173413220075,0.16085398056927885
12,860.0,0.075,6.0,1.0,0.1799388567545251,0.13717108333812042,0.1955699092026888,0.15776657403684183
13,860.0,0.075,7.0,1.0,0.19130524131388085,0.1424319697361365,0.19761233322609767,0.16257762534945655
14,860.0,0.1,1.0,1.0,0.1816940605788033,0.13610293818455158,0.179911890952383,0.15199245378082904
15,860.0,0.1,2.0,1.0,0.17642991779390832,0.13406681733972917,0.1795365708605179,0.1501548916685818
16,860.0,0.1,3.0,1.0,0.17680397959388688,0.13432539397595006,0.19534312668152032,0.16028931561638368
17,860.0,0.1,4.0,1.0,0.1734073960481077,0.13040956983379293,0.19100047124192304,0.16002661013135772
18,860.0,0.1,5.0,1.0,0.18075378148432594,0.13628309661266846,0.20049601508070145,0.1638501634784777
19,860.0,0.1,6.0,1.0,0.18222281683747593,0.13886211619657632,0.19894176424182577,0.15898012647441803
20,860.0,0.1,7.0,1.0,0.18775704758164843,0.14276274138805894,0.20615036604831286,0.1641006768918508
21,860.0,0.125,1.0,1.0,0.18356723454920224,0.13724525302064228,0.18057714402791733,0.15226628920611243
22,860.0,0.125,2.0,1.0,0.17185925055570667,0.13129263485179257,0.18457825945534678,0.14952195111443045
23,860.0,0.125,3.0,1.0,0.17204511399067665,0.12930981505150918,0.20016700905501805,0.15784590478036953
24,860.0,0.125,4.0,1.0,0.17745536029355424,0.1345385532753141,0.18370872934867294,0.15239042394301514
25,860.0,0.125,5.0,1.0,0.18225244980613853,0.13888582715801195,0.20381215506544273,0.1637754103716684
26,860.0,0.125,6.0,1.0,0.17804599791317102,0.1345671111462159,0.20325085314035501,0.1632919161927471
27,860.0,0.125,7.0,1.0,0.19108653892215152,0.14088564106062343,0.21385914060496558,0.1725324144550402
28,860.0,0.15,1.0,1.0,0.18361066398972475,0.13724831973805188,0.18179290291505268,0.15266795438878708
29,860.0,0.15,2.0,1.0,0.17569728073953325,0.13473438936121354,0.18306284337156178,0.14965598910462652
30,860.0,0.15,3.0,1.0,0.17606356684085592,0.13411604937385108,0.18935200985437506,0.15431771371878855
31,860.0,0.15,4.0,1.0,0.1745766142487465,0.13344391467524508,0.20025932857472933,0.16469192504882854
32,860.0,0.15,5.0,1.0,0.18138761756317415,0.14023326798981303,0.21246936757112844,0.1692883959003528
33,860.0,0.15,6.0,1.0,0.18501696795910877,0.1395336525112975,0.1951505740029567,0.15980172250785116
34,860.0,0.15,7.0,1.0,0.18623838761973574,0.14446961645986534,0.21030342677462435,0.1728724909763715
35,860.0,0.175,1.0,1.0,0.18641039262639136,0.14249674479166707,0.1813164407635865,0.15150539921779277
36,860.0,0.175,2.0,1.0,0.1733413401394319,0.13186775656307476,0.1818412729994568,0.14845993939568056
37,860.0,0.175,3.0,1.0,0.1734402240782186,0.13004416671453747,0.2079631154070718,0.16450286566042463
38,860.0,0.175,4.0,1.0,0.1784175499699942,0.1352429707845054,0.19307963695629216,0.15776413562251115
39,860.0,0.175,5.0,1.0,0.17924360556790356,0.13661947811351094,0.20970038811586914,0.1675243003695623
40,860.0,0.175,6.0,1.0,0.1789208513038139,0.13608212938495703,0.2191705303230602,0.17686589558919313
41,860.0,0.175,7.0,1.0,0.20003410642616465,0.14822639016544087,0.21576934363117448,0.17476197785022254
42,860.0,0.2,1.0,1.0,0.17884328183613735,0.13460798076554872,0.18279849753824415,0.15336252848307322
43,860.0,0.2,2.0,1.0,0.17638601687997463,0.13403532738779136,0.18800738624785113,0.15327209771848224
44,860.0,0.2,3.0,1.0,0.16311353302435364,0.125435802983303,0.20591398598530558,0.16349877750172365
45,860.0,0.2,4.0,1.0,0.17071361223665565,0.12959834080116442,0.19456459408878043,0.15598089180740693
46,860.0,0.2,5.0,1.0,0.1785608540956138,0.1344999126359528,0.207574068271191,0.16709317974015814
47,860.0,0.2,6.0,1.0,0.1753893280423581,0.1408084644990808,0.1987132863559852,0.16060785031786204
48,860.0,0.2,7.0,1.0,0.18491721315082782,0.1365927303538601,0.2032533633861307,0.16578771553787572
49,860.0,0.225,1.0,1.0,0.18130470293704692,0.13602031632965716,0.18076587057727891,0.15255530862247274
50,860.0,0.225,2.0,1.0,0.17274468137345825,0.12851356057559757,0.18743345647343815,0.15417709350585962
51,860.0,0.225,3.0,1.0,0.1824396170092931,0.13883304969937213,0.19673669199913502,0.16136145498238377
52,860.0,0.225,4.0,1.0,0.17634146229638786,0.13208651075176178,0.19248292636335815,0.15811935125612786
53,860.0,0.225,5.0,1.0,0.16798525804917547,0.1219460580863201,0.22275393363126486,0.1747613944259348
54,860.0,0.225,6.0,1.0,0.1864522507124684,0.13765789854760227,0.2090656754216016,0.17352365231981495
55,860.0,0.225,7.0,1.0,0.19734830818621324,0.15054794012331477,0.2045226379437747,0.16093577964633138
56,860.0,0.25,1.0,1.0,0.1820603005337506,0.13830820719401082,0.18083490898053042,0.15206934611002634
57,860.0,0.25,2.0,1.0,0.18093459017657348,0.13882337084003554,0.18986726033072399,0.15461763868144945
58,860.0,0.25,3.0,1.0,0.16759675436910357,0.12487782497032013,0.21185392472521367,0.16156390321021016
59,860.0,0.25,4.0,1.0,0.18214050697350798,0.13882717057770383,0.20235590935979625,0.1622001049565338
60,860.0,0.25,5.0,1.0,0.18310884897484134,0.13786725810929804,0.19917270484739105,0.16265825757793387
61,860.0,0.25,6.0,1.0,0.18381955745419765,0.13507732316559418,0.20336630959624447,0.16545438579484553
62,860.0,0.25,7.0,1.0,0.19086780624090754,0.14301395790249657,0.19379819468438417,0.15089576571595464
63,860.0,0.275,1.0,1.0,0.18254688407645178,0.14012684541590115,0.17905241922280865,0.15018735399433242
64,860.0,0.275,2.0,1.0,0.17960449018249333,0.13702353683172508,0.18544411344075465,0.15281485763250643
65,860.0,0.275,3.0,1.0,0.17743433377333556,0.13738751878925412,0.19504161227351524,0.15990816004136066
66,860.0,0.275,4.0,1.0,0.17642139356823455,0.13371924606024074,0.19753177891231952,0.16441261441099925
67,860.0,0.275,5.0,1.0,0.18678151442111257,0.14397615918926157,0.20166597486766513,0.16497735416188
68,860.0,0.275,6.0,1.0,0.18412234958499143,0.13850357953239875,0.20250818700522866,0.1676748238357846
69,860.0,0.275,7.0,1.0,0.1987016527031357,0.15081544763901625,0.20678633966810359,0.17128443998449014
70,860.0,0.3,1.0,1.0,0.17991370298044143,0.1375187443751918,0.18332278880583777,0.1528880848604093
71,860.0,0.3,2.0,1.0,0.17931819496144077,0.13656424728094393,0.19324513988416886,0.15609347773533272
72,860.0,0.3,3.0,1.0,0.18304075988880109,0.13703254250919125,0.20318897274824219,0.16512533449659192
73,860.0,0.3,4.0,1.0,0.1812540412793907,0.13730498669194238,0.2031098693702298,0.15648651123046917
74,860.0,0.3,5.0,1.0,0.17777976382428418,0.13871768128638148,0.22051051869834315,0.17850620045381482
75,860.0,0.3,6.0,1.0,0.1814905943502803,0.1318802478266695,0.20408584766599155,0.16766128540039094
76,860.0,0.3,7.0,1.0,0.20310511321868113,0.15374865064433946,0.20486984917968745,0.16870120179419454
77,861.0,0.05,1.0,1.0,0.19748050627274058,0.15417131910137175,0.21441848400895086,0.1705044765098422
78,861.0,0.05,2.0,1.0,0.1953020037240569,0.1522305357689958,0.21497248261277319,0.1703352834664139
79,861.0,0.05,3.0,1.0,0.19878629716334717,0.15760379866057825,0.21348116464188296,0.16860281252393536
80,861.0,0.05,4.0,1.0,0.19806165321185484,0.15682714125689393,0.2151771318765646,0.17205879361021748
81,861.0,0.05,5.0,1.0,0.2009039072601519,0.1621897828345211,0.2211011282957737,0.17951187432981006
82,861.0,0.05,6.0,1.0,0.19384356508110717,0.15597167669558085,0.22926747217137539,0.18777551090016073
83,861.0,0.05,7.0,1.0,0.19918178437357595,0.15784494736615393,0.231616055472408,0.18952404844994633
84,861.0,0.075,1.0,1.0,0.19668524655992883,0.15421522551891922,0.21447005163181632,0.17141297284294577
85,861.0,0.075,2.0,1.0,0.1973569660293031,0.15319973814721285,0.21559769486350794,0.17097016876819088
86,861.0,0.075,3.0,1.0,0.2009767992046323,0.15651955698050765,0.21368203977829084,0.16802095899394914
87,861.0,0.075,4.0,1.0,0.19981961218004346,0.15831192614985515,0.218830153628206,0.17648638556985288
88,861.0,0.075,5.0,1.0,0.2034914398976457,0.15997558294558098,0.22149586082458533,0.18181482950846353
89,861.0,0.075,6.0,1.0,0.19666543977037493,0.15612326229319892,0.2271012252032995,0.1859033023609834
90,861.0,0.075,7.0,1.0,0.19980752587571862,0.15658169914694434,0.2217584049959655,0.18145790848077506
91,861.0,0.1,1.0,1.0,0.1979857602782942,0.1541954788507207,0.2133272815665682,0.1687752966787301
92,861.0,0.1,2.0,1.0,0.19598910134357897,0.1525664984011191,0.2147115818791295,0.17026684330958947
93,861.0,0.1,3.0,1.0,0.19979838146644216,0.1558817096785011,0.21517406573157924,0.16859445010914517
94,861.0,0.1,4.0,1.0,0.19590154272409765,0.15748910342945827,0.21702963530814942,0.17297454534792428
95,861.0,0.1,5.0,1.0,0.20269306719404778,0.15992050170898486,0.22756204601726387,0.1844295277315028
