,n_samples,time (s),Method
0,100,1.398742914199829,LS
1,100,1.3523750305175781,LS
2,100,1.322678804397583,LS
3,100,1.1779496669769287,LS
4,100,1.076737880706787,LS
5,100,1.021266222000122,LS
6,100,1.0968372821807861,LS
7,100,1.0782604217529297,LS
8,100,1.0799429416656494,LS
9,100,1.0695269107818604,LS
10,100,1.046905279159546,LS
11,100,1.0190131664276123,LS
12,100,1.021118402481079,LS
13,100,1.0134694576263428,LS
14,100,1.0184597969055176,LS
15,100,1.0180389881134033,LS
16,100,1.0170583724975586,LS
17,100,1.0215003490447998,LS
18,100,1.005643367767334,LS
19,100,1.0583875179290771,LS
20,100,1.0669169425964355,LS
21,100,1.077561855316162,LS
22,100,1.0493857860565186,LS
23,100,1.0342795848846436,LS
24,100,1.0239760875701904,LS
25,100,1.045210599899292,LS
26,100,1.1069614887237549,LS
27,100,1.057645320892334,LS
28,100,1.0459678173065186,LS
29,100,1.0003809928894043,LS
30,100,1.0243654251098633,LS
31,100,1.0095908641815186,LS
32,100,1.0316205024719238,LS
33,100,1.0618972778320312,LS
34,100,1.0695455074310303,LS
35,100,1.0714168548583984,LS
36,100,1.045990228652954,LS
37,100,1.0639545917510986,LS
38,100,1.066545009613037,LS
39,100,1.0385949611663818,LS
40,100,1.0168125629425049,LS
41,100,1.046072006225586,LS
42,100,1.0625650882720947,LS
43,100,1.0466618537902832,LS
44,100,1.0230884552001953,LS
45,100,1.059847354888916,LS
46,100,1.0707423686981201,LS
47,100,1.0593624114990234,LS
48,100,1.1063454151153564,LS
49,100,1.0362167358398438,LS
50,200,1.103982925415039,LS
51,200,1.1021363735198975,LS
52,200,1.1201238632202148,LS
53,200,1.1086993217468262,LS
54,200,1.1168198585510254,LS
55,200,1.120244026184082,LS
56,200,1.1279139518737793,LS
57,200,1.1286637783050537,LS
58,200,1.0930206775665283,LS
59,200,1.1544604301452637,LS
60,200,1.1596567630767822,LS
61,200,1.1353728771209717,LS
62,200,1.143259048461914,LS
63,200,1.1443705558776855,LS
64,200,1.1434259414672852,LS
65,200,1.1417341232299805,LS
66,200,1.1482295989990234,LS
67,200,1.1444172859191895,LS
68,200,1.1368141174316406,LS
69,200,1.1272892951965332,LS
70,200,1.141577959060669,LS
71,200,1.131737470626831,LS
72,200,1.1284053325653076,LS
73,200,1.0934772491455078,LS
74,200,1.0814886093139648,LS
75,200,1.0909593105316162,LS
76,200,1.1418161392211914,LS
77,200,1.1799423694610596,LS
78,200,1.1569600105285645,LS
79,200,1.1060059070587158,LS
80,200,1.0942668914794922,LS
81,200,1.0899920463562012,LS
82,200,1.1376798152923584,LS
83,200,1.1606190204620361,LS
84,200,1.21144700050354,LS
85,200,1.1287193298339844,LS
86,200,1.1653668880462646,LS
87,200,1.1660091876983643,LS
88,200,1.145988941192627,LS
89,200,1.1648099422454834,LS
90,200,1.1731719970703125,LS
91,200,1.1493587493896484,LS
92,200,1.155975103378296,LS
93,200,1.1639723777770996,LS
94,200,1.1410138607025146,LS
95,200,1.1495592594146729,LS
96,200,1.1696982383728027,LS
97,200,1.1784083843231201,LS
98,200,1.1637046337127686,LS
99,200,1.1722631454467773,LS
100,300,1.3087620735168457,LS
101,300,1.2731881141662598,LS
102,300,1.265031099319458,LS
103,300,1.2931787967681885,LS
104,300,1.251185655593872,LS
105,300,1.2469429969787598,LS
106,300,1.2706820964813232,LS
107,300,1.246164321899414,LS
108,300,1.2638084888458252,LS
109,300,1.2652299404144287,LS
110,300,1.2097673416137695,LS
111,300,1.1672139167785645,LS
112,300,1.181473970413208,LS
113,300,1.1977407932281494,LS
114,300,1.1939115524291992,LS
115,300,1.1929094791412354,LS
116,300,1.1988399028778076,LS
117,300,1.2187321186065674,LS
118,300,1.2040784358978271,LS
119,300,1.199540138244629,LS
120,300,1.216888666152954,LS
121,300,1.2254254817962646,LS
122,300,1.2289700508117676,LS
123,300,1.2376978397369385,LS
124,300,1.221343994140625,LS
125,300,1.2247354984283447,LS
126,300,1.2371339797973633,LS
127,300,1.2286102771759033,LS
128,300,1.1912906169891357,LS
129,300,1.1671380996704102,LS
130,300,1.1826841831207275,LS
131,300,1.1821811199188232,LS
132,300,1.1979866027832031,LS
133,300,1.1963589191436768,LS
134,300,1.1905052661895752,LS
135,300,1.1798629760742188,LS
136,300,1.204728603363037,LS
137,300,1.1919329166412354,LS
138,300,1.1743807792663574,LS
139,300,1.1565327644348145,LS
140,300,1.1772077083587646,LS
141,300,1.1965670585632324,LS
142,300,1.2036447525024414,LS
143,300,1.2020859718322754,LS
144,300,1.2202520370483398,LS
145,300,1.2301533222198486,LS
146,300,1.219538688659668,LS
147,300,1.1961827278137207,LS
148,300,1.1755955219268799,LS
149,300,1.1798110008239746,LS
150,400,1.3546960353851318,LS
151,400,1.2717363834381104,LS
152,400,1.3065476417541504,LS
153,400,1.345548391342163,LS
154,400,1.4007017612457275,LS
155,400,1.3704001903533936,LS
156,400,1.330582857131958,LS
157,400,1.341550350189209,LS
158,400,1.3380908966064453,LS
159,400,1.2686691284179688,LS
160,400,1.2808003425598145,LS
161,400,1.2730824947357178,LS
162,400,1.2973291873931885,LS
163,400,1.329939603805542,LS
164,400,1.3375678062438965,LS
165,400,1.2782909870147705,LS
166,400,1.2701480388641357,LS
167,400,1.2746026515960693,LS
168,400,1.2956078052520752,LS
169,400,1.326308250427246,LS
170,400,1.321626901626587,LS
171,400,1.3154854774475098,LS
172,400,1.3264532089233398,LS
173,400,1.310149908065796,LS
174,400,1.333569049835205,LS
175,400,1.3095192909240723,LS
176,400,1.3021256923675537,LS
177,400,1.3213374614715576,LS
178,400,1.3101155757904053,LS
179,400,1.312776803970337,LS
180,400,1.344055414199829,LS
181,400,1.3492488861083984,LS
182,400,1.2663531303405762,LS
183,400,1.3282740116119385,LS
184,400,1.3261973857879639,LS
185,400,1.3272838592529297,LS
186,400,1.346315860748291,LS
187,400,1.3316094875335693,LS
188,400,1.2603085041046143,LS
189,400,1.2431199550628662,LS
190,400,1.2573883533477783,LS
191,400,1.2781925201416016,LS
192,400,1.273879051208496,LS
193,400,1.2498068809509277,LS
194,400,1.2560763359069824,LS
195,400,1.310612678527832,LS
196,400,1.2744166851043701,LS
197,400,1.2652842998504639,LS
198,400,1.2794537544250488,LS
199,400,1.2723543643951416,LS
200,500,1.3616952896118164,LS
201,500,1.3708672523498535,LS
202,500,1.4149341583251953,LS
203,500,1.4125924110412598,LS
204,500,1.3587896823883057,LS
205,500,1.3464415073394775,LS
206,500,1.3472332954406738,LS
207,500,1.4144439697265625,LS
208,500,1.4443614482879639,LS
209,500,1.3588733673095703,LS
210,500,1.3471076488494873,LS
211,500,1.3526759147644043,LS
212,500,1.4140431880950928,LS
213,500,1.4157750606536865,LS
214,500,1.414485216140747,LS
215,500,1.4093694686889648,LS
216,500,1.3963286876678467,LS
217,500,1.406053066253662,LS
218,500,1.406235694885254,LS
219,500,1.4060277938842773,LS
220,500,1.362457036972046,LS
221,500,1.3290748596191406,LS
222,500,1.338043451309204,LS
223,500,1.422741174697876,LS
224,500,1.430591344833374,LS
225,500,1.408689260482788,LS
226,500,1.4244537353515625,LS
227,500,1.4270031452178955,LS
228,500,1.3586854934692383,LS
229,500,1.3310515880584717,LS
230,500,1.353886604309082,LS
231,500,1.41780424118042,LS
232,500,1.4203071594238281,LS
233,500,1.4069998264312744,LS
234,500,1.438575029373169,LS
235,500,1.430030107498169,LS
236,500,1.4200823307037354,LS
237,500,1.431657314300537,LS
238,500,1.4372425079345703,LS
239,500,1.5017876625061035,LS
240,500,1.4297394752502441,LS
241,500,1.396899700164795,LS
242,500,1.4510679244995117,LS
243,500,1.4548797607421875,LS
244,500,1.4433746337890625,LS
245,500,1.4140472412109375,LS
246,500,1.4679362773895264,LS
247,500,1.4269330501556396,LS
248,500,1.4087843894958496,LS
249,500,1.4326541423797607,LS
250,600,1.4664714336395264,LS
251,600,1.5009284019470215,LS
252,600,1.4791927337646484,LS
253,600,1.47084641456604,LS
254,600,1.505403757095337,LS
255,600,1.4954473972320557,LS
256,600,1.4440340995788574,LS
257,600,1.5017518997192383,LS
258,600,1.4776790142059326,LS
259,600,1.5243196487426758,LS
260,600,1.5229566097259521,LS
261,600,1.4966719150543213,LS
262,600,1.5409431457519531,LS
263,600,1.4932770729064941,LS
264,600,1.5120179653167725,LS
265,600,1.5307056903839111,LS
266,600,1.4869186878204346,LS
267,600,1.4252002239227295,LS
268,600,1.4836483001708984,LS
269,600,1.491001844406128,LS
270,600,1.4823997020721436,LS
271,600,1.4524610042572021,LS
272,600,1.4835853576660156,LS
273,600,1.4669032096862793,LS
274,600,1.451174020767212,LS
275,600,1.4508709907531738,LS
276,600,1.4307982921600342,LS
277,600,1.4428861141204834,LS
278,600,1.4888527393341064,LS
279,600,1.5371251106262207,LS
280,600,1.4875383377075195,LS
281,600,1.4211235046386719,LS
282,600,1.4839577674865723,LS
283,600,1.4688360691070557,LS
284,600,1.450754165649414,LS
285,600,1.426227331161499,LS
286,600,1.461432695388794,LS
287,600,1.4386038780212402,LS
288,600,1.4547960758209229,LS
289,600,1.502073049545288,LS
290,600,1.492231845855713,LS
291,600,1.4749095439910889,LS
292,600,1.4989840984344482,LS
293,600,1.4698565006256104,LS
294,600,1.5291645526885986,LS
