,seed,method,rmse,mae
0,8,LSTransferTreeBoost,1.5768929551183712,1.2102740544705939
1,8,LADTransferTreeBoost,1.1172777898586783,0.8702833923837818
2,9,LSTransferTreeBoost,1.4799788898412327,1.1594490487050289
3,9,LADTransferTreeBoost,1.1728742560362457,0.933611689489025
4,10,LSTransferTreeBoost,1.664993489027782,1.3392390746395435
5,10,LADTransferTreeBoost,1.2176891085635455,0.9633195195650623
6,11,LSTransferTreeBoost,1.3002357980577532,1.0343169082686408
7,11,LADTransferTreeBoost,1.3503369995264243,1.0515892613190707
8,12,LSTransferTreeBoost,1.420977626474923,1.121838255012119
9,12,LADTransferTreeBoost,1.2509150389107466,0.9706584965897403
10,13,LSTransferTreeBoost,1.4233324724263139,1.1184274737790858
11,13,LADTransferTreeBoost,1.175774781011665,0.909458986554251
12,14,LSTransferTreeBoost,1.4966978836524314,1.1903411855303847
13,14,LADTransferTreeBoost,1.2425405801521416,0.977918982982146
14,15,LSTransferTreeBoost,1.406591043320477,1.120863272567004
15,15,LADTransferTreeBoost,1.1562235312883498,0.8926519830594511
16,16,LSTransferTreeBoost,1.4918837546299528,1.1825621671275535
17,16,LADTransferTreeBoost,1.2954875919746573,1.03402478483214
18,17,LSTransferTreeBoost,1.4452123547502218,1.1416415207888173
19,17,LADTransferTreeBoost,1.229650243281627,0.9541676917746258
20,18,LSTransferTreeBoost,1.5295633609101853,1.2096358489868484
21,18,LADTransferTreeBoost,1.1358399483499402,0.9079398712243517
22,19,LSTransferTreeBoost,1.4801254431038595,1.1769007129635447
23,19,LADTransferTreeBoost,1.2509793199897303,0.9689458037005491
24,20,LSTransferTreeBoost,1.2594890440141118,0.9969806960233332
25,20,LADTransferTreeBoost,1.0797150848495392,0.8682434906219729
26,21,LSTransferTreeBoost,1.353164424074938,1.0544564267867718
27,21,LADTransferTreeBoost,1.1499091156936043,0.8871803198431146
28,22,LSTransferTreeBoost,1.469499167004967,1.1866992218780001
29,22,LADTransferTreeBoost,1.3257814480920167,1.0536172467546017
30,23,LSTransferTreeBoost,1.503299602341444,1.1954412964184111
31,23,LADTransferTreeBoost,1.5765117972391391,1.161780340640263
32,24,LSTransferTreeBoost,1.5234568279743415,1.1479655723964155
33,24,LADTransferTreeBoost,1.0942624830493777,0.8433262582068992
34,25,LSTransferTreeBoost,1.5083403213009867,1.1609609936186105
35,25,LADTransferTreeBoost,1.3102535522653813,1.022287359830109
36,26,LSTransferTreeBoost,1.4068087408555787,1.1176339427332629
37,26,LADTransferTreeBoost,1.166555190883445,0.9112973835391994
38,27,LSTransferTreeBoost,1.425902354502304,1.1228510627518058
39,27,LADTransferTreeBoost,1.3289537604650417,1.0054752083701888
