,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,Volume,380,MLP,0.0001,5e-05,0.0,False,80.21162,57.097256,78.16749,54.236458
0,1,Volume,380,MLP,0.0001,5e-05,0.1,False,87.18419,58.868782,88.45449,58.400642
0,1,Dgv,380,MLP,0.0005,0.0001,0.0,False,7.70489,5.388052,6.549823,4.626374
0,1,Dgv,380,MLP,0.0005,0.0001,0.1,False,9.169368,6.8108253,8.577397,6.3767734
0,1,Dgv,380,MLP,0.0005,5e-05,0.0,False,7.455603,5.2570353,6.585995,4.5694222
0,1,Dgv,380,MLP,0.0005,5e-05,0.1,False,8.561964,6.229008,7.951616,5.785584
0,1,Dgv,380,MLP,0.0001,0.0001,0.0,False,7.677213,5.4006667,6.6727157,4.7420797
0,1,Dgv,380,MLP,0.0001,0.0001,0.1,False,10.617109,8.170452,10.469119,8.156247
0,1,Dgv,380,MLP,0.0001,5e-05,0.0,False,8.085847,5.910807,7.261312,5.200563
0,1,Dgv,380,MLP,0.0001,5e-05,0.1,False,9.544519,7.2160473,9.161102,6.98216
0,1,Volume,475,MLP,0.0005,0.0001,0.0,False,78.36261,55.588932,74.69338,51.028408
0,1,Volume,475,MLP,0.0005,0.0001,0.1,False,95.487305,63.750706,97.51513,64.32071
0,1,Volume,475,MLP,0.0005,5e-05,0.0,False,78.83568,55.20913,76.70257,52.278397
0,1,Volume,475,MLP,0.0005,5e-05,0.1,False,81.756355,57.136703,82.100136,55.163815
0,1,Volume,475,MLP,0.0001,0.0001,0.0,False,79.4897,56.20815,77.043434,52.625584
0,1,Volume,475,MLP,0.0001,0.0001,0.1,False,87.08059,58.90649,89.735054,59.796364
0,1,Volume,475,MLP,0.0001,5e-05,0.0,False,79.070984,56.016567,74.43788,51.59203
0,1,Volume,475,MLP,0.0001,5e-05,0.1,False,79.22096,54.629955,76.974815,51.782974
0,1,Dgv,475,MLP,0.0005,0.0001,0.0,False,7.6285853,5.4490566,6.708034,4.7481027
0,1,Dgv,475,MLP,0.0005,0.0001,0.1,False,8.536146,6.275296,7.9838266,5.9228497
0,1,Dgv,475,MLP,0.0005,5e-05,0.0,False,7.458833,5.3116713,6.562352,4.695993
0,1,Dgv,475,MLP,0.0005,5e-05,0.1,False,8.6884,6.349358,8.187697,6.035835
0,1,Dgv,475,MLP,0.0001,0.0001,0.0,False,7.7748203,5.8213615,6.6835175,5.0979304
0,1,Dgv,475,MLP,0.0001,0.0001,0.1,False,10.522559,8.341836,10.113257,8.18
0,1,Dgv,475,MLP,0.0001,5e-05,0.0,False,7.5538726,5.255407,6.4636555,4.5521903
