,seed,d,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,9,100,TradaBoostR2,10,1.0,1,2.276622636403457,1.8460767743400748,2.298175718997588,1.8661782907321434
0,1,1,100,TradaBoostR2,10,1.0,1,2.680501020439491,2.1505883056381387,2.6628866099227055,2.117512364676285
0,1,6,100,TradaBoostR2,10,1.0,1,2.497232365305041,2.0237670932107723,2.4618821331880283,1.9810594413400897
0,1,3,100,TradaBoostR2,10,1.0,2,2.339682227062774,1.8437377773525319,2.34909360075366,1.8663716244744035
0,1,7,100,TradaBoostR2,10,1.0,1,2.9741247725027162,2.382144521539318,2.9704347527267005,2.425959772372864
0,1,8,100,TradaBoostR2,10,1.0,1,2.5296745625435677,2.05346904633396,2.533445300688223,2.0815692109507786
0,1,9,100,TradaBoostR2,10,1.0,2,2.251476274998741,1.756689246301732,2.264785205619112,1.7720016999372372
0,1,10,100,TradaBoostR2,10,0.5,5,69.29125621662568,15.68170375873133,61.94153998107583,13.0992185196133
0,1,6,100,TradaBoostR2,10,1.0,2,2.084423035303558,1.6570039333986675,2.080739937630654,1.6846567052532688
0,1,1,100,TradaBoostR2,10,1.0,2,2.592427024433092,2.0801775856571214,2.5955068553030367,2.0580406913422427
0,1,4,100,TradaBoostR2,10,1.0,3,3.0955911628994923,2.1568909184146925,3.383023863002965,2.298888971336636
0,1,8,100,TradaBoostR2,10,1.0,2,2.3920225419622505,1.8604645676376717,2.317599449378767,1.8114453940425306
0,1,7,100,TradaBoostR2,10,1.0,2,2.2654640204901644,1.770382692300318,2.221813369698857,1.7579480186654926
0,1,10,100,TradaBoostR2,10,1.0,1,2.121257205695313,1.6803960138747072,2.172234485070362,1.722216001595139
