,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,TradaBoostR2,10,0.1,1,2.8273424441010873,1.9636561702747943,2.910421118865859,1.910528480725401
0,1,Hgv,95,TradaBoostR2,10,0.1,2,3.8482844869971675,2.3441434829494026,4.109249937314686,2.4835480617362866
0,2,Hgv,95,TradaBoostR2,10,0.1,1,3.011665872866072,1.8359772449882936,2.891577659253453,1.8158733042120012
0,2,Hgv,190,TradaBoostR2,10,0.1,1,2.541087350742883,1.6215246305177353,2.4136575222543,1.7159549600262314
0,1,Hgv,95,TradaBoostR2,10,0.5,1,2.6830137943024845,1.9727816860538157,2.822356860774714,2.003142315147238
0,1,Hgv,380,TradaBoostR2,10,0.1,1,2.2622243317766753,1.599159887324247,2.3294379268237537,1.6488159845733361
0,2,Hgv,95,TradaBoostR2,10,0.1,2,65.75236325069648,9.185029060883934,15.73894354486262,6.407650281700868
0,2,Hgv,285,TradaBoostR2,10,0.1,1,2.0837779777639356,1.4615991163243407,2.0943390924528114,1.5117081429026449
0,2,Hgv,190,TradaBoostR2,10,0.1,2,2.325694281806044,1.644095814102183,2.5871715919799145,1.7189892816831438
0,1,Hgv,95,TradaBoostR2,10,0.5,2,4.129529911242399,2.6662915536483,5.105545810883561,2.8815365559242485
0,2,Hgv,95,TradaBoostR2,10,0.5,1,2.6300680421367977,1.8549688741490982,2.7568172192633984,1.9645655945397573
0,1,Hgv,380,TradaBoostR2,10,0.1,2,4.123685886307299,2.255101141789367,4.348535827219182,2.3807016106284946
0,1,Hgv,380,TradaBoostR2,10,0.5,1,2.766673475962756,1.9371127235720098,2.8806446266795023,2.0270355831151026
0,2,Hgv,285,TradaBoostR2,10,0.1,2,2.1292222554365394,1.516185651742642,2.166742663791347,1.6181652194987373
0,2,Hgv,190,TradaBoostR2,10,0.5,1,2.2281105760284023,1.6508119590678454,2.303097547803689,1.7084604196260496
0,2,Hgv,95,TradaBoostR2,10,0.5,2,2.513318010917084,1.7966322698366963,2.4628542898695764,1.8349022521798903
0,2,Hgv,285,TradaBoostR2,10,0.5,1,2.4092528346283966,1.7660848106155247,2.465833827263837,1.8267517735729375
0,1,Hgv,95,TradaBoostR2,20,0.1,1,2.3186676168920206,1.6220538196506311,2.566365111464735,1.6791297912162704
0,1,Hgv,380,TradaBoostR2,10,0.5,2,3.252786900959243,2.0659609382400017,3.2773207475711366,2.127470771993491
0,1,Hgv,285,TradaBoostR2,10,0.1,1,2.2336222288854612,1.5780386458711486,2.304433103673668,1.6613178979720586
0,1,Hgv,190,TradaBoostR2,10,0.1,1,3.0126885863247876,2.000417146127162,3.2789381385689715,2.1735681375417615
0,2,Hgv,190,TradaBoostR2,10,0.5,2,2.696433061004169,1.9487772038304207,2.9870045763275943,2.0092245169578473
0,2,Hgv,95,TradaBoostR2,20,0.1,1,2.1620400792783507,1.535320206966768,2.206793977921472,1.650569460068619
0,2,Hgv,285,TradaBoostR2,10,0.5,2,2.5746304020076214,1.8878979992863367,2.443332918710839,1.836448315536044
