,seed,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5002842703732477,1.199949213849593,1.5776220966034553,1.2943019679859535
1,1,LADTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5670384240206547,1.2556650152709248,1.6084916712979398,1.3013687263190816
2,1,MTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.6133066757414554,1.2832533896081577,1.6900657411567428,1.3676662442533696
3,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5635219834850933,1.2515422671132241,1.5277903002743196,1.2256019694549014
4,2,LADTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5696732097699855,1.226310724606451,1.5812433920831226,1.2353246299510379
5,2,MTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.6147704337889073,1.267831243050277,1.6077379062968904,1.2782813347162574
6,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5096701519839923,1.2021994807178498,1.604760206316176,1.2878551451629452
7,3,LADTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.6459337301699581,1.311860971097374,1.680028426000699,1.329797359687393
8,3,MTransferTreeBoost,0.1,2,2,0.05,0.9,250,1.5019648355733668,1.2099898294127702,1.5908684168996936,1.2904099492981935
