,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,MLP,0.0005,0.0001,0.0,True,33.520985,32.111324,34.07419,32.36108
1,1,Hgv,95,MLP,0.0005,0.0001,0.0,False,92.21376,72.11715,93.18438,71.603424
2,1,Hgv,95,MLP,0.0005,0.0001,0.1,True,52.703537,43.50923,51.75869,42.545193
3,1,Hgv,95,MLP,0.0005,0.0001,0.1,False,127.64122,101.431625,128.02286,99.17954
4,1,Hgv,95,MLP,0.0005,5e-05,0.0,True,3.0121734,2.2179751,3.4097052,2.308791
5,1,Hgv,95,MLP,0.0005,5e-05,0.0,False,146.11742,110.50339,144.5771,107.6647
6,1,Hgv,95,MLP,0.0005,5e-05,0.1,True,3.6529734,2.5921655,4.214851,2.7225335
7,1,Hgv,95,MLP,0.0005,5e-05,0.1,False,94.13993,70.11477,93.28327,69.91645
8,1,Hgv,95,MLP,0.0001,0.0001,0.0,True,30.20891,24.163895,29.585442,23.580082
9,1,Hgv,95,MLP,0.0001,0.0001,0.0,False,78.253105,61.532642,79.44785,60.34503
10,1,Hgv,95,MLP,0.0001,0.0001,0.1,True,14.34777,12.972819,14.617792,13.220882
11,1,Hgv,95,MLP,0.0001,0.0001,0.1,False,80.953575,65.29291,82.575615,64.21415
12,1,Hgv,95,MLP,0.0001,5e-05,0.0,True,3.397689,2.524493,3.6912374,2.6010988
13,1,Hgv,95,MLP,0.0001,5e-05,0.0,False,84.94264,66.20204,85.474785,66.08365
14,1,Hgv,95,MLP,0.0001,5e-05,0.1,True,6.0174346,4.9600887,6.5863028,5.1750903
15,1,Hgv,95,MLP,0.0001,5e-05,0.1,False,41.97921,31.775354,41.559284,31.61432
16,1,Hgv,475,MLP,0.0005,0.0001,0.0,True,13.778412,12.787399,13.946627,12.887982
17,1,Hgv,475,MLP,0.0005,0.0001,0.0,False,7.4100547,4.2978997,8.155208,4.5067053
18,1,Hgv,475,MLP,0.0005,0.0001,0.1,True,2.6994402,2.0738366,2.7897882,2.0672956
19,1,Hgv,475,MLP,0.0005,0.0001,0.1,False,6.519437,5.487908,6.879625,5.6558766
20,1,Hgv,475,MLP,0.0005,5e-05,0.0,True,2.5739238,1.8914219,2.510789,1.8649162
21,1,Hgv,475,MLP,0.0005,5e-05,0.0,False,4.583913,3.305813,4.9538054,3.4611187
22,1,Hgv,475,MLP,0.0005,5e-05,0.1,True,8.714881,7.8996587,8.743343,7.9183674
23,1,Hgv,475,MLP,0.0005,5e-05,0.1,False,8.468344,6.752648,9.239759,7.3201895
24,1,Hgv,475,MLP,0.0001,0.0001,0.0,True,4.1678605,3.1799731,4.09065,3.1194937
25,1,Hgv,475,MLP,0.0001,0.0001,0.0,False,6.366531,4.6408677,7.2578926,4.8127427
26,1,Hgv,475,MLP,0.0001,0.0001,0.1,True,2.6029997,1.974755,2.7547176,1.944507
27,1,Hgv,475,MLP,0.0001,0.0001,0.1,False,7.2193537,5.70986,7.7994733,6.0105357
28,1,Hgv,475,MLP,0.0001,5e-05,0.0,True,2.427211,1.8398391,2.5653071,1.9072479
29,1,Hgv,475,MLP,0.0001,5e-05,0.0,False,5.266436,3.8673632,5.30088,3.895472
30,1,Hgv,475,MLP,0.0001,5e-05,0.1,True,8.622394,8.003457,8.612554,8.024182
31,1,Hgv,475,MLP,0.0001,5e-05,0.1,False,5.72041,4.6016307,5.54465,4.438186
32,1,Hgv,950,MLP,0.0005,0.0001,0.0,True,2.3967052,1.7621868,2.3816803,1.7685905
33,1,Hgv,950,MLP,0.0005,0.0001,0.0,False,3.4339602,2.591471,4.3123283,2.8074286
34,1,Hgv,950,MLP,0.0005,0.0001,0.1,True,3.0634813,2.4629116,3.1197684,2.468586
35,1,Hgv,950,MLP,0.0005,0.0001,0.1,False,5.316353,4.2476945,5.9555907,4.607984
36,1,Hgv,950,MLP,0.0005,5e-05,0.0,True,2.9065385,2.1192768,2.8668263,2.0986457
37,1,Hgv,950,MLP,0.0005,5e-05,0.0,False,3.6026917,2.736493,4.500854,3.0814455
38,1,Hgv,950,MLP,0.0005,5e-05,0.1,True,4.004011,3.3202398,4.0855026,3.4163122
39,1,Hgv,950,MLP,0.0005,5e-05,0.1,False,4.7933187,3.7162728,5.461143,4.076911
40,1,Hgv,950,MLP,0.0001,0.0001,0.0,True,2.398637,1.7847607,2.3619945,1.7986052
41,1,Hgv,950,MLP,0.0001,0.0001,0.0,False,4.375788,3.3982682,5.2070446,3.7235506
42,1,Hgv,950,MLP,0.0001,0.0001,0.1,True,2.965098,2.344208,3.0888875,2.4052556
43,1,Hgv,950,MLP,0.0001,0.0001,0.1,False,3.927172,3.0076418,4.087319,3.0878284
44,1,Hgv,950,MLP,0.0001,5e-05,0.0,True,2.5348747,1.9179443,2.4359128,1.8692392
45,1,Hgv,950,MLP,0.0001,5e-05,0.0,False,7.0143714,5.514443,8.599523,6.23961
46,1,Hgv,950,MLP,0.0001,5e-05,0.1,True,6.2308383,5.394598,6.0074825,5.2554674
47,1,Hgv,950,MLP,0.0001,5e-05,0.1,False,4.3705378,3.3802283,4.8566856,3.6264243
48,2,Hgv,95,MLP,0.0005,0.0001,0.0,True,46.1989,37.661255,45.03823,36.412178
49,2,Hgv,95,MLP,0.0005,0.0001,0.0,False,125.19716,98.38502,128.30794,99.17149
50,2,Hgv,95,MLP,0.0005,0.0001,0.1,True,4.717053,3.2787647,5.1632895,3.7499106
51,2,Hgv,95,MLP,0.0005,0.0001,0.1,False,57.80092,40.671597,57.22558,40.66341
52,2,Hgv,95,MLP,0.0005,5e-05,0.0,True,3.5591714,2.7062583,3.3860521,2.6485772
53,2,Hgv,95,MLP,0.0005,5e-05,0.0,False,66.348946,55.25346,67.50277,57.373848
54,2,Hgv,95,MLP,0.0005,5e-05,0.1,True,6.2033186,5.0835824,6.144684,5.011846
55,2,Hgv,95,MLP,0.0005,5e-05,0.1,False,98.07791,79.11666,102.57234,82.47168
56,2,Hgv,95,MLP,0.0001,0.0001,0.0,True,31.493443,26.295654,31.112514,25.880259
57,2,Hgv,95,MLP,0.0001,0.0001,0.0,False,106.29635,87.85491,106.76606,88.176216
58,2,Hgv,95,MLP,0.0001,0.0001,0.1,True,9.85743,8.717775,9.796898,8.63149
59,2,Hgv,95,MLP,0.0001,0.0001,0.1,False,27.413815,21.276842,28.508657,22.15264
60,2,Hgv,95,MLP,0.0001,5e-05,0.0,True,2.9354446,2.2369027,2.964033,2.2438128
61,2,Hgv,95,MLP,0.0001,5e-05,0.0,False,82.74322,66.239426,91.298615,70.912285
62,2,Hgv,95,MLP,0.0001,5e-05,0.1,True,6.76423,4.808231,7.1021743,5.138612
63,2,Hgv,95,MLP,0.0001,5e-05,0.1,False,73.618965,47.26177,72.51187,46.637512
64,2,Hgv,475,MLP,0.0005,0.0001,0.0,True,7.6597896,6.987534,7.5611963,6.801099
65,2,Hgv,475,MLP,0.0005,0.0001,0.0,False,6.0359435,4.3829,5.612004,4.3195534
66,2,Hgv,475,MLP,0.0005,0.0001,0.1,True,29.550863,26.926767,29.147995,26.547956
67,2,Hgv,475,MLP,0.0005,0.0001,0.1,False,6.9595647,5.2755213,7.0199203,5.4980426
68,2,Hgv,475,MLP,0.0005,5e-05,0.0,True,4.3597794,3.7412744,4.5070305,3.9669263
69,2,Hgv,475,MLP,0.0005,5e-05,0.0,False,7.862789,4.7118335,6.4186397,4.5089173
70,2,Hgv,475,MLP,0.0005,5e-05,0.1,True,2.4344823,1.6720052,2.2618208,1.7692815
