,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,Dgv,95,xgboost,0.01,1,8.094948575101906,5.843219972749486,6.924257035401322,5.0842383305369605
1,1,Dgv,95,xgboost_naive_transfer,0.01,1,7.509020217400679,5.539821888546478,6.58255362875198,4.993344151282898
2,1,Dgv,95,xgboost_naive_transfer_with_dummy,0.01,1,7.509020217400679,5.539821888546478,6.58255362875198,4.993344151282898
3,1,Dgv,190,xgboost,0.01,1,7.743299590463146,5.285384083907654,6.418264461814913,4.522387885347937
4,1,Dgv,190,xgboost_naive_transfer,0.01,1,7.46994448617562,5.452020213719832,6.45463638681555,4.839716569535867
5,1,Dgv,190,xgboost_naive_transfer_with_dummy,0.01,1,7.357528960230821,5.240355950723563,6.288832197824996,4.594874392779361
6,1,Dgv,285,xgboost,0.01,1,7.644192406279784,5.1700570645738235,6.3085884706641275,4.400824893428799
7,1,Dgv,285,xgboost_naive_transfer,0.01,1,7.425998767640962,5.400403348247019,6.4305305333010585,4.796851141709052
8,1,Dgv,285,xgboost_naive_transfer_with_dummy,0.01,1,7.285761450171879,5.096522223447156,6.208529923581347,4.4404032945336285
9,1,Dgv,380,xgboost,0.01,1,7.40956517415939,5.006869804645371,6.09461129082579,4.30229565347241
10,1,Dgv,380,xgboost_naive_transfer,0.01,1,7.416954102373976,5.3888004828292,6.424286994099157,4.7942146640258
11,1,Dgv,380,xgboost_naive_transfer_with_dummy,0.01,1,7.288186251581849,5.1356298646141525,6.2281600202328145,4.493246136083442
12,1,Dgv,475,xgboost,0.01,1,7.4624370105108015,5.069156850368199,6.085338936229509,4.345232969161
13,1,Dgv,475,xgboost_naive_transfer,0.01,1,7.410325327132755,5.364945510722646,6.377964746621548,4.737101400638655
14,1,Dgv,475,xgboost_naive_transfer_with_dummy,0.01,1,7.294224149620489,5.12970525607896,6.200952956474641,4.471229037407207
15,1,Dgv,570,xgboost,0.01,1,7.413082031169363,4.988641935525522,6.039580206127078,4.26628763118527
16,1,Dgv,570,xgboost_naive_transfer,0.01,1,7.385117489122399,5.323877977462344,6.337419249727864,4.677125869882341
17,1,Dgv,570,xgboost_naive_transfer_with_dummy,0.01,1,7.266383821200035,5.053406290224351,6.153406608537679,4.3755106637461285
18,1,Dgv,665,xgboost,0.01,1,7.362293105357341,4.947732911182586,6.0180153007064545,4.27025902007801
19,1,Dgv,665,xgboost_naive_transfer,0.01,1,7.346448144286643,5.287814268298418,6.3038270118376785,4.647930640473334
20,1,Dgv,665,xgboost_naive_transfer_with_dummy,0.01,1,7.2334884898583205,5.0148714293595695,6.1250635456608125,4.356031585826388
21,1,Dgv,760,xgboost,0.01,1,7.358289864589365,4.936832265598986,5.980915331092028,4.208731048465566
22,1,Dgv,760,xgboost_naive_transfer,0.01,1,7.351123183816925,5.264566005417032,6.291705075909315,4.615206177333513
23,1,Dgv,760,xgboost_naive_transfer_with_dummy,0.01,1,7.242271750031771,5.000141681939396,6.121746221636264,4.321439951460758
