,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
53,12,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.45312918706145,1.1240370296073652
54,12,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.4716998738782172,1.1526369354842962
55,12,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.4400416371897355,1.1204228039002984
56,12,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.4263150321121556,1.123107189108015
57,12,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.3694810571279346,1.0780603526639536
58,12,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.623979623874798,1.294913366423426
59,12,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.594760604494203,1.268596160558391
60,12,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.4648048952778538,1.1244070521019067
61,12,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.3762992727414585,1.0501757807240657
62,12,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.5303141535196816,1.1819421569353563
63,12,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.5931451585335519,1.2327966520112184
64,13,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.277040109219354,1.0132111548941392
65,13,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.2956132666440923,1.0234985432978763
66,13,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.3521394989519275,1.0826559004790346
67,13,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.3340150361249867,1.06761240432945
68,13,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.3865018234757702,1.0952718628165368
69,13,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.3705031972277548,1.0841286658118825
70,13,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.4049535852068815,1.1120099849801712
71,13,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.4276612081268003,1.130092352853712
72,13,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.255707002700573,0.989124006034631
73,13,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.252685878552258,0.9858065750499764
74,13,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.2906895636595885,1.0248052037885615
75,13,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.2943793550954596,1.0289377519652012
76,13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.3454888037040342,1.0591004343761332
77,13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.3239928512055177,1.0415204808456706
78,13,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.4462248777547502,1.1502072850612672
79,13,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.4217501099258558,1.1254509929859027
80,13,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.2865313645849508,1.0176930380969582
81,13,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.2928297617282443,1.022096176061264
82,13,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.3190800028605916,1.0549581941361392
83,13,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.2933389838350313,1.0335328916192839
84,13,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.3622174612892353,1.0734032896086383
85,13,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.3327087095889036,1.0510420343250888
86,13,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.4495084532935496,1.150793063252374
87,13,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.3907020996876682,1.1000007010037214
88,13,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.259324170579192,0.9962946063268555
89,13,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.279284746577559,1.0054782786652785
90,13,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.2665171023334567,1.0022368803958563
91,13,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.2600032600018565,0.9974343210106196
92,13,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.378470891509795,1.0807200855211563
93,13,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.294926312698062,1.021971621403415
94,13,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.4222872633347414,1.1168865137779536
95,13,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.3359178950142339,1.0536982315588015
96,14,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.2920451876082129,1.017771115614362
97,14,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.3302416609713401,1.0551582415814533
98,14,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.3270113946553512,1.0423144556591541
99,14,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.315534988816371,1.0329151095362512
100,14,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.3539424235739628,1.0601472183621627
101,14,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.368340356999156,1.0685582204292066
