,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,14,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.4349261222964345,1.132253494379115
1,14,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.413286159413176,1.1178490220988988
2,14,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.5571014144333908,1.227424134241565
3,14,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.510604814268355,1.1854476138205368
4,14,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.5850622811065398,1.2589861220992538
5,14,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.571856322176714,1.2436153763050701
6,14,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.6342457743862224,1.289986000621788
7,14,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.6454459114852815,1.2992307838892316
8,14,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.3676155138460682,1.0745224759936278
9,14,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.3125996886299771,1.0336405335115753
10,14,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.5124164196655518,1.1845377408175233
11,14,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.510940813568683,1.1832889960156698
12,14,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.5376194167382087,1.2095601910723623
13,14,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.4878858873926162,1.1674182732066412
14,14,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.6936532485763396,1.3340918738255678
15,14,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.5976996414667946,1.2616591003555127
16,14,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.4332944885119983,1.130423867970292
17,14,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.3922839327478997,1.1039815116714822
18,14,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.5038172763261057,1.1786031637100651
19,14,2,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.455103296846424,1.1478344269781997
20,14,2,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.5532339952455245,1.2305002262148583
21,14,2,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.519197293050335,1.2003103072917913
22,14,2,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.602240870873629,1.2695443181879063
23,14,2,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.5896721895544879,1.2607361939283797
24,14,2,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.433450758283675,1.114135830737529
25,14,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.3349896728261614,1.0502124860298123
26,14,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.4707429042901417,1.1545605594613837
27,14,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.4377693108213414,1.1308093737961806
28,14,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.4961240489349312,1.1809897764947714
29,14,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.4288039287049494,1.1218558410233384
30,14,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.5959368454749576,1.26367865908641
31,14,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.5538708046050647,1.2291689130195809
32,14,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.567164859930243,1.2201068181594594
33,14,4,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.4468680756163281,1.136792339128433
34,14,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.695382475214951,1.325806996978558
35,14,4,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.6736790112534499,1.3063802759059635
36,14,4,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.6249233473881162,1.276771528074622
37,14,4,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.591760979275652,1.2498408725765335
38,14,4,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.713950171681991,1.34573638949292
39,14,4,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.6961996651667337,1.3302048589898554
40,14,4,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.4231452764920514,1.130633735968061
41,14,4,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.4785102993308121,1.17310671772258
42,14,4,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.825850231532474,1.437143233353436
43,14,4,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.8708476013767243,1.4752231329329457
44,14,4,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.6066166726614046,1.2720315685331947
45,14,4,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.4881773474031699,1.1951402220877225
46,14,4,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.7393290837614757,1.377746858199578
47,14,4,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.804081064420081,1.4236419561148979
48,14,4,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.459640334357974,1.1495336480194223
49,14,4,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.4426854412553556,1.1348512117102763
50,14,4,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.6345558110438143,1.2751829804588921
51,14,4,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.6371993957851287,1.2756503940154027
52,14,4,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.578258392433078,1.2434882974968864
53,14,4,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.5490078801028058,1.2225955752392266
54,14,4,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.6642782085419896,1.3094926196061438
55,14,4,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.6331503809810473,1.2897878698424161
56,14,4,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.4009173483365225,1.1178453019905792
57,14,4,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.3881033325843113,1.1006711659665462
58,14,4,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.9191238842415552,1.5140289782019107
59,14,4,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.8159836985768063,1.4164698041442945
60,14,4,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.4950902839015756,1.1934142390441729
61,14,4,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.481807513414427,1.191452808459126
62,14,4,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.7912155949360926,1.4067920091925807
63,14,4,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.7300425853885804,1.3670687911946366
64,14,6,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.5591087423781622,1.217016871738716
65,14,6,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.5435605927154712,1.204409027967324
66,14,6,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.647834188367966,1.2905474446408398
67,14,6,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.631684438816274,1.2766756602828446
68,14,6,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.6354156270781488,1.2821823912476442
69,14,6,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.6309779772229758,1.2779250099947677
70,14,6,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.6896036887952066,1.3320650831310927
71,14,6,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.6340350506522732,1.2942574402964397
72,14,6,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.4468790487874632,1.1473348244568184
73,14,6,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.450367667840647,1.1432797630769722
74,14,6,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.5375743005337759,1.2072895363717573
75,14,6,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.5060905240640476,1.1857517742242043
76,14,6,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.569357199231537,1.231121907492531
77,14,6,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.6361783748893257,1.2813442806382709
78,14,6,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.6296531098039064,1.2843640170848343
79,14,6,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.5864295189355018,1.2481752677425177
80,14,6,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.5511628063954048,1.2115618082162647
81,14,6,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.5329244148248757,1.1985612127324317
82,14,6,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.5655530414597192,1.2273915617772382
83,14,6,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.557080051616916,1.2197429633019994
84,14,6,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.6151405012142814,1.2665703880145853
85,14,6,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.6045019309113275,1.2565920141114777
86,14,6,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.6279087783188304,1.288389048279483
87,14,6,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.637561990769576,1.287170551890977
