,seed,d,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,5,100,TradaBoostR2,10,0.1,1,1.2969843669238763,1.0276858827476407,1.3876767856487253,1.089202686416931
1,1,5,100,TradaBoostR2,10,0.1,2,1.4981583542602803,1.187991538222822,1.6146283630172522,1.2631450345166348
2,1,5,100,TradaBoostR2,10,0.1,3,2.0288580390256,1.4999506455113347,2.133872284978926,1.5440219257515764
3,1,5,100,TradaBoostR2,10,0.1,4,3.3665598624150843,2.220968502584742,3.696062539711371,2.401402739580952
4,1,5,100,TradaBoostR2,10,0.1,5,49.239502761327,6.929041101751895,30.070012189159105,4.256313152829036
5,1,5,100,TradaBoostR2,10,0.5,1,1.7418365520710297,1.4175318202112444,1.8321562854218856,1.4950482023549807
6,1,5,100,TradaBoostR2,10,0.5,2,2.2753395731546395,1.8056658516775592,2.279573007781511,1.7910016402248763
7,1,5,100,TradaBoostR2,10,0.5,3,2.8198580683614125,1.9275575492903616,2.7011158188637303,1.9126978283842093
8,1,5,100,TradaBoostR2,10,0.5,4,2.532936390262991,1.86315527998577,2.539978348791873,1.8694059527953895
9,1,5,100,TradaBoostR2,10,0.5,5,4.39442333724114,2.5641079952838384,3.549867968625967,2.43619680454823
10,1,5,100,TradaBoostR2,10,1.0,1,2.5465861980530646,2.087533158475565,2.481569640689791,1.9964108238159972
11,1,5,100,TradaBoostR2,10,1.0,2,2.190402146187704,1.7178833062445515,2.1720203625014043,1.7274490168505405
12,1,5,100,TradaBoostR2,10,1.0,3,2.874935280862877,1.9635972139075835,2.4864217042623706,1.7881938045906067
13,1,5,100,TradaBoostR2,10,1.0,4,2.9810070313682,2.175330101842312,2.8346770917600916,2.085201115889235
