,seed,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,7,LSTransferTreeBoost,0.05,1,1.41809087064531,1.1376925864720047,1.3754017877567144,1.0935483389260372
1,7,LADTransferTreeBoost,0.05,1,1.1463464396807361,0.9153196035227934,1.1150995700490454,0.8889100948284465
2,7,LSTransferTreeBoost,0.05,1,1.3955082308027114,1.1206199591789214,1.3528562863507796,1.079356688378417
3,7,LADTransferTreeBoost,0.05,1,1.1716820482112884,0.9369583525736028,1.1274489997497268,0.8927278611270413
4,7,LSTransferTreeBoost,0.05,1,1.3913872950665316,1.1186378874403156,1.351224765022292,1.078320994906325
5,7,LADTransferTreeBoost,0.05,1,1.2052240091066722,0.9617108428517659,1.155070570625566,0.9159505408378943
6,7,LSTransferTreeBoost,0.05,1,1.4010101760931173,1.1223424596952225,1.3582047423732801,1.081441440861332
7,7,LADTransferTreeBoost,0.05,1,1.3144366722659835,1.0427275291901152,1.2626789476103535,0.996974039476355
8,7,LSTransferTreeBoost,0.05,2,1.2570571621159203,1.0120821367750679,1.2686604649441962,1.0098268787181308
9,7,LADTransferTreeBoost,0.05,2,1.0964724806947155,0.8577087735516105,1.0304904794546073,0.8028489877133639
10,7,LSTransferTreeBoost,0.05,2,1.2570079004655184,1.0127592361100968,1.2628588405152439,1.0057288098080166
11,7,LADTransferTreeBoost,0.05,2,4.083921402174519,3.3391995895346978,3.991914943190271,3.2667362455368654
