,seed,train_size,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,rmse,mae
0,2,379,MLP,0.0005,0.0001,0.0,True,7.235842,4.709578
1,2,379,MLP,0.0005,0.0001,0.0,False,7.4488044,5.124453
2,2,379,MLP,0.0005,0.0001,0.1,True,7.2360115,4.6893373
3,2,379,MLP,0.0005,0.0001,0.1,False,13.296142,10.858387
4,2,379,MLP,0.0005,5e-05,0.0,True,7.162867,4.7607427
5,2,379,MLP,0.0005,5e-05,0.0,False,7.735518,5.5007286
6,2,379,MLP,0.0005,5e-05,0.1,True,7.2973585,4.763369
7,2,379,MLP,0.0005,5e-05,0.1,False,11.875629,9.526782
8,2,379,MLP,0.0001,0.0001,0.0,True,7.270183,4.7492695
9,2,379,MLP,0.0001,0.0001,0.0,False,7.566794,5.389662
10,2,379,MLP,0.0001,0.0001,0.1,True,7.595817,4.8287387
11,2,379,MLP,0.0001,0.0001,0.1,False,9.890279,7.3939853
12,2,379,MLP,0.0001,5e-05,0.0,True,7.3351827,4.7655606
13,2,379,MLP,0.0001,5e-05,0.0,False,7.729953,5.441859
14,2,379,MLP,0.0001,5e-05,0.1,True,7.2696395,4.7244053
15,2,379,MLP,0.0001,5e-05,0.1,False,8.783326,6.1389856
