,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,11,5,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.2745599448092666,0.997634335155272
1,11,5,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.278116408716779,0.9999140841629283
2,11,5,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.295608583687116,1.0171209794335225
3,11,5,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.2951046551281584,1.01605891564176
4,11,5,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.2868921913700002,1.0046326212575238
5,11,5,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.310094373416362,1.0296475145715298
6,11,5,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.297925017837432,1.0169698257153699
7,11,5,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.2800941409456301,1.0002869459663764
8,11,5,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.2780914968476405,1.0031971085029825
9,11,5,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.288024866580534,1.0108302739798198
10,11,5,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.2805202107527291,0.9965722436018336
11,11,5,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.2829295377258167,1.0046721493160942
12,11,5,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.280301136984161,1.002251613593333
13,11,5,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.2902592727491877,1.0098660132239385
14,11,5,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.307452135922443,1.023048714708659
15,11,5,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.3097195543917837,1.0269031236605888
16,11,5,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.302898208799245,1.0258892439232121
17,11,5,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.2818352794158947,1.0020192082692834
18,11,5,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.2764068388787246,0.9954552949668988
19,11,5,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.2833115287807333,1.0037861341310175
20,11,5,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.2779643731926131,1.0004908739122227
21,11,5,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.299936983420478,1.0177974023013157
22,11,5,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.2941813136879365,1.0220912347224045
23,11,5,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.328554728017962,1.0468770109027237
24,11,5,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.2923195924525537,1.0136615400576787
25,11,5,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.3016399620622652,1.0249211701800474
26,11,5,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.2812780213836805,1.0028984016983595
27,11,5,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.2790012127254602,1.000911396905209
28,11,5,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.2513128251907657,0.9840140979420952
29,11,5,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.3147930580589389,1.0287179297392643
30,11,5,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.2868408648113874,1.0178437700459841
31,11,5,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.2971431093631711,1.013905387630361
32,12,5,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.5354373200732208,1.2256845911729564
33,12,5,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.534691050681648,1.2251008417468474
34,12,5,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.5514713429632772,1.2363428496576867
35,12,5,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.56931861270265,1.2527983967302205
36,12,5,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.4333433965010816,1.1143365231307139
37,12,5,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.4595885864752915,1.122717990188021
38,12,5,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.4506793809525569,1.1282560959059424
39,12,5,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.4495012034536199,1.1264490684688206
40,12,5,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.6123307267969957,1.2850798064162645
41,12,5,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.482598804394012,1.1785322841035666
