,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
230,0.1,2,3,0.1,0.01,0.9227072749334818,0.7283739113801297,5,4277,85,500,9,MTransferTreeBoost,400,1.0545689314728552,0.8025558541658573,1.0358566090760934,0.8139631833982602
235,0.1,2,3,0.1,0.05,0.926601074550787,0.7355938847717748,5,4286,85,500,9,MTransferTreeBoost,400,1.0427793469494462,0.7954780170526845,1.015646430545136,0.7960207092715154
90,0.1,1,3,0.1,0.0,0.9313032644210079,0.737471129738883,5,4187,85,500,9,MTransferTreeBoost,400,1.051726334890664,0.7993592153138941,1.024528128120712,0.8084887049520273
265,0.1,2,3,0.9,0.05,0.9403994374534118,0.7368679771621572,5,4292,85,500,9,MTransferTreeBoost,400,1.0490650839770976,0.798967710080145,1.0272777445194443,0.8058325873603029
250,0.1,2,3,0.5,0.05,0.9465531389748362,0.7452859481771951,5,4289,85,500,9,MTransferTreeBoost,400,1.0381891885172492,0.7905896093111751,1.0233678641033894,0.7991424612507821
95,0.1,1,3,0.1,0.01,0.947636064493099,0.7489107600257106,5,4196,85,500,9,MTransferTreeBoost,400,1.0549443091007795,0.8025510726339392,1.033133223837208,0.8116048537917239
115,0.1,1,3,0.5,0.05,0.954004466054492,0.757193315379587,5,4208,85,500,9,MTransferTreeBoost,400,1.0398859746800548,0.7923410488295438,1.024650924912892,0.800559741708506
100,0.1,1,3,0.1,0.05,0.9572362177549539,0.7550527104205135,5,4205,85,500,9,MTransferTreeBoost,400,1.0406488216133187,0.7938299088414487,1.0140344393618144,0.7941233345129636
225,0.1,2,3,0.1,0.0,0.9632568739216524,0.7566895629949321,5,4268,85,500,9,MTransferTreeBoost,400,1.0567905826038804,0.803645161979563,1.0308062531930189,0.8145959723575762
270,0.1,3,1,0.1,0.0,0.983412756650147,0.7828227886505449,5,4295,85,500,9,MTransferTreeBoost,400,1.0086957353124897,0.7997997356297385,0.9895260279124636,0.7855488672067681
280,0.1,3,1,0.1,0.05,0.9896351321535178,0.7837729602724293,5,4313,85,500,9,MTransferTreeBoost,400,1.0705884316289174,0.8476497583007506,1.0537718805600829,0.8399830761537241
145,0.1,2,1,0.1,0.05,0.9931542970424335,0.784562123639421,5,4232,85,500,9,MTransferTreeBoost,400,1.0705884316289174,0.8476497583007506,1.0537718805600829,0.8399830761537241
295,0.1,3,1,0.5,0.05,1.0010152689993919,0.7906771857585722,5,4316,85,500,9,MTransferTreeBoost,400,1.075744842477018,0.8504074625526856,1.0613337968907377,0.8470119695774239
0,0.1,1,1,0.1,0.0,1.0098625644280312,0.7996635830503964,5,4133,85,500,9,MTransferTreeBoost,400,1.011458172392077,0.8023134695680688,0.9938737754030182,0.7898968061274091
135,0.1,2,1,0.1,0.0,1.0101382946947681,0.79789726372197,5,4214,85,500,9,MTransferTreeBoost,400,1.0086957353124897,0.7997997356297385,0.9895260279124636,0.7855488672067681
290,0.1,3,1,0.5,0.01,1.0123214618140923,0.8070438283462847,5,4307,85,500,9,MTransferTreeBoost,400,1.0745532666858837,0.8499667110440874,1.0589995519297406,0.8461804009933432
155,0.1,2,1,0.5,0.01,1.017104218896657,0.8072681313421091,5,4226,85,500,9,MTransferTreeBoost,400,1.0745532666858837,0.8499667110440874,1.0589995519297406,0.8461804009933432
140,0.1,2,1,0.1,0.01,1.0200768685743884,0.8048658726144226,5,4223,85,500,9,MTransferTreeBoost,400,1.072511937731136,0.8474376219867592,1.0538757245601824,0.8392924029265981
305,0.1,3,1,0.9,0.01,1.023411726650905,0.8137715457712089,5,4310,85,500,9,MTransferTreeBoost,400,1.072394520153742,0.8470676365297908,1.0530462862215129,0.8398149409320383
275,0.1,3,1,0.1,0.01,1.0263354107387415,0.8120479277471402,5,4304,85,500,9,MTransferTreeBoost,400,1.072511937731136,0.8474376219867592,1.0538757245601824,0.8392924029265981
35,0.1,1,1,0.9,0.01,1.0264500963989094,0.8122365059350505,5,4148,85,500,9,MTransferTreeBoost,400,1.0723945201537437,0.847067636529792,1.053046286221515,0.8398149409320399
160,0.1,2,1,0.5,0.05,1.0293717098745632,0.8122563201406109,5,4235,85,500,9,MTransferTreeBoost,400,1.075744842477018,0.8504074625526856,1.0613337968907377,0.8470119695774239
10,0.1,1,1,0.1,0.05,1.0371607937450231,0.818569369206862,5,4151,85,500,9,MTransferTreeBoost,400,1.0705884316289187,0.847649758300752,1.053771880560085,0.8399830761537261
170,0.1,2,1,0.9,0.01,1.037184652858206,0.8233060226660364,5,4229,85,500,9,MTransferTreeBoost,400,1.072394520153742,0.8470676365297908,1.0530462862215129,0.8398149409320383
20,0.1,1,1,0.5,0.01,1.0384899689624103,0.8204764049803543,5,4145,85,500,9,MTransferTreeBoost,400,1.0745532666858817,0.8499667110440858,1.0589995519297382,0.8461804009933414
25,0.1,1,1,0.5,0.05,1.0424381709301564,0.8236207326160825,5,4154,85,500,9,MTransferTreeBoost,400,1.0757448424770146,0.8504074625526828,1.061333796890734,0.8470119695774209
5,0.1,1,1,0.1,0.01,1.0525614059023074,0.8313929186769817,5,4142,85,500,9,MTransferTreeBoost,400,1.0725119377311336,0.8474376219867576,1.05387572456018,0.8392924029265967
310,0.1,3,1,0.9,0.05,1.0551415996848879,0.8357607105005151,5,4319,85,500,9,MTransferTreeBoost,400,1.0670416465182857,0.8422911931955602,1.0515250546169512,0.8371180999283458
285,0.1,3,1,0.5,0.0,1.0888112375750527,0.8635887292982503,5,4298,85,500,9,MTransferTreeBoost,400,1.1433837073255946,0.9005315865859962,1.1248875017287563,0.8980572154036683
40,0.1,1,1,0.9,0.05,1.1074011527534293,0.8805271442191124,5,4157,85,500,9,MTransferTreeBoost,400,1.077969925363446,0.8513170700191149,1.0633871618455504,0.8480738950686603
175,0.1,2,1,0.9,0.05,1.109587853720391,0.8815891827364679,5,4238,85,500,9,MTransferTreeBoost,400,1.0779699253634458,0.8513170700191148,1.0633871618455506,0.8480738950686605
150,0.1,2,1,0.5,0.0,1.1182269760577817,0.8847988858070097,5,4217,85,500,9,MTransferTreeBoost,400,1.1433837073255946,0.9005315865859962,1.1248875017287563,0.8980572154036683
15,0.1,1,1,0.5,0.0,1.1216887144763483,0.8869470052067191,5,4136,85,500,9,MTransferTreeBoost,400,1.1433837073255926,0.9005315865859947,1.1248875017287543,0.8980572154036671
120,0.1,1,3,0.9,0.0,1.4326869794744315,1.149058416704519,5,4193,85,500,9,MTransferTreeBoost,400,1.378503224470507,1.088895129197932,1.3549203041477489,1.0896751712741055
390,0.1,3,3,0.9,0.0,1.4480054049979505,1.163483114844167,5,4355,85,500,9,MTransferTreeBoost,400,1.336506865930391,1.0428117090996034,1.3049278371358335,1.0401619238458848
255,0.1,2,3,0.9,0.0,1.4501380508563053,1.1612370588814491,5,4274,85,500,9,MTransferTreeBoost,400,1.3785060650241965,1.0889129332895655,1.3548905717791095,1.0896765667153625
210,0.1,2,2,0.9,0.0,1.6771670361873778,1.3397344649079679,5,4247,85,500,9,MTransferTreeBoost,400,1.665757586179036,1.3264284919801714,1.651488813680667,1.3489616613179256
345,0.1,3,2,0.9,0.0,1.7083280868153519,1.3689066023621528,5,4328,85,500,9,MTransferTreeBoost,400,1.665757586179036,1.3264284919801714,1.651488813680667,1.3489616613179256
75,0.1,1,2,0.9,0.0,1.8498956007283678,1.4913139398325703,5,4166,85,500,9,MTransferTreeBoost,400,1.665757586179036,1.3264284919801714,1.651488813680667,1.3489616613179256
300,0.1,3,1,0.9,0.0,2.1996460727034814,1.7759187282927744,5,4301,85,500,9,MTransferTreeBoost,400,2.43325981354365,1.9607166770516165,2.4163370153751216,1.9777769008906196
165,0.1,2,1,0.9,0.0,2.3428735629208584,1.8969137602193922,5,4220,85,500,9,MTransferTreeBoost,400,2.43325981354365,1.9607166770516165,2.4163370153751216,1.9777769008906196
30,0.1,1,1,0.9,0.0,2.35710970915053,1.8894120231851805,5,4139,85,500,9,MTransferTreeBoost,400,2.43325981354365,1.9607166770516165,2.4163370153751216,1.9777769008906196
